,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,トレース,名詞,サ変接続,*,*,トレース,36
3,0,的確,名詞,形容動詞語幹,*,*,的確,40
5,0,図面,名詞,一般,*,*,図面,38
6,0,表現,名詞,サ変接続,*,*,表現,36
7,0,技術,名詞,一般,*,*,技術,38
9,0,身,名詞,一般,*,*,身,38
11,0,つける,動詞,自立,*,*,つける,31
17,0,過去,名詞,副詞可能,*,*,過去,67
19,0,優れ,動詞,自立,*,*,優れる,31
21,0,作品,名詞,一般,*,*,作品,38
23,0,建築,名詞,サ変接続,*,*,建築,36
24,0,的,名詞,接尾,形容動詞語幹,*,的,52
26,0,分析,名詞,サ変接続,*,*,分析,36
28,0,理解,名詞,サ変接続,*,*,理解,36
30,0,方法,名詞,一般,*,*,方法,38
32,0,学ぶ,動詞,自立,*,*,学ぶ,31
35,0,設計,名詞,サ変接続,*,*,設計,36
38,0,通じて,副詞,一般,*,*,通じて,34
39,0,与,動詞,自立,*,*,与る,31
40,0,条件,名詞,一般,*,*,条件,38
42,0,的確,名詞,形容動詞語幹,*,*,的確,40
44,0,理解,名詞,サ変接続,*,*,理解,36
49,0,空間,名詞,一般,*,*,空間,38
50,0,表現,名詞,サ変接続,*,*,表現,36
52,0,つなげる,動詞,自立,*,*,つなげる,31
53,0,思考力,名詞,固有名詞,一般,*,思考力,41
55,0,身,名詞,一般,*,*,身,38
57,0,つけ,動詞,自立,*,*,つける,31
60,0,プレゼンテーション,名詞,一般,*,*,プレゼンテーション,38
62,0,設計,名詞,サ変接続,*,*,設計,36
63,0,意図,名詞,サ変接続,*,*,意図,36
65,0,言葉,名詞,一般,*,*,言葉,38
67,0,必要十分,名詞,固有名詞,一般,*,必要十分,41
69,0,説明,名詞,サ変接続,*,*,説明,36
71,0,技術,名詞,一般,*,*,技術,38
73,0,身,名詞,一般,*,*,身,38
75,0,つける,動詞,自立,*,*,つける,31
78,0,目標,名詞,一般,*,*,目標,38
82,0,トレース,名詞,サ変接続,*,*,トレース,36
85,0,的確,名詞,形容動詞語幹,*,*,的確,40
87,0,図面,名詞,一般,*,*,図面,38
88,0,表現,名詞,サ変接続,*,*,表現,36
89,0,技術,名詞,一般,*,*,技術,38
91,0,身,名詞,一般,*,*,身,38
93,0,つける,動詞,自立,*,*,つける,31
99,0,過去,名詞,副詞可能,*,*,過去,67
101,0,優れ,動詞,自立,*,*,優れる,31
103,0,作品,名詞,一般,*,*,作品,38
105,0,建築,名詞,サ変接続,*,*,建築,36
106,0,的,名詞,接尾,形容動詞語幹,*,的,52
108,0,分析,名詞,サ変接続,*,*,分析,36
110,0,理解,名詞,サ変接続,*,*,理解,36
112,0,方法,名詞,一般,*,*,方法,38
114,0,学ぶ,動詞,自立,*,*,学ぶ,31
117,0,設計,名詞,サ変接続,*,*,設計,36
120,0,通じて,副詞,一般,*,*,通じて,34
121,0,与,動詞,自立,*,*,与る,31
122,0,条件,名詞,一般,*,*,条件,38
124,0,的確,名詞,形容動詞語幹,*,*,的確,40
126,0,理解,名詞,サ変接続,*,*,理解,36
131,0,空間,名詞,一般,*,*,空間,38
132,0,表現,名詞,サ変接続,*,*,表現,36
134,0,つなげる,動詞,自立,*,*,つなげる,31
135,0,思考力,名詞,固有名詞,一般,*,思考力,41
137,0,身,名詞,一般,*,*,身,38
139,0,つけ,動詞,自立,*,*,つける,31
142,0,プレゼンテーション,名詞,一般,*,*,プレゼンテーション,38
144,0,設計,名詞,サ変接続,*,*,設計,36
145,0,意図,名詞,サ変接続,*,*,意図,36
147,0,言葉,名詞,一般,*,*,言葉,38
149,0,必要十分,名詞,固有名詞,一般,*,必要十分,41
151,0,説明,名詞,サ変接続,*,*,説明,36
153,0,技術,名詞,一般,*,*,技術,38
155,0,身,名詞,一般,*,*,身,38
157,0,つける,動詞,自立,*,*,つける,31
160,0,目標,名詞,一般,*,*,目標,38
165,0,到達,名詞,サ変接続,*,*,到達,36
166,0,目標,名詞,一般,*,*,目標,38
168,0,各自,名詞,副詞可能,*,*,各自,67
170,0,生活,名詞,サ変接続,*,*,生活,36
172,0,密着,名詞,サ変接続,*,*,密着,36
175,0,空間,名詞,一般,*,*,空間,38
177,0,設計,名詞,サ変接続,*,*,設計,36
179,0,行う,動詞,自立,*,*,行う,31
183,0,設計,名詞,サ変接続,*,*,設計,36
184,0,コンセプト,名詞,一般,*,*,コンセプト,38
186,0,明確,名詞,形容動詞語幹,*,*,明確,40
189,0,能力,名詞,一般,*,*,能力,38
191,0,醸成,名詞,サ変接続,*,*,醸成,36
195,0,周辺,名詞,一般,*,*,周辺,38
196,0,環境,名詞,一般,*,*,環境,38
199,0,設計,名詞,サ変接続,*,*,設計,36
200,0,条件,名詞,一般,*,*,条件,38
202,0,中,名詞,非自立,副詞可能,*,中,66
204,0,具体,名詞,一般,*,*,具体,38
205,0,的,名詞,接尾,形容動詞語幹,*,的,52
207,0,建築,名詞,サ変接続,*,*,建築,36
208,0,造形,名詞,サ変接続,*,*,造形,36
210,0,作りあげる,動詞,自立,*,*,作りあげる,31
211,0,能力,名詞,一般,*,*,能力,38
213,0,修得,名詞,サ変接続,*,*,修得,36
217,0,同時に,副詞,一般,*,*,同時に,34
219,0,構造,名詞,一般,*,*,構造,38
220,0,形式,名詞,一般,*,*,形式,38
222,0,中,名詞,非自立,副詞可能,*,中,66
224,0,多用,名詞,サ変接続,*,*,多用,36
227,0,コンクリート,名詞,一般,*,*,コンクリート,38
228,0,構造,名詞,一般,*,*,構造,38
230,0,建築物,名詞,固有名詞,一般,*,建築物,41
232,0,想定,名詞,サ変接続,*,*,想定,36
235,0,設計,名詞,サ変接続,*,*,設計,36
237,0,行う,動詞,自立,*,*,行う,31
241,0,コンクリート,名詞,一般,*,*,コンクリート,38
242,0,構造,名詞,一般,*,*,構造,38
244,0,一般,名詞,一般,*,*,一般,38
245,0,的,名詞,接尾,形容動詞語幹,*,的,52
247,0,納まり,動詞,自立,*,*,納まる,31
249,0,学習,名詞,サ変接続,*,*,学習,36
253,0,テーマ,名詞,一般,*,*,テーマ,38
255,0,建築,名詞,サ変接続,*,*,建築,36
257,0,設計,名詞,サ変接続,*,*,設計,36
259,0,設計,名詞,サ変接続,*,*,設計,36
260,0,意図,名詞,サ変接続,*,*,意図,36
262,0,伝達,名詞,サ変接続,*,*,伝達,36
263,0,方法,名詞,一般,*,*,方法,38
266,0,製図,名詞,サ変接続,*,*,製図,36
268,0,基本的,名詞,固有名詞,一般,*,基本的,41
269,0,習練,名詞,サ変接続,*,*,習練,36
271,0,行う,動詞,自立,*,*,行う,31
276,0,平面,名詞,一般,*,*,平面,38
277,0,構成,名詞,サ変接続,*,*,構成,36
279,0,立体的,名詞,固有名詞,一般,*,立体的,41
280,0,空間,名詞,一般,*,*,空間,38
281,0,構成,名詞,サ変接続,*,*,構成,36
283,0,架,名詞,サ変接続,*,*,架,36
284,0,構,名詞,固有名詞,一般,*,構,41
285,0,法,名詞,接尾,一般,*,法,51
287,0,周辺,名詞,一般,*,*,周辺,38
288,0,環境,名詞,一般,*,*,環境,38
291,0,調和,名詞,サ変接続,*,*,調和,36
294,0,視点,名詞,一般,*,*,視点,38
297,0,建築,名詞,サ変接続,*,*,建築,36
298,0,空間,名詞,一般,*,*,空間,38
300,0,総合的,名詞,固有名詞,一般,*,総合的,41
301,0,理解,名詞,サ変接続,*,*,理解,36
303,0,深める,動詞,自立,*,*,深める,31
304,0,ため,名詞,非自立,副詞可能,*,ため,66
306,0,設計,名詞,サ変接続,*,*,設計,36
309,0,行う,動詞,自立,*,*,行う,31
311,0,トレース,名詞,サ変接続,*,*,トレース,36
314,0,的確,名詞,形容動詞語幹,*,*,的確,40
316,0,図面,名詞,一般,*,*,図面,38
317,0,表現,名詞,サ変接続,*,*,表現,36
318,0,技術,名詞,一般,*,*,技術,38
320,0,身,名詞,一般,*,*,身,38
322,0,つける,動詞,自立,*,*,つける,31
328,0,過去,名詞,副詞可能,*,*,過去,67
330,0,優れ,動詞,自立,*,*,優れる,31
332,0,作品,名詞,一般,*,*,作品,38
334,0,建築,名詞,サ変接続,*,*,建築,36
335,0,的,名詞,接尾,形容動詞語幹,*,的,52
337,0,分析,名詞,サ変接続,*,*,分析,36
339,0,理解,名詞,サ変接続,*,*,理解,36
341,0,方法,名詞,一般,*,*,方法,38
343,0,学ぶ,動詞,自立,*,*,学ぶ,31
346,0,設計,名詞,サ変接続,*,*,設計,36
349,0,通じて,副詞,一般,*,*,通じて,34
350,0,与,動詞,自立,*,*,与る,31
351,0,条件,名詞,一般,*,*,条件,38
