,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,建築設備,名詞,固有名詞,一般,*,建築設備,41
1,0,概論,名詞,サ変接続,*,*,概論,36
2,0,建築設備,名詞,固有名詞,一般,*,建築設備,41
4,0,概要,名詞,一般,*,*,概要,38
6,0,説明,名詞,サ変接続,*,*,説明,36
8,0,できる,動詞,自立,*,*,できる,31
10,0,空調,名詞,一般,*,*,空調,38
11,0,デザイン,名詞,サ変接続,*,*,デザイン,36
12,0,空調,名詞,一般,*,*,空調,38
13,0,システム,名詞,一般,*,*,システム,38
15,0,概要,名詞,一般,*,*,概要,38
17,0,説明,名詞,サ変接続,*,*,説明,36
18,0,できる,動詞,自立,*,*,できる,31
19,0,冷暖房,名詞,一般,*,*,冷暖房,38
20,0,負荷,名詞,サ変接続,*,*,負荷,36
21,0,建築,名詞,サ変接続,*,*,建築,36
23,0,冷暖房,名詞,一般,*,*,冷暖房,38
24,0,負荷,名詞,サ変接続,*,*,負荷,36
26,0,説明,名詞,サ変接続,*,*,説明,36
27,0,できる,動詞,自立,*,*,できる,31
29,0,空気調和設備,名詞,固有名詞,一般,*,空気調和設備,41
30,0,空気調和設備,名詞,固有名詞,一般,*,空気調和設備,41
33,0,設備,名詞,サ変接続,*,*,設備,36
35,0,説明,名詞,サ変接続,*,*,説明,36
36,0,できる,動詞,自立,*,*,できる,31
38,0,熱源設備,名詞,固有名詞,一般,*,熱源設備,41
39,0,熱源設備,名詞,固有名詞,一般,*,熱源設備,41
41,0,説明,名詞,サ変接続,*,*,説明,36
42,0,できる,動詞,自立,*,*,できる,31
44,0,クリーンルーム,名詞,固有名詞,一般,*,クリーンルーム,41
46,0,建築物,名詞,固有名詞,地域,一般,建築物,46
48,0,衛生,名詞,一般,*,*,衛生,38
49,0,環境,名詞,一般,*,*,環境,38
50,0,管理,名詞,サ変接続,*,*,管理,36
51,0,クリーンルーム,名詞,固有名詞,一般,*,クリーンルーム,41
53,0,建築物,名詞,固有名詞,地域,一般,建築物,46
55,0,衛生,名詞,一般,*,*,衛生,38
56,0,管理,名詞,サ変接続,*,*,管理,36
58,0,現状,名詞,一般,*,*,現状,38
60,0,説明,名詞,サ変接続,*,*,説明,36
61,0,できる,動詞,自立,*,*,できる,31
63,0,都市,名詞,一般,*,*,都市,38
64,0,空間,名詞,一般,*,*,空間,38
66,0,熱,名詞,一般,*,*,熱,38
67,0,環境,名詞,一般,*,*,環境,38
69,0,熱,名詞,一般,*,*,熱,38
70,0,収支,名詞,一般,*,*,収支,38
71,0,都市,名詞,一般,*,*,都市,38
73,0,熱,名詞,一般,*,*,熱,38
74,0,環境,名詞,一般,*,*,環境,38
76,0,熱,名詞,一般,*,*,熱,38
77,0,収支,名詞,一般,*,*,収支,38
79,0,説明,名詞,サ変接続,*,*,説明,36
80,0,できる,動詞,自立,*,*,できる,31
82,0,都市,名詞,一般,*,*,都市,38
83,0,空間,名詞,一般,*,*,空間,38
85,0,熱,名詞,一般,*,*,熱,38
86,0,環境,名詞,一般,*,*,環境,38
87,0,設計,名詞,サ変接続,*,*,設計,36
88,0,都市,名詞,一般,*,*,都市,38
90,0,熱,名詞,一般,*,*,熱,38
91,0,環境,名詞,一般,*,*,環境,38
92,0,設計,名詞,サ変接続,*,*,設計,36
94,0,説明,名詞,サ変接続,*,*,説明,36
95,0,できる,動詞,自立,*,*,できる,31
97,0,照明,名詞,サ変接続,*,*,照明,36
98,0,設備,名詞,サ変接続,*,*,設備,36
99,0,照明,名詞,サ変接続,*,*,照明,36
100,0,設備,名詞,サ変接続,*,*,設備,36
102,0,説明,名詞,サ変接続,*,*,説明,36
103,0,できる,動詞,自立,*,*,できる,31
105,0,照明,名詞,サ変接続,*,*,照明,36
106,0,計算,名詞,サ変接続,*,*,計算,36
108,0,照明設計,名詞,固有名詞,一般,*,照明設計,41
109,0,建築,名詞,サ変接続,*,*,建築,36
111,0,照明設計,名詞,固有名詞,一般,*,照明設計,41
113,0,計算,名詞,サ変接続,*,*,計算,36
115,0,説明,名詞,サ変接続,*,*,説明,36
116,0,できる,動詞,自立,*,*,できる,31
118,0,給排水,名詞,一般,*,*,給排水,38
119,0,衛生,名詞,一般,*,*,衛生,38
120,0,設備,名詞,サ変接続,*,*,設備,36
122,0,計画,名詞,サ変接続,*,*,計画,36
123,0,建物,名詞,一般,*,*,建物,38
125,0,給排水,名詞,一般,*,*,給排水,38
126,0,衛生,名詞,一般,*,*,衛生,38
127,0,設備,名詞,サ変接続,*,*,設備,36
129,0,説明,名詞,サ変接続,*,*,説明,36
