,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,オリエンテーション,名詞,一般,*,*,オリエンテーション,38
2,0,土肥,名詞,固有名詞,人名,姓,土肥,43
4,0,講義,名詞,サ変接続,*,*,講義,36
5,0,内容,名詞,一般,*,*,内容,38
7,0,スケジュール,名詞,一般,*,*,スケジュール,38
9,0,理解,名詞,サ変接続,*,*,理解,36
12,0,環境,名詞,一般,*,*,環境,38
14,0,美,名詞,一般,*,*,美,38
16,0,デザイン,名詞,サ変接続,*,*,デザイン,36
18,0,土肥,名詞,固有名詞,人名,姓,土肥,43
20,0,斉藤,名詞,固有名詞,人名,姓,斉藤,43
22,0,環境,名詞,一般,*,*,環境,38
24,0,現れる,動詞,自立,*,*,現れる,31
25,0,美,名詞,一般,*,*,美,38
27,0,基準,名詞,一般,*,*,基準,38
29,0,理解,名詞,サ変接続,*,*,理解,36
32,0,説明,名詞,サ変接続,*,*,説明,36
33,0,できる,動詞,自立,*,*,できる,31
36,0,なる,動詞,自立,*,*,なる,31
38,0,制度,名詞,一般,*,*,制度,38
40,0,美,名詞,一般,*,*,美,38
42,0,デザイン,名詞,サ変接続,*,*,デザイン,36
44,0,土肥,名詞,固有名詞,人名,姓,土肥,43
46,0,斉藤,名詞,固有名詞,人名,姓,斉藤,43
48,0,制度,名詞,一般,*,*,制度,38
50,0,いかに,副詞,一般,*,*,いかに,34
51,0,美,名詞,固有名詞,人名,名,美,44
53,0,関わる,動詞,自立,*,*,関わる,31
56,0,理解,名詞,サ変接続,*,*,理解,36
59,0,説明,名詞,サ変接続,*,*,説明,36
60,0,できる,動詞,自立,*,*,できる,31
63,0,なる,動詞,自立,*,*,なる,31
65,0,国家,名詞,一般,*,*,国家,38
66,0,高,名詞,接尾,一般,*,高,51
67,0,権,名詞,接尾,一般,*,権,51
69,0,住民投票,名詞,固有名詞,一般,*,住民投票,41
71,0,土肥,名詞,固有名詞,人名,姓,土肥,43
73,0,斉藤,名詞,固有名詞,人名,姓,斉藤,43
75,0,国,名詞,接尾,一般,*,国,51
77,0,決定,名詞,サ変接続,*,*,決定,36
78,0,権,名詞,接尾,一般,*,権,51
80,0,住民,名詞,一般,*,*,住民,38
82,0,参画,名詞,サ変接続,*,*,参画,36
83,0,権,名詞,接尾,一般,*,権,51
85,0,理解,名詞,サ変接続,*,*,理解,36
88,0,説明,名詞,サ変接続,*,*,説明,36
89,0,できる,動詞,自立,*,*,できる,31
92,0,なる,動詞,自立,*,*,なる,31
94,0,まとめ,名詞,一般,*,*,まとめ,38
97,0,制度,名詞,一般,*,*,制度,38
99,0,形,名詞,一般,*,*,形,38
101,0,土肥,名詞,固有名詞,人名,姓,土肥,43
103,0,斉藤,名詞,固有名詞,人名,姓,斉藤,43
105,0,中井,名詞,固有名詞,人名,姓,中井,43
107,0,真野,名詞,固有名詞,人名,姓,真野,43
109,0,制度,名詞,一般,*,*,制度,38
111,0,形,名詞,一般,*,*,形,38
113,0,現れる,動詞,自立,*,*,現れる,31
114,0,人間,名詞,一般,*,*,人間,38
116,0,環境,名詞,一般,*,*,環境,38
118,0,関係,名詞,サ変接続,*,*,関係,36
121,0,事例,名詞,一般,*,*,事例,38
123,0,理解,名詞,サ変接続,*,*,理解,36
126,0,レポート,名詞,サ変接続,*,*,レポート,36
128,0,表現,名詞,サ変接続,*,*,表現,36
129,0,できる,動詞,自立,*,*,できる,31
131,0,地方自治,名詞,固有名詞,一般,*,地方自治,41
133,0,自律,名詞,サ変接続,*,*,自律,36
136,0,中井,名詞,固有名詞,人名,姓,中井,43
138,0,真野,名詞,固有名詞,人名,姓,真野,43
140,0,団体自治,名詞,固有名詞,一般,*,団体自治,41
142,0,住民自治,名詞,固有名詞,一般,*,住民自治,41
144,0,理解,名詞,サ変接続,*,*,理解,36
147,0,説明,名詞,サ変接続,*,*,説明,36
148,0,できる,動詞,自立,*,*,できる,31
151,0,なる,動詞,自立,*,*,なる,31
153,0,地域振興,名詞,固有名詞,一般,*,地域振興,41
155,0,自然環境,名詞,固有名詞,一般,*,自然環境,41
159,0,中井,名詞,固有名詞,人名,姓,中井,43
161,0,真野,名詞,固有名詞,人名,姓,真野,43
163,0,開発,名詞,サ変接続,*,*,開発,36
165,0,環境保全,名詞,固有名詞,一般,*,環境保全,41
167,0,バランス,名詞,一般,*,*,バランス,38
169,0,理解,名詞,サ変接続,*,*,理解,36
172,0,説明,名詞,サ変接続,*,*,説明,36
173,0,できる,動詞,自立,*,*,できる,31
176,0,なる,動詞,自立,*,*,なる,31
178,0,計画,名詞,サ変接続,*,*,計画,36
180,0,理念,名詞,一般,*,*,理念,38
182,0,事業,名詞,一般,*,*,事業,38
185,0,中井,名詞,固有名詞,人名,姓,中井,43
187,0,真野,名詞,固有名詞,人名,姓,真野,43
189,0,コンセプト,名詞,一般,*,*,コンセプト,38
190,0,プランニング,名詞,サ変接続,*,*,プランニング,36
192,0,実施,名詞,サ変接続,*,*,実施,36
193,0,計画,名詞,サ変接続,*,*,計画,36
195,0,理解,名詞,サ変接続,*,*,理解,36
198,0,説明,名詞,サ変接続,*,*,説明,36
199,0,できる,動詞,自立,*,*,できる,31
202,0,なる,動詞,自立,*,*,なる,31
204,0,まとめ,名詞,一般,*,*,まとめ,38
207,0,計画,名詞,サ変接続,*,*,計画,36
209,0,理念,名詞,一般,*,*,理念,38
212,0,中井,名詞,固有名詞,人名,姓,中井,43
214,0,真野,名詞,固有名詞,人名,姓,真野,43
216,0,十代田,名詞,固有名詞,人名,姓,十代田,43
218,0,真田,名詞,一般,*,*,真田,38
222,0,計画,名詞,サ変接続,*,*,計画,36
224,0,理念,名詞,一般,*,*,理念,38
226,0,現れる,動詞,自立,*,*,現れる,31
227,0,人間,名詞,一般,*,*,人間,38
229,0,環境,名詞,一般,*,*,環境,38
231,0,関係,名詞,サ変接続,*,*,関係,36
234,0,事例,名詞,一般,*,*,事例,38
236,0,理解,名詞,サ変接続,*,*,理解,36
239,0,レポート,名詞,サ変接続,*,*,レポート,36
241,0,表現,名詞,サ変接続,*,*,表現,36
242,0,できる,動詞,自立,*,*,できる,31
244,0,都市,名詞,一般,*,*,都市,38
246,0,将来,名詞,副詞可能,*,*,将来,67
247,0,像,名詞,接尾,一般,*,像,51
250,0,十代田,名詞,固有名詞,人名,姓,十代田,43
252,0,真田,名詞,一般,*,*,真田,38
254,0,中長期,名詞,一般,*,*,中長期,38
255,0,的,名詞,接尾,形容動詞語幹,*,的,52
257,0,都市,名詞,一般,*,*,都市,38
259,0,変貌,名詞,サ変接続,*,*,変貌,36
261,0,あり,動詞,自立,*,*,ある,31
263,0,方向性,名詞,固有名詞,一般,*,方向性,41
265,0,理解,名詞,サ変接続,*,*,理解,36
268,0,説明,名詞,サ変接続,*,*,説明,36
269,0,できる,動詞,自立,*,*,できる,31
272,0,なる,動詞,自立,*,*,なる,31
274,0,コミュニティ,名詞,一般,*,*,コミュニティ,38
276,0,オーガナイズ,名詞,固有名詞,一般,*,オーガナイズ,41
279,0,十代田,名詞,固有名詞,人名,姓,十代田,43
281,0,真田,名詞,一般,*,*,真田,38
283,0,コミュニティ,名詞,一般,*,*,コミュニティ,38
285,0,社会的,名詞,固有名詞,一般,*,社会的,41
286,0,役割,名詞,一般,*,*,役割,38
288,0,再建,名詞,サ変接続,*,*,再建,36
290,0,方法,名詞,一般,*,*,方法,38
292,0,理解,名詞,サ変接続,*,*,理解,36
295,0,説明,名詞,サ変接続,*,*,説明,36
296,0,できる,動詞,自立,*,*,できる,31
299,0,なる,動詞,自立,*,*,なる,31
301,0,ミクロ,名詞,一般,*,*,ミクロ,38
303,0,マクロ,名詞,一般,*,*,マクロ,38
305,0,人間,名詞,一般,*,*,人間,38
306,0,環境,名詞,一般,*,*,環境,38
309,0,十代田,名詞,固有名詞,人名,姓,十代田,43
311,0,真田,名詞,一般,*,*,真田,38
313,0,生活環境,名詞,固有名詞,一般,*,生活環境,41
315,0,広域,名詞,一般,*,*,広域,38
316,0,計画,名詞,サ変接続,*,*,計画,36
318,0,関連,名詞,サ変接続,*,*,関連,36
320,0,理解,名詞,サ変接続,*,*,理解,36
323,0,説明,名詞,サ変接続,*,*,説明,36
324,0,できる,動詞,自立,*,*,できる,31
327,0,なる,動詞,自立,*,*,なる,31
329,0,まとめ,名詞,一般,*,*,まとめ,38
332,0,人々,名詞,一般,*,*,人々,38
334,0,都市,名詞,一般,*,*,都市,38
336,0,十代田,名詞,固有名詞,人名,姓,十代田,43
338,0,真田,名詞,固有名詞,人名,姓,真田,43
340,0,土肥,名詞,固有名詞,人名,姓,土肥,43
342,0,斉藤,名詞,固有名詞,人名,姓,斉藤,43
346,0,人々,名詞,一般,*,*,人々,38
348,0,都市,名詞,一般,*,*,都市,38
350,0,現れる,動詞,自立,*,*,現れる,31
351,0,人間,名詞,一般,*,*,人間,38
353,0,環境,名詞,一般,*,*,環境,38
355,0,関係,名詞,サ変接続,*,*,関係,36
358,0,事例,名詞,一般,*,*,事例,38
360,0,理解,名詞,サ変接続,*,*,理解,36
363,0,レポート,名詞,サ変接続,*,*,レポート,36
365,0,表現,名詞,サ変接続,*,*,表現,36
366,0,できる,動詞,自立,*,*,できる,31
368,0,人間,名詞,一般,*,*,人間,38
369,0,環境,名詞,一般,*,*,環境,38
371,0,計画,名詞,サ変接続,*,*,計画,36
373,0,社会工学,名詞,固有名詞,一般,*,社会工学,41
377,0,中井,名詞,固有名詞,人名,姓,中井,43
