,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,地震動,名詞,一般,*,*,地震動,38
1,0,災害,名詞,一般,*,*,災害,38
3,0,地盤災害,名詞,固有名詞,一般,*,地盤災害,41
4,0,地震動,名詞,一般,*,*,地震動,38
5,0,災害,名詞,一般,*,*,災害,38
7,0,地盤災害,名詞,固有名詞,一般,*,地盤災害,41
9,0,理解,名詞,サ変接続,*,*,理解,36
12,0,質点,名詞,一般,*,*,質点,38
13,0,系,名詞,接尾,一般,*,系,51
15,0,自由振動,名詞,固有名詞,一般,*,自由振動,41
17,0,質点,名詞,一般,*,*,質点,38
18,0,系,名詞,接尾,一般,*,系,51
20,0,自由振動,名詞,固有名詞,一般,*,自由振動,41
22,0,理解,名詞,サ変接続,*,*,理解,36
25,0,質点,名詞,一般,*,*,質点,38
26,0,系,名詞,接尾,一般,*,系,51
28,0,周期,名詞,一般,*,*,周期,38
29,0,外力,名詞,一般,*,*,外力,38
31,0,応答,名詞,サ変接続,*,*,応答,36
33,0,質点,名詞,一般,*,*,質点,38
34,0,系,名詞,接尾,一般,*,系,51
36,0,周期,名詞,一般,*,*,周期,38
37,0,外力,名詞,一般,*,*,外力,38
39,0,応答,名詞,サ変接続,*,*,応答,36
41,0,理解,名詞,サ変接続,*,*,理解,36
43,0,地震動,名詞,一般,*,*,地震動,38
45,0,応答スペクトル,名詞,固有名詞,一般,*,応答スペクトル,41
46,0,地震動,名詞,一般,*,*,地震動,38
48,0,応答スペクトル,名詞,固有名詞,一般,*,応答スペクトル,41
50,0,理解,名詞,サ変接続,*,*,理解,36
53,0,質点,名詞,一般,*,*,質点,38
54,0,系,名詞,接尾,一般,*,系,51
56,0,固有,名詞,一般,*,*,固有,38
57,0,周期,名詞,一般,*,*,周期,38
59,0,固有,名詞,一般,*,*,固有,38
60,0,モード,名詞,一般,*,*,モード,38
62,0,質点,名詞,一般,*,*,質点,38
63,0,系,名詞,接尾,一般,*,系,51
65,0,固有,名詞,一般,*,*,固有,38
66,0,周期,名詞,一般,*,*,周期,38
68,0,固有,名詞,一般,*,*,固有,38
69,0,モード,名詞,一般,*,*,モード,38
71,0,理解,名詞,サ変接続,*,*,理解,36
74,0,質点,名詞,一般,*,*,質点,38
75,0,系,名詞,接尾,一般,*,系,51
77,0,強制振動,名詞,固有名詞,一般,*,強制振動,41
79,0,質点,名詞,一般,*,*,質点,38
80,0,系,名詞,接尾,一般,*,系,51
82,0,強制振動,名詞,固有名詞,一般,*,強制振動,41
84,0,理解,名詞,サ変接続,*,*,理解,36
87,0,質点,名詞,一般,*,*,質点,38
88,0,系,名詞,接尾,一般,*,系,51
90,0,時刻,名詞,一般,*,*,時刻,38
91,0,歴,名詞,接尾,一般,*,歴,51
92,0,応答,名詞,サ変接続,*,*,応答,36
93,0,解析,名詞,サ変接続,*,*,解析,36
95,0,質点,名詞,一般,*,*,質点,38
96,0,系,名詞,接尾,一般,*,系,51
98,0,時刻,名詞,一般,*,*,時刻,38
99,0,歴,名詞,接尾,一般,*,歴,51
100,0,応答,名詞,サ変接続,*,*,応答,36
102,0,算定,名詞,サ変接続,*,*,算定,36
103,0,法,名詞,接尾,一般,*,法,51
105,0,理解,名詞,サ変接続,*,*,理解,36
108,0,地盤,名詞,一般,*,*,地盤,38
110,0,せん断,名詞,サ変接続,*,*,せん断,36
111,0,振動,名詞,サ変接続,*,*,振動,36
113,0,固有,名詞,一般,*,*,固有,38
114,0,周期,名詞,一般,*,*,周期,38
115,0,地盤,名詞,一般,*,*,地盤,38
117,0,せん断,名詞,サ変接続,*,*,せん断,36
118,0,振動,名詞,サ変接続,*,*,振動,36
120,0,固有,名詞,一般,*,*,固有,38
121,0,周期,名詞,一般,*,*,周期,38
123,0,理解,名詞,サ変接続,*,*,理解,36
125,0,建物,名詞,一般,*,*,建物,38
127,0,免震,名詞,固有名詞,一般,*,免震,41
129,0,制,名詞,サ変接続,*,*,制,36
130,0,振,動詞,自立,*,*,振る,31
131,0,建物,名詞,一般,*,*,建物,38
133,0,免震,名詞,固有名詞,一般,*,免震,41
135,0,制,名詞,サ変接続,*,*,制,36
136,0,振,動詞,自立,*,*,振る,31
138,0,理解,名詞,サ変接続,*,*,理解,36
140,0,建物,名詞,一般,*,*,建物,38
142,0,耐震,名詞,一般,*,*,耐震,38
143,0,改修,名詞,サ変接続,*,*,改修,36
144,0,建物,名詞,一般,*,*,建物,38
146,0,耐震,名詞,一般,*,*,耐震,38
147,0,改修,名詞,サ変接続,*,*,改修,36
149,0,理解,名詞,サ変接続,*,*,理解,36
151,0,免震,名詞,固有名詞,一般,*,免震,41
152,0,デバイス,名詞,一般,*,*,デバイス,38
154,0,設計,名詞,サ変接続,*,*,設計,36
155,0,免震,名詞,固有名詞,一般,*,免震,41
156,0,デバイス,名詞,一般,*,*,デバイス,38
158,0,選定,名詞,サ変接続,*,*,選定,36
159,0,法,名詞,接尾,一般,*,法,51
161,0,理解,名詞,サ変接続,*,*,理解,36
163,0,砂地,名詞,一般,*,*,砂地,38
164,0,盤,名詞,接尾,一般,*,盤,51
166,0,液状化,名詞,固有名詞,一般,*,液状化,41
167,0,砂地,名詞,一般,*,*,砂地,38
168,0,盤,名詞,接尾,一般,*,盤,51
170,0,液状化,名詞,固有名詞,一般,*,液状化,41
172,0,理解,名詞,サ変接続,*,*,理解,36
174,0,砂地,名詞,一般,*,*,砂地,38
175,0,盤,名詞,接尾,一般,*,盤,51
177,0,液状化,名詞,固有名詞,一般,*,液状化,41
179,0,対策,名詞,サ変接続,*,*,対策,36
180,0,砂地,名詞,一般,*,*,砂地,38
181,0,盤,名詞,接尾,一般,*,盤,51
183,0,液状化,名詞,固有名詞,一般,*,液状化,41
185,0,対策,名詞,サ変接続,*,*,対策,36
187,0,理解,名詞,サ変接続,*,*,理解,36
189,0,杭基礎,名詞,固有名詞,一般,*,杭基礎,41
191,0,耐震設計,名詞,固有名詞,一般,*,耐震設計,41
192,0,杭基礎,名詞,固有名詞,一般,*,杭基礎,41
194,0,耐震設計,名詞,固有名詞,一般,*,耐震設計,41
196,0,理解,名詞,サ変接続,*,*,理解,36
