,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,有機化学,名詞,固有名詞,一般,*,有機化学,41
1,0,第一,名詞,固有名詞,一般,*,第一,41
3,0,アルカン,名詞,固有名詞,人名,一般,アルカン,42
6,0,応用化学,名詞,固有名詞,一般,*,応用化学,41
8,0,有機化学,名詞,固有名詞,一般,*,有機化学,41
12,0,アルケン,名詞,固有名詞,一般,*,アルケン,41
14,0,有機化学,名詞,固有名詞,一般,*,有機化学,41
18,0,芳香,名詞,一般,*,*,芳香,38
19,0,族,名詞,接尾,一般,*,族,51
21,0,有機化学,名詞,固有名詞,一般,*,有機化学,41
25,0,求核置換反応,名詞,固有名詞,一般,*,求核置換反応,41
27,0,有機化学,名詞,固有名詞,一般,*,有機化学,41
28,0,第一,名詞,固有名詞,一般,*,第一,41
30,0,アルカン,名詞,固有名詞,人名,一般,アルカン,42
33,0,応用化学,名詞,固有名詞,一般,*,応用化学,41
35,0,有機化学,名詞,固有名詞,一般,*,有機化学,41
39,0,アルケン,名詞,固有名詞,一般,*,アルケン,41
41,0,有機化学,名詞,固有名詞,一般,*,有機化学,41
45,0,芳香,名詞,一般,*,*,芳香,38
46,0,族,名詞,接尾,一般,*,族,51
48,0,有機化学,名詞,固有名詞,一般,*,有機化学,41
52,0,求核置換反応,名詞,固有名詞,一般,*,求核置換反応,41
54,0,有機化学,名詞,固有名詞,一般,*,有機化学,41
55,0,第一,名詞,固有名詞,一般,*,第一,41
57,0,アルカン,名詞,固有名詞,人名,一般,アルカン,42
60,0,応用化学,名詞,固有名詞,一般,*,応用化学,41
62,0,有機化学,名詞,固有名詞,一般,*,有機化学,41
66,0,アルケン,名詞,固有名詞,一般,*,アルケン,41
68,0,有機化学,名詞,固有名詞,一般,*,有機化学,41
72,0,芳香,名詞,一般,*,*,芳香,38
73,0,族,名詞,接尾,一般,*,族,51
75,0,有機化学,名詞,固有名詞,一般,*,有機化学,41
79,0,求核置換反応,名詞,固有名詞,一般,*,求核置換反応,41
81,0,有機化学,名詞,固有名詞,一般,*,有機化学,41
82,0,第一,名詞,固有名詞,一般,*,第一,41
84,0,アルカン,名詞,固有名詞,人名,一般,アルカン,42
87,0,応用化学,名詞,固有名詞,一般,*,応用化学,41
89,0,有機化学,名詞,固有名詞,一般,*,有機化学,41
93,0,アルケン,名詞,固有名詞,一般,*,アルケン,41
95,0,有機化学,名詞,固有名詞,一般,*,有機化学,41
99,0,芳香,名詞,一般,*,*,芳香,38
100,0,族,名詞,接尾,一般,*,族,51
102,0,有機化学,名詞,固有名詞,一般,*,有機化学,41
106,0,求核置換反応,名詞,固有名詞,一般,*,求核置換反応,41
108,0,有機化学,名詞,固有名詞,一般,*,有機化学,41
109,0,第一,名詞,固有名詞,一般,*,第一,41
111,0,アルカン,名詞,固有名詞,人名,一般,アルカン,42
114,0,応用化学,名詞,固有名詞,一般,*,応用化学,41
116,0,有機化学,名詞,固有名詞,一般,*,有機化学,41
120,0,アルケン,名詞,固有名詞,一般,*,アルケン,41
122,0,有機化学,名詞,固有名詞,一般,*,有機化学,41
126,0,芳香,名詞,一般,*,*,芳香,38
127,0,族,名詞,接尾,一般,*,族,51
129,0,有機化学,名詞,固有名詞,一般,*,有機化学,41
133,0,求核置換反応,名詞,固有名詞,一般,*,求核置換反応,41
135,0,有機化学,名詞,固有名詞,一般,*,有機化学,41
136,0,第五,名詞,固有名詞,一般,*,第五,41
139,0,化合物,名詞,固有名詞,一般,*,化合物,41
141,0,有機化学,名詞,固有名詞,一般,*,有機化学,41
145,0,アミン,名詞,固有名詞,一般,*,amin,41
