,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,光,名詞,一般,*,*,光,38
1,0,有機,名詞,一般,*,*,有機,38
2,0,反応,名詞,サ変接続,*,*,反応,36
3,0,触媒,名詞,一般,*,*,触媒,38
4,0,反応,名詞,サ変接続,*,*,反応,36
5,0,有機,名詞,一般,*,*,有機,38
6,0,構造,名詞,一般,*,*,構造,38
7,0,分子集合体,名詞,固有名詞,一般,*,分子集合体,41
8,0,生物,名詞,一般,*,*,生物,38
9,0,光,名詞,接尾,一般,*,光,51
10,0,有機,名詞,一般,*,*,有機,38
11,0,反応,名詞,サ変接続,*,*,反応,36
12,0,触媒,名詞,一般,*,*,触媒,38
13,0,反応,名詞,サ変接続,*,*,反応,36
14,0,有機,名詞,一般,*,*,有機,38
15,0,構造,名詞,一般,*,*,構造,38
16,0,分子集合体,名詞,固有名詞,一般,*,分子集合体,41
17,0,生物,名詞,一般,*,*,生物,38
18,0,光,名詞,接尾,一般,*,光,51
19,0,有機,名詞,一般,*,*,有機,38
20,0,反応,名詞,サ変接続,*,*,反応,36
21,0,触媒,名詞,一般,*,*,触媒,38
22,0,反応,名詞,サ変接続,*,*,反応,36
23,0,有機,名詞,一般,*,*,有機,38
24,0,構造,名詞,一般,*,*,構造,38
25,0,分子集合体,名詞,固有名詞,一般,*,分子集合体,41
26,0,生物,名詞,一般,*,*,生物,38
27,0,光,名詞,接尾,一般,*,光,51
28,0,有機,名詞,一般,*,*,有機,38
29,0,反応,名詞,サ変接続,*,*,反応,36
30,0,触媒,名詞,一般,*,*,触媒,38
31,0,反応,名詞,サ変接続,*,*,反応,36
32,0,有機,名詞,一般,*,*,有機,38
33,0,構造,名詞,一般,*,*,構造,38
34,0,分子集合体,名詞,固有名詞,一般,*,分子集合体,41
35,0,生物,名詞,一般,*,*,生物,38
36,0,光,名詞,接尾,一般,*,光,51
37,0,有機,名詞,一般,*,*,有機,38
38,0,反応,名詞,サ変接続,*,*,反応,36
39,0,触媒,名詞,一般,*,*,触媒,38
40,0,反応,名詞,サ変接続,*,*,反応,36
41,0,有機,名詞,一般,*,*,有機,38
42,0,構造,名詞,一般,*,*,構造,38
43,0,分子集合体,名詞,固有名詞,一般,*,分子集合体,41
44,0,生物,名詞,一般,*,*,生物,38
