,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,均一,名詞,形容動詞語幹,*,*,均一,40
1,0,系,名詞,接尾,一般,*,系,51
2,0,触媒,名詞,一般,*,*,触媒,38
3,0,反応,名詞,サ変接続,*,*,反応,36
5,0,特徴,名詞,一般,*,*,特徴,38
6,0,均一,名詞,一般,*,*,均一,38
7,0,系,名詞,接尾,一般,*,系,51
8,0,触媒,名詞,一般,*,*,触媒,38
9,0,反応,名詞,サ変接続,*,*,反応,36
11,0,特徴,名詞,一般,*,*,特徴,38
13,0,説明,名詞,サ変接続,*,*,説明,36
14,0,できる,動詞,自立,*,*,できる,31
16,0,均一,名詞,一般,*,*,均一,38
17,0,系,名詞,接尾,一般,*,系,51
18,0,触媒,名詞,一般,*,*,触媒,38
19,0,反応,名詞,サ変接続,*,*,反応,36
21,0,素,名詞,一般,*,*,素,38
22,0,過程,名詞,一般,*,*,過程,38
23,0,均一,名詞,一般,*,*,均一,38
24,0,系,名詞,接尾,一般,*,系,51
25,0,触媒,名詞,一般,*,*,触媒,38
26,0,反応,名詞,サ変接続,*,*,反応,36
28,0,素,名詞,一般,*,*,素,38
29,0,過程,名詞,一般,*,*,過程,38
31,0,説明,名詞,サ変接続,*,*,説明,36
32,0,できる,動詞,自立,*,*,できる,31
34,0,触媒,名詞,一般,*,*,触媒,38
35,0,的,名詞,接尾,形容動詞語幹,*,的,52
36,0,水素化,名詞,固有名詞,一般,*,水素化,41
37,0,反応,名詞,サ変接続,*,*,反応,36
38,0,均一,名詞,一般,*,*,均一,38
39,0,系,名詞,接尾,一般,*,系,51
40,0,触媒,名詞,一般,*,*,触媒,38
42,0,水素化,名詞,固有名詞,一般,*,水素化,41
43,0,反応,名詞,サ変接続,*,*,反応,36
45,0,機構,名詞,一般,*,*,機構,38
47,0,説明,名詞,サ変接続,*,*,説明,36
48,0,できる,動詞,自立,*,*,できる,31
50,0,触媒,名詞,一般,*,*,触媒,38
51,0,的,名詞,接尾,形容動詞語幹,*,的,52
53,0,化,名詞,接尾,サ変接続,*,化,50
54,0,反応,名詞,サ変接続,*,*,反応,36
55,0,触媒,名詞,一般,*,*,触媒,38
56,0,的,名詞,接尾,形容動詞語幹,*,的,52
58,0,化,名詞,接尾,サ変接続,*,化,50
59,0,反応,名詞,サ変接続,*,*,反応,36
61,0,機構,名詞,一般,*,*,機構,38
63,0,説明,名詞,サ変接続,*,*,説明,36
64,0,できる,動詞,自立,*,*,できる,31
66,0,触媒,名詞,一般,*,*,触媒,38
67,0,的,名詞,接尾,形容動詞語幹,*,的,52
68,0,酸化,名詞,サ変接続,*,*,酸化,36
69,0,反応,名詞,サ変接続,*,*,反応,36
70,0,触媒,名詞,一般,*,*,触媒,38
71,0,的,名詞,接尾,形容動詞語幹,*,的,52
72,0,酸化,名詞,サ変接続,*,*,酸化,36
73,0,反応,名詞,サ変接続,*,*,反応,36
75,0,機構,名詞,一般,*,*,機構,38
78,0,酢酸,名詞,一般,*,*,酢酸,38
80,0,合成,名詞,サ変接続,*,*,合成,36
81,0,プロセス,名詞,一般,*,*,プロセス,38
83,0,説明,名詞,サ変接続,*,*,説明,36
84,0,できる,動詞,自立,*,*,できる,31
86,0,オレフィンメタセシス,名詞,固有名詞,一般,*,オレフィンメタセシス,41
87,0,反応,名詞,サ変接続,*,*,反応,36
90,0,重合反応,名詞,固有名詞,一般,*,重合反応,41
