,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
1,0,講義,名詞,サ変接続,*,*,講義,36
3,0,履修,名詞,サ変接続,*,*,履修,36
7,0,次,名詞,一般,*,*,次,38
9,0,能力,名詞,一般,*,*,能力,38
11,0,修得,名詞,サ変接続,*,*,修得,36
17,0,原子,名詞,一般,*,*,原子,38
18,0,間,名詞,接尾,一般,*,間,51
19,0,力,名詞,接尾,一般,*,力,51
20,0,顕微鏡,名詞,一般,*,*,顕微鏡,38
22,0,原理,名詞,一般,*,*,原理,38
24,0,応用,名詞,サ変接続,*,*,応用,36
26,0,説明,名詞,サ変接続,*,*,説明,36
27,0,できる,動詞,自立,*,*,できる,31
32,0,電子顕微鏡,名詞,固有名詞,一般,*,電子顕微鏡,41
34,0,原理,名詞,一般,*,*,原理,38
36,0,応用,名詞,サ変接続,*,*,応用,36
38,0,説明,名詞,サ変接続,*,*,説明,36
39,0,できる,動詞,自立,*,*,できる,31
44,0,二次,名詞,一般,*,*,二次,38
45,0,イオン,名詞,一般,*,*,イオン,38
46,0,質量分析,名詞,固有名詞,一般,*,質量分析,41
48,0,原理,名詞,一般,*,*,原理,38
50,0,応用,名詞,サ変接続,*,*,応用,36
52,0,説明,名詞,サ変接続,*,*,説明,36
53,0,できる,動詞,自立,*,*,できる,31
56,0,講義,名詞,サ変接続,*,*,講義,36
58,0,履修,名詞,サ変接続,*,*,履修,36
62,0,次,名詞,一般,*,*,次,38
64,0,能力,名詞,一般,*,*,能力,38
66,0,修得,名詞,サ変接続,*,*,修得,36
72,0,原子,名詞,一般,*,*,原子,38
73,0,間,名詞,接尾,一般,*,間,51
74,0,力,名詞,接尾,一般,*,力,51
75,0,顕微鏡,名詞,一般,*,*,顕微鏡,38
77,0,原理,名詞,一般,*,*,原理,38
79,0,応用,名詞,サ変接続,*,*,応用,36
81,0,説明,名詞,サ変接続,*,*,説明,36
82,0,できる,動詞,自立,*,*,できる,31
87,0,電子顕微鏡,名詞,固有名詞,一般,*,電子顕微鏡,41
89,0,原理,名詞,一般,*,*,原理,38
91,0,応用,名詞,サ変接続,*,*,応用,36
93,0,説明,名詞,サ変接続,*,*,説明,36
94,0,できる,動詞,自立,*,*,できる,31
99,0,二次,名詞,一般,*,*,二次,38
100,0,イオン,名詞,一般,*,*,イオン,38
101,0,質量分析,名詞,固有名詞,一般,*,質量分析,41
103,0,原理,名詞,一般,*,*,原理,38
105,0,応用,名詞,サ変接続,*,*,応用,36
107,0,説明,名詞,サ変接続,*,*,説明,36
108,0,できる,動詞,自立,*,*,できる,31
111,0,講義,名詞,サ変接続,*,*,講義,36
113,0,履修,名詞,サ変接続,*,*,履修,36
117,0,次,名詞,一般,*,*,次,38
119,0,能力,名詞,一般,*,*,能力,38
121,0,修得,名詞,サ変接続,*,*,修得,36
127,0,原子,名詞,一般,*,*,原子,38
128,0,間,名詞,接尾,一般,*,間,51
129,0,力,名詞,接尾,一般,*,力,51
130,0,顕微鏡,名詞,一般,*,*,顕微鏡,38
132,0,原理,名詞,一般,*,*,原理,38
134,0,応用,名詞,サ変接続,*,*,応用,36
136,0,説明,名詞,サ変接続,*,*,説明,36
137,0,できる,動詞,自立,*,*,できる,31
142,0,電子顕微鏡,名詞,固有名詞,一般,*,電子顕微鏡,41
144,0,原理,名詞,一般,*,*,原理,38
146,0,応用,名詞,サ変接続,*,*,応用,36
148,0,説明,名詞,サ変接続,*,*,説明,36
149,0,できる,動詞,自立,*,*,できる,31
154,0,二次,名詞,一般,*,*,二次,38
155,0,イオン,名詞,一般,*,*,イオン,38
156,0,質量分析,名詞,固有名詞,一般,*,質量分析,41
158,0,原理,名詞,一般,*,*,原理,38
160,0,応用,名詞,サ変接続,*,*,応用,36
162,0,説明,名詞,サ変接続,*,*,説明,36
163,0,できる,動詞,自立,*,*,できる,31
166,0,講義,名詞,サ変接続,*,*,講義,36
168,0,履修,名詞,サ変接続,*,*,履修,36
172,0,次,名詞,一般,*,*,次,38
174,0,能力,名詞,一般,*,*,能力,38
176,0,修得,名詞,サ変接続,*,*,修得,36
182,0,原子,名詞,一般,*,*,原子,38
183,0,間,名詞,接尾,一般,*,間,51
184,0,力,名詞,接尾,一般,*,力,51
185,0,顕微鏡,名詞,一般,*,*,顕微鏡,38
187,0,原理,名詞,一般,*,*,原理,38
189,0,応用,名詞,サ変接続,*,*,応用,36
191,0,説明,名詞,サ変接続,*,*,説明,36
192,0,できる,動詞,自立,*,*,できる,31
197,0,電子顕微鏡,名詞,固有名詞,一般,*,電子顕微鏡,41
199,0,原理,名詞,一般,*,*,原理,38
201,0,応用,名詞,サ変接続,*,*,応用,36
203,0,説明,名詞,サ変接続,*,*,説明,36
204,0,できる,動詞,自立,*,*,できる,31
209,0,二次,名詞,一般,*,*,二次,38
210,0,イオン,名詞,一般,*,*,イオン,38
211,0,質量分析,名詞,固有名詞,一般,*,質量分析,41
213,0,原理,名詞,一般,*,*,原理,38
215,0,応用,名詞,サ変接続,*,*,応用,36
217,0,説明,名詞,サ変接続,*,*,説明,36
218,0,できる,動詞,自立,*,*,できる,31
221,0,講義,名詞,サ変接続,*,*,講義,36
223,0,履修,名詞,サ変接続,*,*,履修,36
227,0,次,名詞,一般,*,*,次,38
229,0,能力,名詞,一般,*,*,能力,38
231,0,修得,名詞,サ変接続,*,*,修得,36
237,0,原子,名詞,一般,*,*,原子,38
238,0,間,名詞,接尾,一般,*,間,51
239,0,力,名詞,接尾,一般,*,力,51
240,0,顕微鏡,名詞,一般,*,*,顕微鏡,38
242,0,原理,名詞,一般,*,*,原理,38
244,0,応用,名詞,サ変接続,*,*,応用,36
246,0,説明,名詞,サ変接続,*,*,説明,36
247,0,できる,動詞,自立,*,*,できる,31
252,0,電子顕微鏡,名詞,固有名詞,一般,*,電子顕微鏡,41
254,0,原理,名詞,一般,*,*,原理,38
256,0,応用,名詞,サ変接続,*,*,応用,36
258,0,説明,名詞,サ変接続,*,*,説明,36
259,0,できる,動詞,自立,*,*,できる,31
264,0,二次,名詞,一般,*,*,二次,38
265,0,イオン,名詞,一般,*,*,イオン,38
266,0,質量分析,名詞,固有名詞,一般,*,質量分析,41
268,0,原理,名詞,一般,*,*,原理,38
270,0,応用,名詞,サ変接続,*,*,応用,36
272,0,説明,名詞,サ変接続,*,*,説明,36
273,0,できる,動詞,自立,*,*,できる,31
