,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,対称性,名詞,固有名詞,一般,*,対称性,41
1,0,対称,名詞,一般,*,*,対称,38
2,0,操作,名詞,サ変接続,*,*,操作,36
3,0,対称,名詞,一般,*,*,対称,38
4,0,要素,名詞,一般,*,*,要素,38
5,0,点,名詞,接尾,一般,*,点,51
6,0,群,名詞,接尾,一般,*,群,51
7,0,指標表,名詞,固有名詞,一般,*,指標表,41
8,0,対称,名詞,一般,*,*,対称,38
9,0,標識,名詞,一般,*,*,標識,38
10,0,対称,名詞,一般,*,*,対称,38
11,0,適合,名詞,サ変接続,*,*,適合,36
12,0,線形,名詞,一般,*,*,線形,38
13,0,結合,名詞,サ変接続,*,*,結合,36
14,0,分子,名詞,一般,*,*,分子,38
15,0,振動,名詞,サ変接続,*,*,振動,36
16,0,分子軌道,名詞,固有名詞,一般,*,分子軌道,41
17,0,対称性,名詞,固有名詞,一般,*,対称性,41
18,0,対称,名詞,一般,*,*,対称,38
19,0,操作,名詞,サ変接続,*,*,操作,36
20,0,対称,名詞,一般,*,*,対称,38
21,0,要素,名詞,一般,*,*,要素,38
22,0,点,名詞,接尾,一般,*,点,51
23,0,群,名詞,接尾,一般,*,群,51
24,0,指標表,名詞,固有名詞,一般,*,指標表,41
25,0,対称,名詞,一般,*,*,対称,38
26,0,標識,名詞,一般,*,*,標識,38
27,0,対称,名詞,一般,*,*,対称,38
28,0,適合,名詞,サ変接続,*,*,適合,36
29,0,線形,名詞,一般,*,*,線形,38
30,0,結合,名詞,サ変接続,*,*,結合,36
31,0,分子,名詞,一般,*,*,分子,38
32,0,振動,名詞,サ変接続,*,*,振動,36
33,0,分子軌道,名詞,固有名詞,一般,*,分子軌道,41
34,0,対称性,名詞,固有名詞,一般,*,対称性,41
35,0,対称,名詞,一般,*,*,対称,38
36,0,操作,名詞,サ変接続,*,*,操作,36
37,0,対称,名詞,一般,*,*,対称,38
38,0,要素,名詞,一般,*,*,要素,38
39,0,点,名詞,接尾,一般,*,点,51
40,0,群,名詞,接尾,一般,*,群,51
41,0,指標表,名詞,固有名詞,一般,*,指標表,41
42,0,対称,名詞,一般,*,*,対称,38
43,0,標識,名詞,一般,*,*,標識,38
44,0,対称,名詞,一般,*,*,対称,38
45,0,適合,名詞,サ変接続,*,*,適合,36
46,0,線形,名詞,一般,*,*,線形,38
47,0,結合,名詞,サ変接続,*,*,結合,36
48,0,分子,名詞,一般,*,*,分子,38
49,0,振動,名詞,サ変接続,*,*,振動,36
50,0,分子軌道,名詞,固有名詞,一般,*,分子軌道,41
51,0,対称性,名詞,固有名詞,一般,*,対称性,41
52,0,対称,名詞,一般,*,*,対称,38
53,0,操作,名詞,サ変接続,*,*,操作,36
54,0,対称,名詞,一般,*,*,対称,38
55,0,要素,名詞,一般,*,*,要素,38
56,0,点,名詞,接尾,一般,*,点,51
57,0,群,名詞,接尾,一般,*,群,51
58,0,指標表,名詞,固有名詞,一般,*,指標表,41
59,0,対称,名詞,一般,*,*,対称,38
60,0,標識,名詞,一般,*,*,標識,38
61,0,対称,名詞,一般,*,*,対称,38
62,0,適合,名詞,サ変接続,*,*,適合,36
63,0,線形,名詞,一般,*,*,線形,38
64,0,結合,名詞,サ変接続,*,*,結合,36
65,0,分子,名詞,一般,*,*,分子,38
66,0,振動,名詞,サ変接続,*,*,振動,36
67,0,分子軌道,名詞,固有名詞,一般,*,分子軌道,41
68,0,対称性,名詞,固有名詞,一般,*,対称性,41
69,0,対称,名詞,一般,*,*,対称,38
70,0,操作,名詞,サ変接続,*,*,操作,36
71,0,対称,名詞,一般,*,*,対称,38
72,0,要素,名詞,一般,*,*,要素,38
73,0,点,名詞,接尾,一般,*,点,51
74,0,群,名詞,接尾,一般,*,群,51
75,0,指標表,名詞,固有名詞,一般,*,指標表,41
76,0,対称,名詞,一般,*,*,対称,38
77,0,標識,名詞,一般,*,*,標識,38
78,0,対称,名詞,一般,*,*,対称,38
79,0,適合,名詞,サ変接続,*,*,適合,36
80,0,線形,名詞,一般,*,*,線形,38
81,0,結合,名詞,サ変接続,*,*,結合,36
82,0,分子,名詞,一般,*,*,分子,38
83,0,振動,名詞,サ変接続,*,*,振動,36
84,0,分子軌道,名詞,固有名詞,一般,*,分子軌道,41
