,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,物理化学,名詞,固有名詞,一般,*,物理化学,41
1,0,第一,名詞,固有名詞,一般,*,第一,41
3,0,熱力学,名詞,固有名詞,一般,*,熱力学,41
4,0,法則,名詞,一般,*,*,法則,38
6,0,物理化学,名詞,固有名詞,一般,*,物理化学,41
10,0,反応速度論,名詞,固有名詞,一般,*,反応速度論,41
12,0,化工,名詞,一般,*,*,化工,38
13,0,熱力学,名詞,固有名詞,一般,*,熱力学,41
14,0,化学,名詞,一般,*,*,化学,38
15,0,熱力学,名詞,固有名詞,一般,*,熱力学,41
16,0,基礎,名詞,一般,*,*,基礎,38
17,0,物理化学,名詞,固有名詞,一般,*,物理化学,41
18,0,第一,名詞,固有名詞,一般,*,第一,41
20,0,熱力学,名詞,固有名詞,一般,*,熱力学,41
21,0,法則,名詞,一般,*,*,法則,38
23,0,物理化学,名詞,固有名詞,一般,*,物理化学,41
27,0,反応速度論,名詞,固有名詞,一般,*,反応速度論,41
29,0,化工,名詞,一般,*,*,化工,38
30,0,熱力学,名詞,固有名詞,一般,*,熱力学,41
31,0,化学,名詞,一般,*,*,化学,38
32,0,熱力学,名詞,固有名詞,一般,*,熱力学,41
33,0,基礎,名詞,一般,*,*,基礎,38
34,0,物理化学,名詞,固有名詞,一般,*,物理化学,41
35,0,第一,名詞,固有名詞,一般,*,第一,41
37,0,熱力学,名詞,固有名詞,一般,*,熱力学,41
38,0,法則,名詞,一般,*,*,法則,38
40,0,物理化学,名詞,固有名詞,一般,*,物理化学,41
44,0,反応速度論,名詞,固有名詞,一般,*,反応速度論,41
46,0,化工,名詞,一般,*,*,化工,38
47,0,熱力学,名詞,固有名詞,一般,*,熱力学,41
48,0,化学,名詞,一般,*,*,化学,38
49,0,熱力学,名詞,固有名詞,一般,*,熱力学,41
50,0,基礎,名詞,一般,*,*,基礎,38
51,0,物理化学,名詞,固有名詞,一般,*,物理化学,41
52,0,第一,名詞,固有名詞,一般,*,第一,41
54,0,熱力学,名詞,固有名詞,一般,*,熱力学,41
55,0,法則,名詞,一般,*,*,法則,38
57,0,物理化学,名詞,固有名詞,一般,*,物理化学,41
61,0,反応速度論,名詞,固有名詞,一般,*,反応速度論,41
63,0,化工,名詞,一般,*,*,化工,38
64,0,熱力学,名詞,固有名詞,一般,*,熱力学,41
65,0,化学,名詞,一般,*,*,化学,38
66,0,熱力学,名詞,固有名詞,一般,*,熱力学,41
67,0,基礎,名詞,一般,*,*,基礎,38
68,0,物理化学,名詞,固有名詞,一般,*,物理化学,41
69,0,第一,名詞,固有名詞,一般,*,第一,41
71,0,熱力学,名詞,固有名詞,一般,*,熱力学,41
72,0,法則,名詞,一般,*,*,法則,38
74,0,物理化学,名詞,固有名詞,一般,*,物理化学,41
78,0,反応速度論,名詞,固有名詞,一般,*,反応速度論,41
80,0,化工,名詞,一般,*,*,化工,38
81,0,熱力学,名詞,固有名詞,一般,*,熱力学,41
82,0,化学,名詞,一般,*,*,化学,38
83,0,熱力学,名詞,固有名詞,一般,*,熱力学,41
84,0,基礎,名詞,一般,*,*,基礎,38
85,0,物理化学,名詞,固有名詞,一般,*,物理化学,41
86,0,第一,名詞,固有名詞,一般,*,第一,41
88,0,熱力学,名詞,固有名詞,一般,*,熱力学,41
89,0,法則,名詞,一般,*,*,法則,38
91,0,物理化学,名詞,固有名詞,一般,*,物理化学,41
95,0,反応速度論,名詞,固有名詞,一般,*,反応速度論,41
97,0,化工,名詞,一般,*,*,化工,38
98,0,熱力学,名詞,固有名詞,一般,*,熱力学,41
99,0,化学,名詞,一般,*,*,化学,38
