,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,化学,名詞,一般,*,*,化学,38
2,0,物質の状態,名詞,固有名詞,一般,*,物質の状態,41
3,0,変化,名詞,サ変接続,*,*,変化,36
5,0,平衡,名詞,サ変接続,*,*,平衡,36
7,0,物質,名詞,一般,*,*,物質,38
9,0,物理的,名詞,固有名詞,一般,*,物理的,41
10,0,状態,名詞,一般,*,*,状態,38
11,0,変化,名詞,サ変接続,*,*,変化,36
13,0,示す,動詞,自立,*,*,示す,31
14,0,相,名詞,一般,*,*,相,38
15,0,図,名詞,接尾,一般,*,図,51
17,0,理解,名詞,サ変接続,*,*,理解,36
19,0,できる,動詞,自立,*,*,できる,31
22,0,物質の状態,名詞,固有名詞,一般,*,物質の状態,41
23,0,変化,名詞,サ変接続,*,*,変化,36
25,0,平衡,名詞,サ変接続,*,*,平衡,36
27,0,熱力学,名詞,固有名詞,一般,*,熱力学,41
28,0,的,名詞,接尾,形容動詞語幹,*,的,52
29,0,基準,名詞,一般,*,*,基準,38
30,0,相,名詞,接尾,一般,*,相,51
32,0,安定性,名詞,固有名詞,一般,*,安定性,41
34,0,相転移,名詞,固有名詞,一般,*,相転移,41
36,0,熱力学,名詞,固有名詞,一般,*,熱力学,41
37,0,的,名詞,接尾,形容動詞語幹,*,的,52
39,0,意味,名詞,サ変接続,*,*,意味,36
41,0,理解,名詞,サ変接続,*,*,理解,36
44,0,境界,名詞,一般,*,*,境界,38
46,0,式,名詞,一般,*,*,式,38
48,0,導出,名詞,サ変接続,*,*,導出,36
50,0,できる,動詞,自立,*,*,できる,31
52,0,単純,名詞,形容動詞語幹,*,*,単純,40
54,0,混合,名詞,サ変接続,*,*,混合,36
55,0,物,名詞,接尾,一般,*,物,51
57,0,熱力学,名詞,固有名詞,一般,*,熱力学,41
58,0,的,名詞,接尾,形容動詞語幹,*,的,52
59,0,記述,名詞,サ変接続,*,*,記述,36
60,0,部分,名詞,一般,*,*,部分,38
61,0,モル,名詞,一般,*,*,モル,38
62,0,量,名詞,接尾,一般,*,量,51
64,0,完全,名詞,形容動詞語幹,*,*,完全,40
65,0,気体,名詞,一般,*,*,気体,38
67,0,混合,名詞,サ変接続,*,*,混合,36
69,0,熱力学,名詞,固有名詞,一般,*,熱力学,41
70,0,関数,名詞,一般,*,*,関数,38
72,0,理解,名詞,サ変接続,*,*,理解,36
74,0,できる,動詞,自立,*,*,できる,31
76,0,液体,名詞,一般,*,*,液体,38
78,0,化学ポテンシャル,名詞,固有名詞,一般,*,化学ポテンシャル,41
80,0,混合,名詞,サ変接続,*,*,混合,36
81,0,溶液,名詞,一般,*,*,溶液,38
82,0,液体,名詞,一般,*,*,液体,38
84,0,化学ポテンシャル,名詞,固有名詞,一般,*,化学ポテンシャル,41
86,0,液体,名詞,一般,*,*,液体,38
87,0,混合,名詞,サ変接続,*,*,混合,36
89,0,熱力学,名詞,固有名詞,一般,*,熱力学,41
90,0,関数,名詞,一般,*,*,関数,38
92,0,理解,名詞,サ変接続,*,*,理解,36
94,0,出来る,動詞,自立,*,*,出来る,31
96,0,溶液,名詞,一般,*,*,溶液,38
98,0,混合,名詞,サ変接続,*,*,混合,36
