,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,化学,名詞,一般,*,*,化学,38
1,0,熱力学,名詞,固有名詞,一般,*,熱力学,41
2,0,基礎,名詞,一般,*,*,基礎,38
3,0,物理化学,名詞,固有名詞,一般,*,物理化学,41
4,0,第一,名詞,固有名詞,一般,*,第一,41
6,0,熱力学,名詞,固有名詞,一般,*,熱力学,41
7,0,法則,名詞,一般,*,*,法則,38
9,0,物理化学,名詞,固有名詞,一般,*,物理化学,41
13,0,化学平衡,名詞,固有名詞,一般,*,化学平衡,41
15,0,物理化学,名詞,固有名詞,一般,*,物理化学,41
19,0,反応速度論,名詞,固有名詞,一般,*,反応速度論,41
21,0,化学,名詞,一般,*,*,化学,38
22,0,熱力学,名詞,固有名詞,一般,*,熱力学,41
23,0,基礎,名詞,一般,*,*,基礎,38
24,0,物理化学,名詞,固有名詞,一般,*,物理化学,41
25,0,第一,名詞,固有名詞,一般,*,第一,41
27,0,熱力学,名詞,固有名詞,一般,*,熱力学,41
28,0,法則,名詞,一般,*,*,法則,38
30,0,物理化学,名詞,固有名詞,一般,*,物理化学,41
34,0,化学平衡,名詞,固有名詞,一般,*,化学平衡,41
36,0,物理化学,名詞,固有名詞,一般,*,物理化学,41
40,0,反応速度論,名詞,固有名詞,一般,*,反応速度論,41
42,0,化学,名詞,一般,*,*,化学,38
43,0,熱力学,名詞,固有名詞,一般,*,熱力学,41
44,0,基礎,名詞,一般,*,*,基礎,38
45,0,物理化学,名詞,固有名詞,一般,*,物理化学,41
46,0,第一,名詞,固有名詞,一般,*,第一,41
48,0,熱力学,名詞,固有名詞,一般,*,熱力学,41
49,0,法則,名詞,一般,*,*,法則,38
51,0,物理化学,名詞,固有名詞,一般,*,物理化学,41
55,0,化学平衡,名詞,固有名詞,一般,*,化学平衡,41
57,0,物理化学,名詞,固有名詞,一般,*,物理化学,41
61,0,反応速度論,名詞,固有名詞,一般,*,反応速度論,41
63,0,化学,名詞,一般,*,*,化学,38
64,0,熱力学,名詞,固有名詞,一般,*,熱力学,41
65,0,基礎,名詞,一般,*,*,基礎,38
66,0,物理化学,名詞,固有名詞,一般,*,物理化学,41
67,0,第一,名詞,固有名詞,一般,*,第一,41
69,0,熱力学,名詞,固有名詞,一般,*,熱力学,41
70,0,法則,名詞,一般,*,*,法則,38
72,0,物理化学,名詞,固有名詞,一般,*,物理化学,41
76,0,化学平衡,名詞,固有名詞,一般,*,化学平衡,41
78,0,物理化学,名詞,固有名詞,一般,*,物理化学,41
82,0,反応速度論,名詞,固有名詞,一般,*,反応速度論,41
84,0,化学,名詞,一般,*,*,化学,38
85,0,熱力学,名詞,固有名詞,一般,*,熱力学,41
86,0,基礎,名詞,一般,*,*,基礎,38
87,0,物理化学,名詞,固有名詞,一般,*,物理化学,41
88,0,第一,名詞,固有名詞,一般,*,第一,41
90,0,熱力学,名詞,固有名詞,一般,*,熱力学,41
91,0,法則,名詞,一般,*,*,法則,38
93,0,物理化学,名詞,固有名詞,一般,*,物理化学,41
97,0,化学平衡,名詞,固有名詞,一般,*,化学平衡,41
99,0,物理化学,名詞,固有名詞,一般,*,物理化学,41
103,0,反応速度論,名詞,固有名詞,一般,*,反応速度論,41
105,0,化学,名詞,一般,*,*,化学,38
106,0,熱力学,名詞,固有名詞,一般,*,熱力学,41
107,0,基礎,名詞,一般,*,*,基礎,38
108,0,物理化学,名詞,固有名詞,一般,*,物理化学,41
109,0,第一,名詞,固有名詞,一般,*,第一,41
111,0,熱力学,名詞,固有名詞,一般,*,熱力学,41
112,0,法則,名詞,一般,*,*,法則,38
114,0,物理化学,名詞,固有名詞,一般,*,物理化学,41
118,0,化学平衡,名詞,固有名詞,一般,*,化学平衡,41
120,0,物理化学,名詞,固有名詞,一般,*,物理化学,41
124,0,反応速度論,名詞,固有名詞,一般,*,反応速度論,41
126,0,化学,名詞,一般,*,*,化学,38
127,0,熱力学,名詞,固有名詞,一般,*,熱力学,41
128,0,基礎,名詞,一般,*,*,基礎,38
129,0,物理化学,名詞,固有名詞,一般,*,物理化学,41
130,0,第一,名詞,固有名詞,一般,*,第一,41
132,0,熱力学,名詞,固有名詞,一般,*,熱力学,41
133,0,法則,名詞,一般,*,*,法則,38
135,0,物理化学,名詞,固有名詞,一般,*,物理化学,41
139,0,化学平衡,名詞,固有名詞,一般,*,化学平衡,41
141,0,物理化学,名詞,固有名詞,一般,*,物理化学,41
145,0,反応速度論,名詞,固有名詞,一般,*,反応速度論,41
147,0,化学,名詞,一般,*,*,化学,38
148,0,熱力学,名詞,固有名詞,一般,*,熱力学,41
149,0,基礎,名詞,一般,*,*,基礎,38
150,0,物理化学,名詞,固有名詞,一般,*,物理化学,41
151,0,第一,名詞,固有名詞,一般,*,第一,41
153,0,熱力学,名詞,固有名詞,一般,*,熱力学,41
154,0,法則,名詞,一般,*,*,法則,38
156,0,物理化学,名詞,固有名詞,一般,*,物理化学,41
160,0,化学平衡,名詞,固有名詞,一般,*,化学平衡,41
162,0,物理化学,名詞,固有名詞,一般,*,物理化学,41
166,0,反応速度論,名詞,固有名詞,一般,*,反応速度論,41
