,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,物理化学,名詞,固有名詞,一般,*,物理化学,41
2,0,分子,名詞,一般,*,*,分子,38
3,0,運動,名詞,サ変接続,*,*,運動,36
4,0,論,名詞,接尾,一般,*,論,51
7,0,物理化学,名詞,固有名詞,一般,*,物理化学,41
9,0,分子,名詞,一般,*,*,分子,38
10,0,運動,名詞,サ変接続,*,*,運動,36
11,0,論,名詞,接尾,一般,*,論,51
14,0,物理化学,名詞,固有名詞,一般,*,物理化学,41
16,0,分子,名詞,一般,*,*,分子,38
17,0,運動,名詞,サ変接続,*,*,運動,36
18,0,論,名詞,接尾,一般,*,論,51
21,0,物理化学,名詞,固有名詞,一般,*,物理化学,41
23,0,分子,名詞,一般,*,*,分子,38
24,0,運動,名詞,サ変接続,*,*,運動,36
25,0,論,名詞,接尾,一般,*,論,51
28,0,物理化学,名詞,固有名詞,一般,*,物理化学,41
30,0,分子,名詞,一般,*,*,分子,38
31,0,運動,名詞,サ変接続,*,*,運動,36
32,0,論,名詞,接尾,一般,*,論,51
35,0,物理化学,名詞,固有名詞,一般,*,物理化学,41
37,0,分子,名詞,一般,*,*,分子,38
38,0,運動,名詞,サ変接続,*,*,運動,36
39,0,論,名詞,接尾,一般,*,論,51
42,0,物理化学,名詞,固有名詞,一般,*,物理化学,41
44,0,分子,名詞,一般,*,*,分子,38
45,0,運動,名詞,サ変接続,*,*,運動,36
46,0,論,名詞,接尾,一般,*,論,51
49,0,物理化学,名詞,固有名詞,一般,*,物理化学,41
51,0,分子,名詞,一般,*,*,分子,38
52,0,運動,名詞,サ変接続,*,*,運動,36
53,0,論,名詞,接尾,一般,*,論,51
