,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
1,0,講義,名詞,サ変接続,*,*,講義,36
3,0,履修,名詞,サ変接続,*,*,履修,36
7,0,次,名詞,一般,*,*,次,38
9,0,能力,名詞,一般,*,*,能力,38
11,0,修得,名詞,サ変接続,*,*,修得,36
16,0,波動関数,名詞,固有名詞,一般,*,波動関数,41
18,0,物理的,名詞,固有名詞,一般,*,物理的,41
19,0,意味,名詞,サ変接続,*,*,意味,36
21,0,満たす,動詞,自立,*,*,満たす,31
23,0,性質,名詞,一般,*,*,性質,38
25,0,説明,名詞,サ変接続,*,*,説明,36
29,0,できる,動詞,自立,*,*,できる,31
33,0,並進,名詞,サ変接続,*,*,並進,36
34,0,運動,名詞,サ変接続,*,*,運動,36
36,0,振動,名詞,サ変接続,*,*,振動,36
37,0,運動,名詞,サ変接続,*,*,運動,36
39,0,回転,名詞,サ変接続,*,*,回転,36
40,0,運動,名詞,サ変接続,*,*,運動,36
42,0,量子力学,名詞,一般,*,*,量子力学,38
44,0,基づい,動詞,自立,*,*,基づく,31
46,0,説明,名詞,サ変接続,*,*,説明,36
50,0,できる,動詞,自立,*,*,できる,31
54,0,水素,名詞,一般,*,*,水素,38
55,0,型,名詞,接尾,一般,*,型,51
56,0,原子,名詞,一般,*,*,原子,38
58,0,原子軌道,名詞,固有名詞,一般,*,原子軌道,41
61,0,電子,名詞,一般,*,*,電子,38
62,0,原子,名詞,一般,*,*,原子,38
64,0,電子配置,名詞,固有名詞,一般,*,電子配置,41
66,0,説明,名詞,サ変接続,*,*,説明,36
70,0,できる,動詞,自立,*,*,できる,31
73,0,講義,名詞,サ変接続,*,*,講義,36
75,0,履修,名詞,サ変接続,*,*,履修,36
79,0,次,名詞,一般,*,*,次,38
81,0,能力,名詞,一般,*,*,能力,38
83,0,修得,名詞,サ変接続,*,*,修得,36
88,0,波動関数,名詞,固有名詞,一般,*,波動関数,41
90,0,物理的,名詞,固有名詞,一般,*,物理的,41
91,0,意味,名詞,サ変接続,*,*,意味,36
93,0,満たす,動詞,自立,*,*,満たす,31
95,0,性質,名詞,一般,*,*,性質,38
97,0,説明,名詞,サ変接続,*,*,説明,36
101,0,できる,動詞,自立,*,*,できる,31
105,0,並進,名詞,サ変接続,*,*,並進,36
106,0,運動,名詞,サ変接続,*,*,運動,36
108,0,振動,名詞,サ変接続,*,*,振動,36
109,0,運動,名詞,サ変接続,*,*,運動,36
111,0,回転,名詞,サ変接続,*,*,回転,36
112,0,運動,名詞,サ変接続,*,*,運動,36
114,0,量子力学,名詞,一般,*,*,量子力学,38
116,0,基づい,動詞,自立,*,*,基づく,31
118,0,説明,名詞,サ変接続,*,*,説明,36
122,0,できる,動詞,自立,*,*,できる,31
126,0,水素,名詞,一般,*,*,水素,38
127,0,型,名詞,接尾,一般,*,型,51
128,0,原子,名詞,一般,*,*,原子,38
130,0,原子軌道,名詞,固有名詞,一般,*,原子軌道,41
133,0,電子,名詞,一般,*,*,電子,38
134,0,原子,名詞,一般,*,*,原子,38
136,0,電子配置,名詞,固有名詞,一般,*,電子配置,41
138,0,説明,名詞,サ変接続,*,*,説明,36
142,0,できる,動詞,自立,*,*,できる,31
145,0,講義,名詞,サ変接続,*,*,講義,36
147,0,履修,名詞,サ変接続,*,*,履修,36
151,0,次,名詞,一般,*,*,次,38
153,0,能力,名詞,一般,*,*,能力,38
155,0,修得,名詞,サ変接続,*,*,修得,36
160,0,波動関数,名詞,固有名詞,一般,*,波動関数,41
162,0,物理的,名詞,固有名詞,一般,*,物理的,41
163,0,意味,名詞,サ変接続,*,*,意味,36
165,0,満たす,動詞,自立,*,*,満たす,31
167,0,性質,名詞,一般,*,*,性質,38
169,0,説明,名詞,サ変接続,*,*,説明,36
173,0,できる,動詞,自立,*,*,できる,31
177,0,並進,名詞,サ変接続,*,*,並進,36
178,0,運動,名詞,サ変接続,*,*,運動,36
180,0,振動,名詞,サ変接続,*,*,振動,36
181,0,運動,名詞,サ変接続,*,*,運動,36
183,0,回転,名詞,サ変接続,*,*,回転,36
184,0,運動,名詞,サ変接続,*,*,運動,36
186,0,量子力学,名詞,一般,*,*,量子力学,38
188,0,基づい,動詞,自立,*,*,基づく,31
190,0,説明,名詞,サ変接続,*,*,説明,36
194,0,できる,動詞,自立,*,*,できる,31
198,0,水素,名詞,一般,*,*,水素,38
199,0,型,名詞,接尾,一般,*,型,51
200,0,原子,名詞,一般,*,*,原子,38
202,0,原子軌道,名詞,固有名詞,一般,*,原子軌道,41
205,0,電子,名詞,一般,*,*,電子,38
206,0,原子,名詞,一般,*,*,原子,38
208,0,電子配置,名詞,固有名詞,一般,*,電子配置,41
210,0,説明,名詞,サ変接続,*,*,説明,36
214,0,できる,動詞,自立,*,*,できる,31
217,0,講義,名詞,サ変接続,*,*,講義,36
219,0,履修,名詞,サ変接続,*,*,履修,36
223,0,次,名詞,一般,*,*,次,38
225,0,能力,名詞,一般,*,*,能力,38
227,0,修得,名詞,サ変接続,*,*,修得,36
232,0,波動関数,名詞,固有名詞,一般,*,波動関数,41
234,0,物理的,名詞,固有名詞,一般,*,物理的,41
235,0,意味,名詞,サ変接続,*,*,意味,36
237,0,満たす,動詞,自立,*,*,満たす,31
239,0,性質,名詞,一般,*,*,性質,38
241,0,説明,名詞,サ変接続,*,*,説明,36
245,0,できる,動詞,自立,*,*,できる,31
249,0,並進,名詞,サ変接続,*,*,並進,36
250,0,運動,名詞,サ変接続,*,*,運動,36
252,0,振動,名詞,サ変接続,*,*,振動,36
253,0,運動,名詞,サ変接続,*,*,運動,36
255,0,回転,名詞,サ変接続,*,*,回転,36
256,0,運動,名詞,サ変接続,*,*,運動,36
258,0,量子力学,名詞,一般,*,*,量子力学,38
260,0,基づい,動詞,自立,*,*,基づく,31
262,0,説明,名詞,サ変接続,*,*,説明,36
266,0,できる,動詞,自立,*,*,できる,31
270,0,水素,名詞,一般,*,*,水素,38
271,0,型,名詞,接尾,一般,*,型,51
272,0,原子,名詞,一般,*,*,原子,38
274,0,原子軌道,名詞,固有名詞,一般,*,原子軌道,41
277,0,電子,名詞,一般,*,*,電子,38
278,0,原子,名詞,一般,*,*,原子,38
280,0,電子配置,名詞,固有名詞,一般,*,電子配置,41
282,0,説明,名詞,サ変接続,*,*,説明,36
286,0,できる,動詞,自立,*,*,できる,31
289,0,講義,名詞,サ変接続,*,*,講義,36
291,0,履修,名詞,サ変接続,*,*,履修,36
295,0,次,名詞,一般,*,*,次,38
297,0,能力,名詞,一般,*,*,能力,38
299,0,修得,名詞,サ変接続,*,*,修得,36
304,0,波動関数,名詞,固有名詞,一般,*,波動関数,41
306,0,物理的,名詞,固有名詞,一般,*,物理的,41
307,0,意味,名詞,サ変接続,*,*,意味,36
309,0,満たす,動詞,自立,*,*,満たす,31
311,0,性質,名詞,一般,*,*,性質,38
313,0,説明,名詞,サ変接続,*,*,説明,36
317,0,できる,動詞,自立,*,*,できる,31
321,0,並進,名詞,サ変接続,*,*,並進,36
322,0,運動,名詞,サ変接続,*,*,運動,36
324,0,振動,名詞,サ変接続,*,*,振動,36
325,0,運動,名詞,サ変接続,*,*,運動,36
327,0,回転,名詞,サ変接続,*,*,回転,36
328,0,運動,名詞,サ変接続,*,*,運動,36
330,0,量子力学,名詞,一般,*,*,量子力学,38
332,0,基づい,動詞,自立,*,*,基づく,31
334,0,説明,名詞,サ変接続,*,*,説明,36
338,0,できる,動詞,自立,*,*,できる,31
342,0,水素,名詞,一般,*,*,水素,38
343,0,型,名詞,接尾,一般,*,型,51
344,0,原子,名詞,一般,*,*,原子,38
346,0,原子軌道,名詞,固有名詞,一般,*,原子軌道,41
349,0,電子,名詞,一般,*,*,電子,38
350,0,原子,名詞,一般,*,*,原子,38
352,0,電子配置,名詞,固有名詞,一般,*,電子配置,41
354,0,説明,名詞,サ変接続,*,*,説明,36
358,0,できる,動詞,自立,*,*,できる,31
361,0,講義,名詞,サ変接続,*,*,講義,36
363,0,履修,名詞,サ変接続,*,*,履修,36
367,0,次,名詞,一般,*,*,次,38
369,0,能力,名詞,一般,*,*,能力,38
371,0,修得,名詞,サ変接続,*,*,修得,36
376,0,波動関数,名詞,固有名詞,一般,*,波動関数,41
378,0,物理的,名詞,固有名詞,一般,*,物理的,41
379,0,意味,名詞,サ変接続,*,*,意味,36
381,0,満たす,動詞,自立,*,*,満たす,31
383,0,性質,名詞,一般,*,*,性質,38
385,0,説明,名詞,サ変接続,*,*,説明,36
389,0,できる,動詞,自立,*,*,できる,31
393,0,並進,名詞,サ変接続,*,*,並進,36
394,0,運動,名詞,サ変接続,*,*,運動,36
396,0,振動,名詞,サ変接続,*,*,振動,36
397,0,運動,名詞,サ変接続,*,*,運動,36
399,0,回転,名詞,サ変接続,*,*,回転,36
400,0,運動,名詞,サ変接続,*,*,運動,36
402,0,量子力学,名詞,一般,*,*,量子力学,38
404,0,基づい,動詞,自立,*,*,基づく,31
406,0,説明,名詞,サ変接続,*,*,説明,36
410,0,できる,動詞,自立,*,*,できる,31
414,0,水素,名詞,一般,*,*,水素,38
415,0,型,名詞,接尾,一般,*,型,51
416,0,原子,名詞,一般,*,*,原子,38
418,0,原子軌道,名詞,固有名詞,一般,*,原子軌道,41
421,0,電子,名詞,一般,*,*,電子,38
422,0,原子,名詞,一般,*,*,原子,38
424,0,電子配置,名詞,固有名詞,一般,*,電子配置,41
426,0,説明,名詞,サ変接続,*,*,説明,36
430,0,できる,動詞,自立,*,*,できる,31
433,0,講義,名詞,サ変接続,*,*,講義,36
435,0,履修,名詞,サ変接続,*,*,履修,36
439,0,次,名詞,一般,*,*,次,38
441,0,能力,名詞,一般,*,*,能力,38
443,0,修得,名詞,サ変接続,*,*,修得,36
448,0,波動関数,名詞,固有名詞,一般,*,波動関数,41
450,0,物理的,名詞,固有名詞,一般,*,物理的,41
451,0,意味,名詞,サ変接続,*,*,意味,36
453,0,満たす,動詞,自立,*,*,満たす,31
455,0,性質,名詞,一般,*,*,性質,38
457,0,説明,名詞,サ変接続,*,*,説明,36
461,0,できる,動詞,自立,*,*,できる,31
465,0,並進,名詞,サ変接続,*,*,並進,36
466,0,運動,名詞,サ変接続,*,*,運動,36
468,0,振動,名詞,サ変接続,*,*,振動,36
469,0,運動,名詞,サ変接続,*,*,運動,36
471,0,回転,名詞,サ変接続,*,*,回転,36
472,0,運動,名詞,サ変接続,*,*,運動,36
474,0,量子力学,名詞,一般,*,*,量子力学,38
476,0,基づい,動詞,自立,*,*,基づく,31
478,0,説明,名詞,サ変接続,*,*,説明,36
482,0,できる,動詞,自立,*,*,できる,31
486,0,水素,名詞,一般,*,*,水素,38
487,0,型,名詞,接尾,一般,*,型,51
488,0,原子,名詞,一般,*,*,原子,38
490,0,原子軌道,名詞,固有名詞,一般,*,原子軌道,41
493,0,電子,名詞,一般,*,*,電子,38
494,0,原子,名詞,一般,*,*,原子,38
496,0,電子配置,名詞,固有名詞,一般,*,電子配置,41
498,0,説明,名詞,サ変接続,*,*,説明,36
502,0,できる,動詞,自立,*,*,できる,31
505,0,講義,名詞,サ変接続,*,*,講義,36
507,0,履修,名詞,サ変接続,*,*,履修,36
511,0,次,名詞,一般,*,*,次,38
513,0,能力,名詞,一般,*,*,能力,38
515,0,修得,名詞,サ変接続,*,*,修得,36
520,0,波動関数,名詞,固有名詞,一般,*,波動関数,41
522,0,物理的,名詞,固有名詞,一般,*,物理的,41
523,0,意味,名詞,サ変接続,*,*,意味,36
525,0,満たす,動詞,自立,*,*,満たす,31
527,0,性質,名詞,一般,*,*,性質,38
529,0,説明,名詞,サ変接続,*,*,説明,36
533,0,できる,動詞,自立,*,*,できる,31
537,0,並進,名詞,サ変接続,*,*,並進,36
538,0,運動,名詞,サ変接続,*,*,運動,36
540,0,振動,名詞,サ変接続,*,*,振動,36
541,0,運動,名詞,サ変接続,*,*,運動,36
543,0,回転,名詞,サ変接続,*,*,回転,36
544,0,運動,名詞,サ変接続,*,*,運動,36
546,0,量子力学,名詞,一般,*,*,量子力学,38
548,0,基づい,動詞,自立,*,*,基づく,31
550,0,説明,名詞,サ変接続,*,*,説明,36
554,0,できる,動詞,自立,*,*,できる,31
558,0,水素,名詞,一般,*,*,水素,38
559,0,型,名詞,接尾,一般,*,型,51
560,0,原子,名詞,一般,*,*,原子,38
562,0,原子軌道,名詞,固有名詞,一般,*,原子軌道,41
565,0,電子,名詞,一般,*,*,電子,38
566,0,原子,名詞,一般,*,*,原子,38
