,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,量子論,名詞,固有名詞,一般,*,量子論,41
2,0,シュレーディンガー,名詞,固有名詞,一般,*,シュレーディンガー,41
3,0,方程式,名詞,一般,*,*,方程式,38
4,0,波動関数,名詞,固有名詞,一般,*,波動関数,41
6,0,物理,名詞,一般,*,*,物理,38
7,0,的,名詞,接尾,形容動詞語幹,*,的,52
9,0,意味,名詞,サ変接続,*,*,意味,36
11,0,シュレーディンガー,名詞,固有名詞,一般,*,シュレーディンガー,41
12,0,方程式,名詞,一般,*,*,方程式,38
14,0,説明,名詞,サ変接続,*,*,説明,36
15,0,できる,動詞,自立,*,*,できる,31
17,0,波動関数,名詞,固有名詞,一般,*,波動関数,41
19,0,解釈,名詞,サ変接続,*,*,解釈,36
21,0,演算子,名詞,固有名詞,一般,*,演算子,41
23,0,オブザーバブル,名詞,固有名詞,一般,*,オブザーバブル,41
24,0,波動関数,名詞,固有名詞,一般,*,波動関数,41
26,0,演算子,名詞,固有名詞,一般,*,演算子,41
28,0,固有値,名詞,一般,*,*,固有値,38
30,0,オブザーバブル,名詞,固有名詞,一般,*,オブザーバブル,41
32,0,説明,名詞,サ変接続,*,*,説明,36
33,0,できる,動詞,自立,*,*,できる,31
35,0,並進,名詞,サ変接続,*,*,並進,36
36,0,運動,名詞,サ変接続,*,*,運動,36
38,0,量子論,名詞,固有名詞,一般,*,量子論,41
39,0,並進,名詞,サ変接続,*,*,並進,36
40,0,運動,名詞,サ変接続,*,*,運動,36
42,0,量子力学,名詞,一般,*,*,量子力学,38
44,0,基づい,動詞,自立,*,*,基づく,31
46,0,説明,名詞,サ変接続,*,*,説明,36
47,0,できる,動詞,自立,*,*,できる,31
49,0,振動,名詞,サ変接続,*,*,振動,36
50,0,運動,名詞,サ変接続,*,*,運動,36
52,0,量子論,名詞,固有名詞,一般,*,量子論,41
53,0,振動,名詞,サ変接続,*,*,振動,36
54,0,運動,名詞,サ変接続,*,*,運動,36
56,0,量子力学,名詞,一般,*,*,量子力学,38
58,0,基づい,動詞,自立,*,*,基づく,31
60,0,説明,名詞,サ変接続,*,*,説明,36
61,0,できる,動詞,自立,*,*,できる,31
63,0,回転,名詞,サ変接続,*,*,回転,36
64,0,運動,名詞,サ変接続,*,*,運動,36
66,0,量子論,名詞,固有名詞,一般,*,量子論,41
67,0,回転,名詞,サ変接続,*,*,回転,36
68,0,運動,名詞,サ変接続,*,*,運動,36
70,0,量子力学,名詞,一般,*,*,量子力学,38
72,0,基づい,動詞,自立,*,*,基づく,31
74,0,説明,名詞,サ変接続,*,*,説明,36
75,0,できる,動詞,自立,*,*,できる,31
77,0,原子,名詞,一般,*,*,原子,38
79,0,電子,名詞,一般,*,*,電子,38
80,0,構造,名詞,一般,*,*,構造,38
81,0,水素,名詞,一般,*,*,水素,38
82,0,型,名詞,接尾,一般,*,型,51
83,0,原子,名詞,一般,*,*,原子,38
85,0,原子軌道,名詞,固有名詞,一般,*,原子軌道,41
87,0,説明,名詞,サ変接続,*,*,説明,36
88,0,できる,動詞,自立,*,*,できる,31
90,0,原子,名詞,一般,*,*,原子,38
92,0,電子配置,名詞,固有名詞,一般,*,電子配置,41
94,0,電子,名詞,一般,*,*,電子,38
95,0,原子,名詞,一般,*,*,原子,38
97,0,電子配置,名詞,固有名詞,一般,*,電子配置,41
99,0,説明,名詞,サ変接続,*,*,説明,36
