,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,移動,名詞,サ変接続,*,*,移動,36
1,0,現象,名詞,一般,*,*,現象,38
2,0,第一,名詞,固有名詞,一般,*,第一,41
4,0,運動量,名詞,固有名詞,一般,*,運動量,41
5,0,移動,名詞,サ変接続,*,*,移動,36
7,0,移動,名詞,サ変接続,*,*,移動,36
8,0,現象,名詞,一般,*,*,現象,38
9,0,第一,名詞,固有名詞,一般,*,第一,41
11,0,運動量,名詞,固有名詞,一般,*,運動量,41
12,0,移動,名詞,サ変接続,*,*,移動,36
14,0,移動,名詞,サ変接続,*,*,移動,36
15,0,現象,名詞,一般,*,*,現象,38
16,0,第一,名詞,固有名詞,一般,*,第一,41
18,0,運動量,名詞,固有名詞,一般,*,運動量,41
19,0,移動,名詞,サ変接続,*,*,移動,36
21,0,移動,名詞,サ変接続,*,*,移動,36
22,0,現象,名詞,一般,*,*,現象,38
23,0,第一,名詞,固有名詞,一般,*,第一,41
25,0,運動量,名詞,固有名詞,一般,*,運動量,41
26,0,移動,名詞,サ変接続,*,*,移動,36
28,0,移動,名詞,サ変接続,*,*,移動,36
29,0,現象,名詞,一般,*,*,現象,38
30,0,第一,名詞,固有名詞,一般,*,第一,41
32,0,運動量,名詞,固有名詞,一般,*,運動量,41
33,0,移動,名詞,サ変接続,*,*,移動,36
