,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,移動,名詞,サ変接続,*,*,移動,36
1,0,現象,名詞,一般,*,*,現象,38
5,0,熱,名詞,一般,*,*,熱,38
6,0,移動,名詞,サ変接続,*,*,移動,36
8,0,移動,名詞,サ変接続,*,*,移動,36
9,0,現象,名詞,一般,*,*,現象,38
13,0,熱,名詞,一般,*,*,熱,38
14,0,移動,名詞,サ変接続,*,*,移動,36
16,0,移動,名詞,サ変接続,*,*,移動,36
17,0,現象,名詞,一般,*,*,現象,38
21,0,熱,名詞,一般,*,*,熱,38
22,0,移動,名詞,サ変接続,*,*,移動,36
24,0,移動,名詞,サ変接続,*,*,移動,36
25,0,現象,名詞,一般,*,*,現象,38
29,0,熱,名詞,一般,*,*,熱,38
30,0,移動,名詞,サ変接続,*,*,移動,36
32,0,移動,名詞,サ変接続,*,*,移動,36
33,0,現象,名詞,一般,*,*,現象,38
37,0,熱,名詞,一般,*,*,熱,38
38,0,移動,名詞,サ変接続,*,*,移動,36
