,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,理想,名詞,一般,*,*,理想,38
1,0,系,名詞,接尾,一般,*,系,51
3,0,実在,名詞,サ変接続,*,*,実在,36
4,0,系,名詞,接尾,一般,*,系,51
6,0,熱力学,名詞,固有名詞,一般,*,熱力学,41
7,0,特性,名詞,一般,*,*,特性,38
8,0,理想,名詞,一般,*,*,理想,38
9,0,系,名詞,接尾,一般,*,系,51
11,0,実在,名詞,サ変接続,*,*,実在,36
12,0,系,名詞,接尾,一般,*,系,51
14,0,熱力学,名詞,固有名詞,一般,*,熱力学,41
15,0,特性,名詞,一般,*,*,特性,38
18,0,解説,名詞,サ変接続,*,*,解説,36
19,0,できる,動詞,自立,*,*,できる,31
22,0,なる,動詞,自立,*,*,なる,31
25,0,平衡,名詞,サ変接続,*,*,平衡,36
27,0,基礎,名詞,一般,*,*,基礎,38
29,0,条件,名詞,一般,*,*,条件,38
30,0,相,名詞,接尾,一般,*,相,51
31,0,平衡,名詞,サ変接続,*,*,平衡,36
33,0,基礎,名詞,一般,*,*,基礎,38
35,0,条件,名詞,一般,*,*,条件,38
38,0,解説,名詞,サ変接続,*,*,解説,36
39,0,できる,動詞,自立,*,*,できる,31
42,0,なる,動詞,自立,*,*,なる,31
45,0,物質系,名詞,固有名詞,一般,*,物質系,41
48,0,平衡,名詞,サ変接続,*,*,平衡,36
50,0,物質系,名詞,固有名詞,一般,*,物質系,41
53,0,平衡,名詞,サ変接続,*,*,平衡,36
56,0,解説,名詞,サ変接続,*,*,解説,36
58,0,解析,名詞,サ変接続,*,*,解析,36
59,0,できる,動詞,自立,*,*,できる,31
62,0,なる,動詞,自立,*,*,なる,31
64,0,混合,名詞,サ変接続,*,*,混合,36
65,0,系,名詞,接尾,一般,*,系,51
68,0,平衡,名詞,サ変接続,*,*,平衡,36
69,0,混合,名詞,サ変接続,*,*,混合,36
70,0,系,名詞,接尾,一般,*,系,51
73,0,平衡,名詞,サ変接続,*,*,平衡,36
76,0,解説,名詞,サ変接続,*,*,解説,36
78,0,解析,名詞,サ変接続,*,*,解析,36
79,0,できる,動詞,自立,*,*,できる,31
82,0,なる,動詞,自立,*,*,なる,31
84,0,気体分子運動論,名詞,固有名詞,一般,*,気体分子運動論,41
85,0,気体分子運動論,名詞,固有名詞,一般,*,気体分子運動論,41
88,0,解説,名詞,サ変接続,*,*,解説,36
89,0,できる,動詞,自立,*,*,できる,31
92,0,なる,動詞,自立,*,*,なる,31
94,0,輸送,名詞,サ変接続,*,*,輸送,36
95,0,物性,名詞,一般,*,*,物性,38
97,0,粘性,名詞,一般,*,*,粘性,38
98,0,係数,名詞,一般,*,*,係数,38
100,0,熱伝導,名詞,固有名詞,一般,*,熱伝導,41
103,0,拡散,名詞,サ変接続,*,*,拡散,36
104,0,係数,名詞,一般,*,*,係数,38
105,0,気体分子運動論,名詞,固有名詞,一般,*,気体分子運動論,41
107,0,輸送,名詞,サ変接続,*,*,輸送,36
108,0,物性,名詞,一般,*,*,物性,38
110,0,予測,名詞,サ変接続,*,*,予測,36
111,0,法,名詞,接尾,一般,*,法,51
114,0,解説,名詞,サ変接続,*,*,解説,36
115,0,できる,動詞,自立,*,*,できる,31
118,0,なる,動詞,自立,*,*,なる,31
120,0,化学平衡,名詞,固有名詞,一般,*,化学平衡,41
122,0,基礎,名詞,一般,*,*,基礎,38
123,0,化学平衡,名詞,固有名詞,一般,*,化学平衡,41
125,0,基礎,名詞,一般,*,*,基礎,38
126,0,式,名詞,接尾,一般,*,式,51
129,0,解説,名詞,サ変接続,*,*,解説,36
130,0,できる,動詞,自立,*,*,できる,31
133,0,なる,動詞,自立,*,*,なる,31
135,0,反応,名詞,サ変接続,*,*,反応,36
136,0,系,名詞,接尾,一般,*,系,51
138,0,熱力学,名詞,固有名詞,一般,*,熱力学,41
139,0,反応,名詞,サ変接続,*,*,反応,36
140,0,系,名詞,接尾,一般,*,系,51
142,0,熱力学,名詞,固有名詞,一般,*,熱力学,41
145,0,解説,名詞,サ変接続,*,*,解説,36
146,0,できる,動詞,自立,*,*,できる,31
149,0,なる,動詞,自立,*,*,なる,31
151,0,理想,名詞,一般,*,*,理想,38
152,0,系,名詞,接尾,一般,*,系,51
154,0,実在,名詞,サ変接続,*,*,実在,36
155,0,系,名詞,接尾,一般,*,系,51
157,0,熱力学,名詞,固有名詞,一般,*,熱力学,41
158,0,特性,名詞,一般,*,*,特性,38
159,0,理想,名詞,一般,*,*,理想,38
160,0,系,名詞,接尾,一般,*,系,51
162,0,実在,名詞,サ変接続,*,*,実在,36
163,0,系,名詞,接尾,一般,*,系,51
165,0,熱力学,名詞,固有名詞,一般,*,熱力学,41
166,0,特性,名詞,一般,*,*,特性,38
169,0,解説,名詞,サ変接続,*,*,解説,36
170,0,できる,動詞,自立,*,*,できる,31
173,0,なる,動詞,自立,*,*,なる,31
176,0,平衡,名詞,サ変接続,*,*,平衡,36
178,0,基礎,名詞,一般,*,*,基礎,38
180,0,条件,名詞,一般,*,*,条件,38
181,0,相,名詞,接尾,一般,*,相,51
182,0,平衡,名詞,サ変接続,*,*,平衡,36
184,0,基礎,名詞,一般,*,*,基礎,38
186,0,条件,名詞,一般,*,*,条件,38
189,0,解説,名詞,サ変接続,*,*,解説,36
190,0,できる,動詞,自立,*,*,できる,31
193,0,なる,動詞,自立,*,*,なる,31
196,0,物質系,名詞,固有名詞,一般,*,物質系,41
199,0,平衡,名詞,サ変接続,*,*,平衡,36
201,0,物質系,名詞,固有名詞,一般,*,物質系,41
204,0,平衡,名詞,サ変接続,*,*,平衡,36
207,0,解説,名詞,サ変接続,*,*,解説,36
209,0,解析,名詞,サ変接続,*,*,解析,36
210,0,できる,動詞,自立,*,*,できる,31
213,0,なる,動詞,自立,*,*,なる,31
215,0,混合,名詞,サ変接続,*,*,混合,36
216,0,系,名詞,接尾,一般,*,系,51
219,0,平衡,名詞,サ変接続,*,*,平衡,36
220,0,混合,名詞,サ変接続,*,*,混合,36
221,0,系,名詞,接尾,一般,*,系,51
224,0,平衡,名詞,サ変接続,*,*,平衡,36
227,0,解説,名詞,サ変接続,*,*,解説,36
229,0,解析,名詞,サ変接続,*,*,解析,36
230,0,できる,動詞,自立,*,*,できる,31
233,0,なる,動詞,自立,*,*,なる,31
235,0,気体分子運動論,名詞,固有名詞,一般,*,気体分子運動論,41
236,0,気体分子運動論,名詞,固有名詞,一般,*,気体分子運動論,41
239,0,解説,名詞,サ変接続,*,*,解説,36
240,0,できる,動詞,自立,*,*,できる,31
243,0,なる,動詞,自立,*,*,なる,31
245,0,輸送,名詞,サ変接続,*,*,輸送,36
246,0,物性,名詞,一般,*,*,物性,38
248,0,粘性,名詞,一般,*,*,粘性,38
249,0,係数,名詞,一般,*,*,係数,38
251,0,熱伝導,名詞,固有名詞,一般,*,熱伝導,41
254,0,拡散,名詞,サ変接続,*,*,拡散,36
255,0,係数,名詞,一般,*,*,係数,38
256,0,気体分子運動論,名詞,固有名詞,一般,*,気体分子運動論,41
258,0,輸送,名詞,サ変接続,*,*,輸送,36
259,0,物性,名詞,一般,*,*,物性,38
