,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,化学反応,名詞,固有名詞,一般,*,化学反応,41
1,0,反応速度,名詞,固有名詞,一般,*,反応速度,41
2,0,反応器,名詞,固有名詞,一般,*,反応器,41
3,0,物質収支,名詞,固有名詞,一般,*,物質収支,41
4,0,反応器,名詞,固有名詞,一般,*,反応器,41
5,0,設計,名詞,サ変接続,*,*,設計,36
6,0,物質収支,名詞,固有名詞,一般,*,物質収支,41
7,0,反応速度,名詞,固有名詞,一般,*,反応速度,41
8,0,化学反応,名詞,固有名詞,一般,*,化学反応,41
9,0,反応,名詞,サ変接続,*,*,反応,36
10,0,装置,名詞,サ変接続,*,*,装置,36
11,0,物質収支,名詞,固有名詞,一般,*,物質収支,41
12,0,反応速度,名詞,固有名詞,一般,*,反応速度,41
13,0,化学反応,名詞,固有名詞,一般,*,化学反応,41
14,0,反応,名詞,サ変接続,*,*,反応,36
15,0,装置,名詞,サ変接続,*,*,装置,36
16,0,物質収支,名詞,固有名詞,一般,*,物質収支,41
17,0,反応速度,名詞,固有名詞,一般,*,反応速度,41
18,0,化学反応,名詞,固有名詞,一般,*,化学反応,41
19,0,反応,名詞,サ変接続,*,*,反応,36
20,0,装置,名詞,サ変接続,*,*,装置,36
21,0,化学反応,名詞,固有名詞,一般,*,化学反応,41
22,0,反応速度,名詞,固有名詞,一般,*,反応速度,41
23,0,反応器,名詞,固有名詞,一般,*,反応器,41
24,0,物質収支,名詞,固有名詞,一般,*,物質収支,41
25,0,反応器,名詞,固有名詞,一般,*,反応器,41
26,0,設計,名詞,サ変接続,*,*,設計,36
