,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,燃料電池,名詞,固有名詞,一般,*,燃料電池,41
2,0,太陽電池,名詞,固有名詞,一般,*,太陽電池,41
4,0,蓄電池,名詞,一般,*,*,蓄電池,38
7,0,エネルギー,名詞,一般,*,*,エネルギー,38
8,0,デバイス,名詞,一般,*,*,デバイス,38
11,0,イオン,名詞,一般,*,*,イオン,38
13,0,電子,名詞,一般,*,*,電子,38
15,0,分子,名詞,一般,*,*,分子,38
17,0,関与,名詞,サ変接続,*,*,関与,36
19,0,電気化学,名詞,固有名詞,一般,*,電気化学,41
20,0,反応,名詞,サ変接続,*,*,反応,36
22,0,化学反応,名詞,固有名詞,一般,*,化学反応,41
24,0,表面,名詞,一般,*,*,表面,38
27,0,吸着,名詞,サ変接続,*,*,吸着,36
29,0,物質移動,名詞,固有名詞,一般,*,物質移動,41
32,0,様々,名詞,形容動詞語幹,*,*,様々,40
34,0,プロセス,名詞,一般,*,*,プロセス,38
36,0,構成,名詞,サ変接続,*,*,構成,36
39,0,電気化学,名詞,固有名詞,一般,*,電気化学,41
40,0,システム,名詞,一般,*,*,システム,38
45,0,講義,名詞,サ変接続,*,*,講義,36
47,0,履修,名詞,サ変接続,*,*,履修,36
52,0,エネルギー,名詞,一般,*,*,エネルギー,38
53,0,デバイス,名詞,一般,*,*,デバイス,38
55,0,性能,名詞,一般,*,*,性能,38
56,0,向上,名詞,サ変接続,*,*,向上,36
58,0,評価,名詞,サ変接続,*,*,評価,36
60,0,必要,名詞,形容動詞語幹,*,*,必要,40
62,0,電気化学,名詞,固有名詞,一般,*,電気化学,41
64,0,基礎,名詞,一般,*,*,基礎,38
66,0,電気化学,名詞,固有名詞,一般,*,電気化学,41
67,0,測定,名詞,サ変接続,*,*,測定,36
68,0,法,名詞,接尾,一般,*,法,51
70,0,概要,名詞,一般,*,*,概要,38
72,0,学習,名詞,サ変接続,*,*,学習,36
76,0,到達,名詞,サ変接続,*,*,到達,36
77,0,目標,名詞,一般,*,*,目標,38
82,0,燃料電池,名詞,固有名詞,一般,*,燃料電池,41
84,0,太陽電池,名詞,固有名詞,一般,*,太陽電池,41
86,0,蓄電池,名詞,一般,*,*,蓄電池,38
89,0,エネルギー,名詞,一般,*,*,エネルギー,38
90,0,デバイス,名詞,一般,*,*,デバイス,38
93,0,イオン,名詞,一般,*,*,イオン,38
95,0,電子,名詞,一般,*,*,電子,38
97,0,分子,名詞,一般,*,*,分子,38
99,0,関与,名詞,サ変接続,*,*,関与,36
101,0,電気化学,名詞,固有名詞,一般,*,電気化学,41
102,0,反応,名詞,サ変接続,*,*,反応,36
104,0,化学反応,名詞,固有名詞,一般,*,化学反応,41
106,0,表面,名詞,一般,*,*,表面,38
109,0,吸着,名詞,サ変接続,*,*,吸着,36
111,0,物質移動,名詞,固有名詞,一般,*,物質移動,41
114,0,様々,名詞,形容動詞語幹,*,*,様々,40
116,0,プロセス,名詞,一般,*,*,プロセス,38
118,0,構成,名詞,サ変接続,*,*,構成,36
121,0,電気化学,名詞,固有名詞,一般,*,電気化学,41
122,0,システム,名詞,一般,*,*,システム,38
127,0,講義,名詞,サ変接続,*,*,講義,36
129,0,履修,名詞,サ変接続,*,*,履修,36
134,0,エネルギー,名詞,一般,*,*,エネルギー,38
135,0,デバイス,名詞,一般,*,*,デバイス,38
137,0,性能,名詞,一般,*,*,性能,38
138,0,向上,名詞,サ変接続,*,*,向上,36
140,0,評価,名詞,サ変接続,*,*,評価,36
142,0,必要,名詞,形容動詞語幹,*,*,必要,40
144,0,電気化学,名詞,固有名詞,一般,*,電気化学,41
146,0,基礎,名詞,一般,*,*,基礎,38
148,0,電気化学,名詞,固有名詞,一般,*,電気化学,41
149,0,測定,名詞,サ変接続,*,*,測定,36
150,0,法,名詞,接尾,一般,*,法,51
152,0,概要,名詞,一般,*,*,概要,38
154,0,学習,名詞,サ変接続,*,*,学習,36
158,0,到達,名詞,サ変接続,*,*,到達,36
159,0,目標,名詞,一般,*,*,目標,38
164,0,燃料電池,名詞,固有名詞,一般,*,燃料電池,41
166,0,太陽電池,名詞,固有名詞,一般,*,太陽電池,41
168,0,蓄電池,名詞,一般,*,*,蓄電池,38
171,0,エネルギー,名詞,一般,*,*,エネルギー,38
172,0,デバイス,名詞,一般,*,*,デバイス,38
175,0,イオン,名詞,一般,*,*,イオン,38
177,0,電子,名詞,一般,*,*,電子,38
179,0,分子,名詞,一般,*,*,分子,38
181,0,関与,名詞,サ変接続,*,*,関与,36
183,0,電気化学,名詞,固有名詞,一般,*,電気化学,41
184,0,反応,名詞,サ変接続,*,*,反応,36
186,0,化学反応,名詞,固有名詞,一般,*,化学反応,41
188,0,表面,名詞,一般,*,*,表面,38
191,0,吸着,名詞,サ変接続,*,*,吸着,36
193,0,物質移動,名詞,固有名詞,一般,*,物質移動,41
196,0,様々,名詞,形容動詞語幹,*,*,様々,40
198,0,プロセス,名詞,一般,*,*,プロセス,38
200,0,構成,名詞,サ変接続,*,*,構成,36
203,0,電気化学,名詞,固有名詞,一般,*,電気化学,41
204,0,システム,名詞,一般,*,*,システム,38
209,0,講義,名詞,サ変接続,*,*,講義,36
211,0,履修,名詞,サ変接続,*,*,履修,36
216,0,エネルギー,名詞,一般,*,*,エネルギー,38
217,0,デバイス,名詞,一般,*,*,デバイス,38
219,0,性能,名詞,一般,*,*,性能,38
220,0,向上,名詞,サ変接続,*,*,向上,36
222,0,評価,名詞,サ変接続,*,*,評価,36
224,0,必要,名詞,形容動詞語幹,*,*,必要,40
226,0,電気化学,名詞,固有名詞,一般,*,電気化学,41
228,0,基礎,名詞,一般,*,*,基礎,38
230,0,電気化学,名詞,固有名詞,一般,*,電気化学,41
231,0,測定,名詞,サ変接続,*,*,測定,36
232,0,法,名詞,接尾,一般,*,法,51
234,0,概要,名詞,一般,*,*,概要,38
236,0,学習,名詞,サ変接続,*,*,学習,36
240,0,到達,名詞,サ変接続,*,*,到達,36
241,0,目標,名詞,一般,*,*,目標,38
246,0,燃料電池,名詞,固有名詞,一般,*,燃料電池,41
248,0,太陽電池,名詞,固有名詞,一般,*,太陽電池,41
250,0,蓄電池,名詞,一般,*,*,蓄電池,38
253,0,エネルギー,名詞,一般,*,*,エネルギー,38
254,0,デバイス,名詞,一般,*,*,デバイス,38
257,0,イオン,名詞,一般,*,*,イオン,38
259,0,電子,名詞,一般,*,*,電子,38
261,0,分子,名詞,一般,*,*,分子,38
263,0,関与,名詞,サ変接続,*,*,関与,36
265,0,電気化学,名詞,固有名詞,一般,*,電気化学,41
266,0,反応,名詞,サ変接続,*,*,反応,36
268,0,化学反応,名詞,固有名詞,一般,*,化学反応,41
270,0,表面,名詞,一般,*,*,表面,38
273,0,吸着,名詞,サ変接続,*,*,吸着,36
275,0,物質移動,名詞,固有名詞,一般,*,物質移動,41
278,0,様々,名詞,形容動詞語幹,*,*,様々,40
280,0,プロセス,名詞,一般,*,*,プロセス,38
282,0,構成,名詞,サ変接続,*,*,構成,36
285,0,電気化学,名詞,固有名詞,一般,*,電気化学,41
286,0,システム,名詞,一般,*,*,システム,38
291,0,講義,名詞,サ変接続,*,*,講義,36
293,0,履修,名詞,サ変接続,*,*,履修,36
