,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,ケミカル,名詞,一般,*,*,ケミカル,38
1,0,エンジニアリング,名詞,一般,*,*,エンジニアリング,38
2,0,トピックス,名詞,一般,*,*,トピックス,38
3,0,ケミカル,名詞,一般,*,*,ケミカル,38
4,0,エンジニアリング,名詞,一般,*,*,エンジニアリング,38
5,0,デザイン,名詞,サ変接続,*,*,デザイン,36
6,0,ケミカル,名詞,一般,*,*,ケミカル,38
7,0,エンジニアリング,名詞,一般,*,*,エンジニアリング,38
8,0,トピックス,名詞,一般,*,*,トピックス,38
9,0,ケミカル,名詞,一般,*,*,ケミカル,38
10,0,エンジニアリング,名詞,一般,*,*,エンジニアリング,38
11,0,デザイン,名詞,サ変接続,*,*,デザイン,36
12,0,ケミカル,名詞,一般,*,*,ケミカル,38
13,0,エンジニアリング,名詞,一般,*,*,エンジニアリング,38
14,0,トピックス,名詞,一般,*,*,トピックス,38
15,0,ケミカル,名詞,一般,*,*,ケミカル,38
16,0,エンジニアリング,名詞,一般,*,*,エンジニアリング,38
17,0,デザイン,名詞,サ変接続,*,*,デザイン,36
18,0,ケミカル,名詞,一般,*,*,ケミカル,38
19,0,エンジニアリング,名詞,一般,*,*,エンジニアリング,38
20,0,トピックス,名詞,一般,*,*,トピックス,38
21,0,ケミカル,名詞,一般,*,*,ケミカル,38
22,0,エンジニアリング,名詞,一般,*,*,エンジニアリング,38
23,0,デザイン,名詞,サ変接続,*,*,デザイン,36
24,0,ケミカル,名詞,一般,*,*,ケミカル,38
25,0,エンジニアリング,名詞,一般,*,*,エンジニアリング,38
