,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,化学,名詞,一般,*,*,化学,38
1,0,プロセス,名詞,一般,*,*,プロセス,38
2,0,分離,名詞,サ変接続,*,*,分離,36
3,0,プロセス,名詞,一般,*,*,プロセス,38
4,0,反応,名詞,サ変接続,*,*,反応,36
5,0,プロセス,名詞,一般,*,*,プロセス,38
6,0,化学,名詞,一般,*,*,化学,38
7,0,プロセス,名詞,一般,*,*,プロセス,38
8,0,分離,名詞,サ変接続,*,*,分離,36
9,0,プロセス,名詞,一般,*,*,プロセス,38
10,0,反応,名詞,サ変接続,*,*,反応,36
11,0,プロセス,名詞,一般,*,*,プロセス,38
12,0,化学,名詞,一般,*,*,化学,38
13,0,プロセス,名詞,一般,*,*,プロセス,38
14,0,分離,名詞,サ変接続,*,*,分離,36
15,0,プロセス,名詞,一般,*,*,プロセス,38
16,0,反応,名詞,サ変接続,*,*,反応,36
17,0,プロセス,名詞,一般,*,*,プロセス,38
18,0,フロー,名詞,一般,*,*,フロー,38
19,0,シート,名詞,一般,*,*,シート,38
20,0,化学,名詞,一般,*,*,化学,38
21,0,プロセス,名詞,一般,*,*,プロセス,38
22,0,フロー,名詞,一般,*,*,フロー,38
23,0,シート,名詞,一般,*,*,シート,38
24,0,化学,名詞,一般,*,*,化学,38
25,0,プロセス,名詞,一般,*,*,プロセス,38
26,0,分離,名詞,サ変接続,*,*,分離,36
27,0,プロセス,名詞,一般,*,*,プロセス,38
28,0,反応,名詞,サ変接続,*,*,反応,36
29,0,プロセス,名詞,一般,*,*,プロセス,38
