,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,化学,名詞,一般,*,*,化学,38
1,0,産業,名詞,一般,*,*,産業,38
2,0,研究開発,名詞,固有名詞,一般,*,研究開発,41
3,0,研究所,名詞,一般,*,*,研究所,38
4,0,工場,名詞,一般,*,*,工場,38
5,0,プラント,名詞,一般,*,*,プラント,38
6,0,石油化学,名詞,固有名詞,一般,*,石油化学,41
7,0,製薬,名詞,一般,*,*,製薬,38
8,0,工業,名詞,一般,*,*,工業,38
9,0,食品工業,名詞,固有名詞,一般,*,食品工業,41
10,0,機能性,名詞,一般,*,*,機能性,38
11,0,材料,名詞,一般,*,*,材料,38
12,0,化学,名詞,一般,*,*,化学,38
13,0,産業,名詞,一般,*,*,産業,38
14,0,研究開発,名詞,固有名詞,一般,*,研究開発,41
15,0,研究所,名詞,一般,*,*,研究所,38
16,0,工場,名詞,一般,*,*,工場,38
17,0,プラント,名詞,一般,*,*,プラント,38
18,0,石油化学,名詞,固有名詞,一般,*,石油化学,41
19,0,製薬,名詞,一般,*,*,製薬,38
20,0,工業,名詞,一般,*,*,工業,38
21,0,食品工業,名詞,固有名詞,一般,*,食品工業,41
22,0,機能性,名詞,一般,*,*,機能性,38
23,0,材料,名詞,一般,*,*,材料,38
24,0,化学,名詞,一般,*,*,化学,38
25,0,産業,名詞,一般,*,*,産業,38
26,0,研究開発,名詞,固有名詞,一般,*,研究開発,41
27,0,研究所,名詞,一般,*,*,研究所,38
28,0,工場,名詞,一般,*,*,工場,38
29,0,プラント,名詞,一般,*,*,プラント,38
30,0,石油化学,名詞,固有名詞,一般,*,石油化学,41
31,0,製薬,名詞,一般,*,*,製薬,38
32,0,工業,名詞,一般,*,*,工業,38
33,0,食品工業,名詞,固有名詞,一般,*,食品工業,41
34,0,機能性,名詞,一般,*,*,機能性,38
35,0,材料,名詞,一般,*,*,材料,38
