,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,研究所,名詞,一般,*,*,研究所,38
2,0,工場,名詞,一般,*,*,工場,38
6,0,関連,名詞,サ変接続,*,*,関連,36
7,0,講義,名詞,サ変接続,*,*,講義,36
8,0,研究所,名詞,一般,*,*,研究所,38
10,0,工場,名詞,一般,*,*,工場,38
15,0,仕事,名詞,サ変接続,*,*,仕事,36
17,0,説明,名詞,サ変接続,*,*,説明,36
18,0,できる,動詞,自立,*,*,できる,31
21,0,なる,動詞,自立,*,*,なる,31
23,0,研究所,名詞,一般,*,*,研究所,38
25,0,工場,名詞,一般,*,*,工場,38
29,0,見学,名詞,サ変接続,*,*,見学,36
30,1,研究所,名詞,一般,*,*,研究所,38
32,1,工場,名詞,一般,*,*,工場,38
36,1,レポート,名詞,サ変接続,*,*,レポート,36
37,1,作成,名詞,サ変接続,*,*,作成,36
39,1,提出,名詞,サ変接続,*,*,提出,36
40,1,研究所,名詞,一般,*,*,研究所,38
42,1,工場,名詞,一般,*,*,工場,38
46,1,関連,名詞,サ変接続,*,*,関連,36
47,1,講義,名詞,サ変接続,*,*,講義,36
48,1,研究所,名詞,一般,*,*,研究所,38
50,1,工場,名詞,一般,*,*,工場,38
55,1,仕事,名詞,サ変接続,*,*,仕事,36
57,1,説明,名詞,サ変接続,*,*,説明,36
58,1,できる,動詞,自立,*,*,できる,31
61,1,なる,動詞,自立,*,*,なる,31
63,1,研究所,名詞,一般,*,*,研究所,38
65,1,工場,名詞,一般,*,*,工場,38
69,1,見学,名詞,サ変接続,*,*,見学,36
70,1,研究所,名詞,一般,*,*,研究所,38
72,1,工場,名詞,一般,*,*,工場,38
76,1,レポート,名詞,サ変接続,*,*,レポート,36
77,1,作成,名詞,サ変接続,*,*,作成,36
79,1,提出,名詞,サ変接続,*,*,提出,36
80,1,研究所,名詞,一般,*,*,研究所,38
82,1,工場,名詞,一般,*,*,工場,38
86,1,関連,名詞,サ変接続,*,*,関連,36
87,1,講義,名詞,サ変接続,*,*,講義,36
88,1,研究所,名詞,一般,*,*,研究所,38
90,1,工場,名詞,一般,*,*,工場,38
95,1,仕事,名詞,サ変接続,*,*,仕事,36
97,1,説明,名詞,サ変接続,*,*,説明,36
98,1,できる,動詞,自立,*,*,できる,31
101,1,なる,動詞,自立,*,*,なる,31
103,1,研究所,名詞,一般,*,*,研究所,38
105,1,工場,名詞,一般,*,*,工場,38
109,1,見学,名詞,サ変接続,*,*,見学,36
110,2,研究所,名詞,一般,*,*,研究所,38
112,2,工場,名詞,一般,*,*,工場,38
116,2,レポート,名詞,サ変接続,*,*,レポート,36
117,2,作成,名詞,サ変接続,*,*,作成,36
119,2,提出,名詞,サ変接続,*,*,提出,36
120,2,研究所,名詞,一般,*,*,研究所,38
122,2,工場,名詞,一般,*,*,工場,38
126,2,関連,名詞,サ変接続,*,*,関連,36
127,2,講義,名詞,サ変接続,*,*,講義,36
128,2,研究所,名詞,一般,*,*,研究所,38
130,2,工場,名詞,一般,*,*,工場,38
135,2,仕事,名詞,サ変接続,*,*,仕事,36
137,2,説明,名詞,サ変接続,*,*,説明,36
138,2,できる,動詞,自立,*,*,できる,31
141,2,なる,動詞,自立,*,*,なる,31
143,2,研究所,名詞,一般,*,*,研究所,38
145,2,工場,名詞,一般,*,*,工場,38
149,2,見学,名詞,サ変接続,*,*,見学,36
150,2,研究所,名詞,一般,*,*,研究所,38
152,2,工場,名詞,一般,*,*,工場,38
156,2,レポート,名詞,サ変接続,*,*,レポート,36
157,2,作成,名詞,サ変接続,*,*,作成,36
159,2,提出,名詞,サ変接続,*,*,提出,36
160,2,研究所,名詞,一般,*,*,研究所,38
162,2,工場,名詞,一般,*,*,工場,38
166,2,関連,名詞,サ変接続,*,*,関連,36
167,2,講義,名詞,サ変接続,*,*,講義,36
168,2,研究所,名詞,一般,*,*,研究所,38
170,2,工場,名詞,一般,*,*,工場,38
175,2,仕事,名詞,サ変接続,*,*,仕事,36
177,2,説明,名詞,サ変接続,*,*,説明,36
178,2,できる,動詞,自立,*,*,できる,31
181,2,なる,動詞,自立,*,*,なる,31
183,2,研究所,名詞,一般,*,*,研究所,38
185,2,工場,名詞,一般,*,*,工場,38
189,2,見学,名詞,サ変接続,*,*,見学,36
190,3,研究所,名詞,一般,*,*,研究所,38
192,3,工場,名詞,一般,*,*,工場,38
196,3,レポート,名詞,サ変接続,*,*,レポート,36
197,3,作成,名詞,サ変接続,*,*,作成,36
199,3,提出,名詞,サ変接続,*,*,提出,36
200,3,研究所,名詞,一般,*,*,研究所,38
202,3,工場,名詞,一般,*,*,工場,38
206,3,関連,名詞,サ変接続,*,*,関連,36
207,3,講義,名詞,サ変接続,*,*,講義,36
208,3,研究所,名詞,一般,*,*,研究所,38
210,3,工場,名詞,一般,*,*,工場,38
215,3,仕事,名詞,サ変接続,*,*,仕事,36
217,3,説明,名詞,サ変接続,*,*,説明,36
218,3,できる,動詞,自立,*,*,できる,31
221,3,なる,動詞,自立,*,*,なる,31
223,3,研究所,名詞,一般,*,*,研究所,38
225,3,工場,名詞,一般,*,*,工場,38
229,3,見学,名詞,サ変接続,*,*,見学,36
230,3,研究所,名詞,一般,*,*,研究所,38
232,3,工場,名詞,一般,*,*,工場,38
236,3,レポート,名詞,サ変接続,*,*,レポート,36
237,3,作成,名詞,サ変接続,*,*,作成,36
239,3,提出,名詞,サ変接続,*,*,提出,36
