,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,基礎,名詞,一般,*,*,基礎,38
1,0,自然,名詞,形容動詞語幹,*,*,自然,40
2,0,共生,名詞,サ変接続,*,*,共生,36
3,0,科学,名詞,一般,*,*,科学,38
4,0,環境,名詞,一般,*,*,環境,38
5,0,エネルギー,名詞,一般,*,*,エネルギー,38
6,0,概論,名詞,サ変接続,*,*,概論,36
7,0,基礎,名詞,一般,*,*,基礎,38
8,0,自然,名詞,形容動詞語幹,*,*,自然,40
9,0,共生,名詞,サ変接続,*,*,共生,36
10,0,科学,名詞,一般,*,*,科学,38
11,0,環境,名詞,一般,*,*,環境,38
12,0,エネルギー,名詞,一般,*,*,エネルギー,38
13,0,概論,名詞,サ変接続,*,*,概論,36
14,0,基礎,名詞,一般,*,*,基礎,38
15,0,自然,名詞,形容動詞語幹,*,*,自然,40
16,0,共生,名詞,サ変接続,*,*,共生,36
17,0,科学,名詞,一般,*,*,科学,38
18,0,環境,名詞,一般,*,*,環境,38
19,0,エネルギー,名詞,一般,*,*,エネルギー,38
20,0,概論,名詞,サ変接続,*,*,概論,36
21,0,基礎,名詞,一般,*,*,基礎,38
22,0,自然,名詞,形容動詞語幹,*,*,自然,40
23,0,共生,名詞,サ変接続,*,*,共生,36
24,0,科学,名詞,一般,*,*,科学,38
25,0,環境,名詞,一般,*,*,環境,38
26,0,エネルギー,名詞,一般,*,*,エネルギー,38
27,0,概論,名詞,サ変接続,*,*,概論,36
28,0,基礎,名詞,一般,*,*,基礎,38
29,0,自然,名詞,形容動詞語幹,*,*,自然,40
30,0,共生,名詞,サ変接続,*,*,共生,36
31,0,科学,名詞,一般,*,*,科学,38
32,0,環境,名詞,一般,*,*,環境,38
33,0,エネルギー,名詞,一般,*,*,エネルギー,38
34,0,概論,名詞,サ変接続,*,*,概論,36
