,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,高分子化学,名詞,固有名詞,一般,*,高分子化学,41
1,0,第一,名詞,固有名詞,一般,*,第一,41
3,0,逐次重合,名詞,固有名詞,一般,*,逐次重合,41
5,0,有機化学,名詞,固有名詞,一般,*,有機化学,41
6,0,第一,名詞,固有名詞,一般,*,第一,41
8,0,アルカン,名詞,固有名詞,人名,一般,アルカン,42
11,0,応用化学,名詞,固有名詞,一般,*,応用化学,41
13,0,有機化学,名詞,固有名詞,一般,*,有機化学,41
17,0,アルケン,名詞,固有名詞,一般,*,アルケン,41
19,0,有機化学,名詞,固有名詞,一般,*,有機化学,41
23,0,芳香,名詞,一般,*,*,芳香,38
24,0,族,名詞,接尾,一般,*,族,51
26,0,高分子化学,名詞,固有名詞,一般,*,高分子化学,41
27,0,第一,名詞,固有名詞,一般,*,第一,41
29,0,逐次重合,名詞,固有名詞,一般,*,逐次重合,41
31,0,有機化学,名詞,固有名詞,一般,*,有機化学,41
32,0,第一,名詞,固有名詞,一般,*,第一,41
34,0,アルカン,名詞,固有名詞,人名,一般,アルカン,42
37,0,応用化学,名詞,固有名詞,一般,*,応用化学,41
39,0,有機化学,名詞,固有名詞,一般,*,有機化学,41
43,0,アルケン,名詞,固有名詞,一般,*,アルケン,41
45,0,有機化学,名詞,固有名詞,一般,*,有機化学,41
49,0,芳香,名詞,一般,*,*,芳香,38
50,0,族,名詞,接尾,一般,*,族,51
52,0,高分子化学,名詞,固有名詞,一般,*,高分子化学,41
53,0,第一,名詞,固有名詞,一般,*,第一,41
55,0,逐次重合,名詞,固有名詞,一般,*,逐次重合,41
57,0,有機化学,名詞,固有名詞,一般,*,有機化学,41
58,0,第一,名詞,固有名詞,一般,*,第一,41
60,0,アルカン,名詞,固有名詞,人名,一般,アルカン,42
63,0,応用化学,名詞,固有名詞,一般,*,応用化学,41
65,0,有機化学,名詞,固有名詞,一般,*,有機化学,41
69,0,アルケン,名詞,固有名詞,一般,*,アルケン,41
71,0,有機化学,名詞,固有名詞,一般,*,有機化学,41
75,0,芳香,名詞,一般,*,*,芳香,38
76,0,族,名詞,接尾,一般,*,族,51
78,0,高分子化学,名詞,固有名詞,一般,*,高分子化学,41
79,0,第一,名詞,固有名詞,一般,*,第一,41
81,0,逐次重合,名詞,固有名詞,一般,*,逐次重合,41
83,0,有機化学,名詞,固有名詞,一般,*,有機化学,41
84,0,第一,名詞,固有名詞,一般,*,第一,41
86,0,アルカン,名詞,固有名詞,人名,一般,アルカン,42
89,0,応用化学,名詞,固有名詞,一般,*,応用化学,41
91,0,有機化学,名詞,固有名詞,一般,*,有機化学,41
95,0,アルケン,名詞,固有名詞,一般,*,アルケン,41
97,0,有機化学,名詞,固有名詞,一般,*,有機化学,41
101,0,芳香,名詞,一般,*,*,芳香,38
102,0,族,名詞,接尾,一般,*,族,51
104,0,高分子化学,名詞,固有名詞,一般,*,高分子化学,41
105,0,第一,名詞,固有名詞,一般,*,第一,41
107,0,逐次重合,名詞,固有名詞,一般,*,逐次重合,41
109,0,有機化学,名詞,固有名詞,一般,*,有機化学,41
110,0,第一,名詞,固有名詞,一般,*,第一,41
112,0,アルカン,名詞,固有名詞,人名,一般,アルカン,42
115,0,応用化学,名詞,固有名詞,一般,*,応用化学,41
117,0,有機化学,名詞,固有名詞,一般,*,有機化学,41
121,0,アルケン,名詞,固有名詞,一般,*,アルケン,41
123,0,有機化学,名詞,固有名詞,一般,*,有機化学,41
127,0,芳香,名詞,一般,*,*,芳香,38
128,0,族,名詞,接尾,一般,*,族,51
