,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,高分子,名詞,一般,*,*,高分子,38
1,0,反応,名詞,サ変接続,*,*,反応,36
2,0,分子,名詞,一般,*,*,分子,38
3,0,内,名詞,接尾,一般,*,内,51
4,0,反応,名詞,サ変接続,*,*,反応,36
5,0,分子,名詞,一般,*,*,分子,38
6,0,間,名詞,接尾,一般,*,間,51
7,0,反応,名詞,サ変接続,*,*,反応,36
8,0,高分子,名詞,一般,*,*,高分子,38
9,0,側,名詞,接尾,一般,*,側,51
10,0,鎖,名詞,一般,*,*,鎖,38
12,0,官能基,名詞,固有名詞,一般,*,官能基,41
13,0,変換,名詞,サ変接続,*,*,変換,36
14,0,高分子,名詞,一般,*,*,高分子,38
16,0,末端,名詞,一般,*,*,末端,38
17,0,修飾,名詞,サ変接続,*,*,修飾,36
18,0,特殊,名詞,形容動詞語幹,*,*,特殊,40
19,0,構造,名詞,一般,*,*,構造,38
20,0,ポリマー,名詞,固有名詞,一般,*,ポリマー,41
21,0,高分子,名詞,一般,*,*,高分子,38
22,0,触媒,名詞,一般,*,*,触媒,38
23,0,高分子,名詞,一般,*,*,高分子,38
25,0,劣化,名詞,サ変接続,*,*,劣化,36
26,0,高分子,名詞,一般,*,*,高分子,38
28,0,分解,名詞,サ変接続,*,*,分解,36
29,0,高分子,名詞,一般,*,*,高分子,38
31,0,リサイクル,名詞,サ変接続,*,*,リサイクル,36
32,0,開環重合,名詞,固有名詞,一般,*,開環重合,41
33,0,リビング,名詞,一般,*,*,リビング,38
34,0,重合,名詞,サ変接続,*,*,重合,36
35,0,高分子,名詞,一般,*,*,高分子,38
36,0,反応,名詞,サ変接続,*,*,反応,36
37,0,分子,名詞,一般,*,*,分子,38
38,0,内,名詞,接尾,一般,*,内,51
39,0,反応,名詞,サ変接続,*,*,反応,36
40,0,分子,名詞,一般,*,*,分子,38
41,0,間,名詞,接尾,一般,*,間,51
42,0,反応,名詞,サ変接続,*,*,反応,36
43,0,高分子,名詞,一般,*,*,高分子,38
44,0,側,名詞,接尾,一般,*,側,51
45,0,鎖,名詞,一般,*,*,鎖,38
47,0,官能基,名詞,固有名詞,一般,*,官能基,41
48,0,変換,名詞,サ変接続,*,*,変換,36
49,0,高分子,名詞,一般,*,*,高分子,38
51,0,末端,名詞,一般,*,*,末端,38
52,0,修飾,名詞,サ変接続,*,*,修飾,36
53,0,特殊,名詞,形容動詞語幹,*,*,特殊,40
54,0,構造,名詞,一般,*,*,構造,38
55,0,ポリマー,名詞,固有名詞,一般,*,ポリマー,41
56,0,高分子,名詞,一般,*,*,高分子,38
57,0,触媒,名詞,一般,*,*,触媒,38
58,0,高分子,名詞,一般,*,*,高分子,38
60,0,劣化,名詞,サ変接続,*,*,劣化,36
61,0,高分子,名詞,一般,*,*,高分子,38
63,0,分解,名詞,サ変接続,*,*,分解,36
64,0,高分子,名詞,一般,*,*,高分子,38
66,0,リサイクル,名詞,サ変接続,*,*,リサイクル,36
67,0,開環重合,名詞,固有名詞,一般,*,開環重合,41
68,0,リビング,名詞,一般,*,*,リビング,38
69,0,重合,名詞,サ変接続,*,*,重合,36
70,0,高分子,名詞,一般,*,*,高分子,38
71,0,反応,名詞,サ変接続,*,*,反応,36
72,0,分子,名詞,一般,*,*,分子,38
73,0,内,名詞,接尾,一般,*,内,51
74,0,反応,名詞,サ変接続,*,*,反応,36
75,0,分子,名詞,一般,*,*,分子,38
76,0,間,名詞,接尾,一般,*,間,51
77,0,反応,名詞,サ変接続,*,*,反応,36
78,0,高分子,名詞,一般,*,*,高分子,38
79,0,側,名詞,接尾,一般,*,側,51
80,0,鎖,名詞,一般,*,*,鎖,38
82,0,官能基,名詞,固有名詞,一般,*,官能基,41
83,0,変換,名詞,サ変接続,*,*,変換,36
84,0,高分子,名詞,一般,*,*,高分子,38
86,0,末端,名詞,一般,*,*,末端,38
87,0,修飾,名詞,サ変接続,*,*,修飾,36
88,0,特殊,名詞,形容動詞語幹,*,*,特殊,40
89,0,構造,名詞,一般,*,*,構造,38
90,0,ポリマー,名詞,固有名詞,一般,*,ポリマー,41
91,0,高分子,名詞,一般,*,*,高分子,38
92,0,触媒,名詞,一般,*,*,触媒,38
93,0,高分子,名詞,一般,*,*,高分子,38
95,0,劣化,名詞,サ変接続,*,*,劣化,36
