,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,高分子化学,名詞,固有名詞,一般,*,高分子化学,41
1,0,第一,名詞,固有名詞,一般,*,第一,41
3,0,逐次重合,名詞,固有名詞,一般,*,逐次重合,41
5,0,高分子化学,名詞,固有名詞,一般,*,高分子化学,41
9,0,連鎖,名詞,一般,*,*,連鎖,38
10,0,重合,名詞,サ変接続,*,*,重合,36
12,0,高分子化学,名詞,固有名詞,一般,*,高分子化学,41
16,0,高分子,名詞,一般,*,*,高分子,38
17,0,反応,名詞,サ変接続,*,*,反応,36
19,0,高分子化学,名詞,固有名詞,一般,*,高分子化学,41
20,0,第一,名詞,固有名詞,一般,*,第一,41
22,0,逐次重合,名詞,固有名詞,一般,*,逐次重合,41
24,0,高分子化学,名詞,固有名詞,一般,*,高分子化学,41
28,0,連鎖,名詞,一般,*,*,連鎖,38
29,0,重合,名詞,サ変接続,*,*,重合,36
31,0,高分子化学,名詞,固有名詞,一般,*,高分子化学,41
35,0,高分子,名詞,一般,*,*,高分子,38
36,0,反応,名詞,サ変接続,*,*,反応,36
38,0,高分子化学,名詞,固有名詞,一般,*,高分子化学,41
39,0,第一,名詞,固有名詞,一般,*,第一,41
41,0,逐次重合,名詞,固有名詞,一般,*,逐次重合,41
43,0,高分子化学,名詞,固有名詞,一般,*,高分子化学,41
47,0,連鎖,名詞,一般,*,*,連鎖,38
48,0,重合,名詞,サ変接続,*,*,重合,36
50,0,高分子化学,名詞,固有名詞,一般,*,高分子化学,41
54,0,高分子,名詞,一般,*,*,高分子,38
55,0,反応,名詞,サ変接続,*,*,反応,36
57,0,高分子化学,名詞,固有名詞,一般,*,高分子化学,41
58,0,第一,名詞,固有名詞,一般,*,第一,41
60,0,逐次重合,名詞,固有名詞,一般,*,逐次重合,41
62,0,高分子化学,名詞,固有名詞,一般,*,高分子化学,41
66,0,連鎖,名詞,一般,*,*,連鎖,38
67,0,重合,名詞,サ変接続,*,*,重合,36
69,0,高分子化学,名詞,固有名詞,一般,*,高分子化学,41
73,0,高分子,名詞,一般,*,*,高分子,38
74,0,反応,名詞,サ変接続,*,*,反応,36
76,0,高分子化学,名詞,固有名詞,一般,*,高分子化学,41
77,0,第一,名詞,固有名詞,一般,*,第一,41
79,0,逐次重合,名詞,固有名詞,一般,*,逐次重合,41
81,0,高分子化学,名詞,固有名詞,一般,*,高分子化学,41
85,0,連鎖,名詞,一般,*,*,連鎖,38
86,0,重合,名詞,サ変接続,*,*,重合,36
88,0,高分子化学,名詞,固有名詞,一般,*,高分子化学,41
92,0,高分子,名詞,一般,*,*,高分子,38
93,0,反応,名詞,サ変接続,*,*,反応,36
