,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,ベンゼン,名詞,一般,*,*,ベンゼン,38
2,0,化学,名詞,一般,*,*,化学,38
3,0,芳香,名詞,一般,*,*,芳香,38
4,0,族,名詞,接尾,一般,*,族,51
5,0,性,名詞,接尾,一般,*,性,51
7,0,芳香族化合物,名詞,固有名詞,一般,*,芳香族化合物,41
9,0,反応,名詞,サ変接続,*,*,反応,36
12,0,理解,名詞,サ変接続,*,*,理解,36
14,0,深める,動詞,自立,*,*,深める,31
17,0,物質,名詞,一般,*,*,物質,38
19,0,相転移,名詞,固有名詞,一般,*,相転移,41
20,0,蒸発,名詞,サ変接続,*,*,蒸発,36
22,0,融解,名詞,サ変接続,*,*,融解,36
25,0,物質,名詞,一般,*,*,物質,38
27,0,相転移,名詞,固有名詞,一般,*,相転移,41
29,0,熱力学,名詞,固有名詞,一般,*,熱力学,41
30,0,的,名詞,接尾,形容動詞語幹,*,的,52
32,0,論じ,動詞,自立,*,*,論じる,31
36,0,なる,動詞,自立,*,*,なる,31
38,0,求,名詞,固有名詞,地域,一般,求,46
39,0,核,名詞,一般,*,*,核,38
40,0,置換,名詞,サ変接続,*,*,置換,36
43,0,離,名詞,固有名詞,地域,一般,離,46
44,0,求,名詞,固有名詞,地域,一般,求,46
45,0,核,名詞,一般,*,*,核,38
46,0,置換,名詞,サ変接続,*,*,置換,36
48,0,脱離反応,名詞,固有名詞,一般,*,脱離反応,41
51,0,理解,名詞,サ変接続,*,*,理解,36
53,0,深める,動詞,自立,*,*,深める,31
55,0,混合物,名詞,固有名詞,一般,*,混合物,41
57,0,性質,名詞,一般,*,*,性質,38
58,0,溶液,名詞,一般,*,*,溶液,38
61,0,混合物,名詞,固有名詞,一般,*,混合物,41
63,0,性質,名詞,一般,*,*,性質,38
65,0,熱力学,名詞,固有名詞,一般,*,熱力学,41
66,0,的,名詞,接尾,形容動詞語幹,*,的,52
68,0,論じ,動詞,自立,*,*,論じる,31
72,0,なる,動詞,自立,*,*,なる,31
76,0,ケトン,名詞,固有名詞,一般,*,ケトン,41
79,0,ケトン,名詞,固有名詞,一般,*,ケトン,41
