,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
1,0,講義,名詞,サ変接続,*,*,講義,36
3,0,履修,名詞,サ変接続,*,*,履修,36
7,0,次,名詞,一般,*,*,次,38
9,0,能力,名詞,一般,*,*,能力,38
11,0,習得,名詞,サ変接続,*,*,習得,36
17,0,安全,名詞,形容動詞語幹,*,*,安全,40
19,0,概念,名詞,一般,*,*,概念,38
21,0,理解,名詞,サ変接続,*,*,理解,36
24,0,安全,名詞,形容動詞語幹,*,*,安全,40
26,0,化学実験,名詞,固有名詞,一般,*,化学実験,41
28,0,行う,動詞,自立,*,*,行う,31
29,0,ため,名詞,非自立,副詞可能,*,ため,66
31,0,心構え,名詞,一般,*,*,心構え,38
33,0,身,名詞,一般,*,*,身,38
35,0,つける,動詞,自立,*,*,つける,31
38,0,できる,動詞,自立,*,*,できる,31
43,0,化学物質,名詞,固有名詞,一般,*,化学物質,41
45,0,有する,動詞,自立,*,*,有する,31
46,0,リスク,名詞,一般,*,*,リスク,38
48,0,アセスメント,名詞,一般,*,*,アセスメント,38
50,0,意義,名詞,一般,*,*,意義,38
52,0,説明,名詞,サ変接続,*,*,説明,36
53,0,できる,動詞,自立,*,*,できる,31
58,0,化学物質,名詞,固有名詞,一般,*,化学物質,41
60,0,管理,名詞,サ変接続,*,*,管理,36
62,0,問題,名詞,ナイ形容詞語幹,*,*,問題,37
64,0,関連,名詞,サ変接続,*,*,関連,36
65,0,法規,名詞,一般,*,*,法規,38
67,0,説明,名詞,サ変接続,*,*,説明,36
68,0,できる,動詞,自立,*,*,できる,31
73,0,化学物質,名詞,固有名詞,一般,*,化学物質,41
75,0,地球環境問題,名詞,固有名詞,一般,*,地球環境問題,41
77,0,廃液,名詞,一般,*,*,廃液,38
79,0,廃棄物,名詞,固有名詞,一般,*,廃棄物,41
81,0,資源,名詞,一般,*,*,資源,38
83,0,問題,名詞,ナイ形容詞語幹,*,*,問題,37
85,0,説明,名詞,サ変接続,*,*,説明,36
86,0,できる,動詞,自立,*,*,できる,31
91,0,緊急時,名詞,固有名詞,一般,*,緊急時,41
93,0,対応,名詞,サ変接続,*,*,対応,36
94,0,方法,名詞,一般,*,*,方法,38
96,0,火災,名詞,一般,*,*,火災,38
99,0,対応,名詞,サ変接続,*,*,対応,36
100,0,方法,名詞,一般,*,*,方法,38
103,0,心構え,名詞,一般,*,*,心構え,38
105,0,身,名詞,一般,*,*,身,38
107,0,つける,動詞,自立,*,*,つける,31
110,0,できる,動詞,自立,*,*,できる,31
115,0,消火器,名詞,一般,*,*,消火器,38
117,0,使用,名詞,サ変接続,*,*,使用,36
118,0,法,名詞,接尾,一般,*,法,51
120,0,習得,名詞,サ変接続,*,*,習得,36
124,0,講義,名詞,サ変接続,*,*,講義,36
126,0,履修,名詞,サ変接続,*,*,履修,36
130,0,次,名詞,一般,*,*,次,38
132,0,能力,名詞,一般,*,*,能力,38
134,0,習得,名詞,サ変接続,*,*,習得,36
140,0,安全,名詞,形容動詞語幹,*,*,安全,40
142,0,概念,名詞,一般,*,*,概念,38
144,0,理解,名詞,サ変接続,*,*,理解,36
147,0,安全,名詞,形容動詞語幹,*,*,安全,40
149,0,化学実験,名詞,固有名詞,一般,*,化学実験,41
151,0,行う,動詞,自立,*,*,行う,31
152,0,ため,名詞,非自立,副詞可能,*,ため,66
154,0,心構え,名詞,一般,*,*,心構え,38
156,0,身,名詞,一般,*,*,身,38
158,0,つける,動詞,自立,*,*,つける,31
161,0,できる,動詞,自立,*,*,できる,31
166,0,化学物質,名詞,固有名詞,一般,*,化学物質,41
168,0,有する,動詞,自立,*,*,有する,31
169,0,リスク,名詞,一般,*,*,リスク,38
171,0,アセスメント,名詞,一般,*,*,アセスメント,38
173,0,意義,名詞,一般,*,*,意義,38
175,0,説明,名詞,サ変接続,*,*,説明,36
176,0,できる,動詞,自立,*,*,できる,31
181,0,化学物質,名詞,固有名詞,一般,*,化学物質,41
183,0,管理,名詞,サ変接続,*,*,管理,36
185,0,問題,名詞,ナイ形容詞語幹,*,*,問題,37
187,0,関連,名詞,サ変接続,*,*,関連,36
188,0,法規,名詞,一般,*,*,法規,38
190,0,説明,名詞,サ変接続,*,*,説明,36
191,0,できる,動詞,自立,*,*,できる,31
196,0,化学物質,名詞,固有名詞,一般,*,化学物質,41
198,0,地球環境問題,名詞,固有名詞,一般,*,地球環境問題,41
200,0,廃液,名詞,一般,*,*,廃液,38
202,0,廃棄物,名詞,固有名詞,一般,*,廃棄物,41
204,0,資源,名詞,一般,*,*,資源,38
206,0,問題,名詞,ナイ形容詞語幹,*,*,問題,37
208,0,説明,名詞,サ変接続,*,*,説明,36
209,0,できる,動詞,自立,*,*,できる,31
214,0,緊急時,名詞,固有名詞,一般,*,緊急時,41
216,0,対応,名詞,サ変接続,*,*,対応,36
217,0,方法,名詞,一般,*,*,方法,38
219,0,火災,名詞,一般,*,*,火災,38
222,0,対応,名詞,サ変接続,*,*,対応,36
223,0,方法,名詞,一般,*,*,方法,38
226,0,心構え,名詞,一般,*,*,心構え,38
228,0,身,名詞,一般,*,*,身,38
230,0,つける,動詞,自立,*,*,つける,31
233,0,できる,動詞,自立,*,*,できる,31
238,0,消化,名詞,サ変接続,*,*,消化,36
239,0,器,名詞,接尾,一般,*,器,51
241,0,使用,名詞,サ変接続,*,*,使用,36
242,0,法,名詞,接尾,一般,*,法,51
244,0,習得,名詞,サ変接続,*,*,習得,36
248,0,講義,名詞,サ変接続,*,*,講義,36
250,0,履修,名詞,サ変接続,*,*,履修,36
254,0,次,名詞,一般,*,*,次,38
256,0,能力,名詞,一般,*,*,能力,38
258,0,習得,名詞,サ変接続,*,*,習得,36
264,0,安全,名詞,形容動詞語幹,*,*,安全,40
266,0,概念,名詞,一般,*,*,概念,38
268,0,理解,名詞,サ変接続,*,*,理解,36
271,0,安全,名詞,形容動詞語幹,*,*,安全,40
273,0,化学実験,名詞,固有名詞,一般,*,化学実験,41
275,0,行う,動詞,自立,*,*,行う,31
276,0,ため,名詞,非自立,副詞可能,*,ため,66
278,0,心構え,名詞,一般,*,*,心構え,38
280,0,身,名詞,一般,*,*,身,38
282,0,つける,動詞,自立,*,*,つける,31
285,0,できる,動詞,自立,*,*,できる,31
290,0,化学物質,名詞,固有名詞,一般,*,化学物質,41
292,0,有する,動詞,自立,*,*,有する,31
293,0,リスク,名詞,一般,*,*,リスク,38
295,0,アセスメント,名詞,一般,*,*,アセスメント,38
297,0,意義,名詞,一般,*,*,意義,38
299,0,説明,名詞,サ変接続,*,*,説明,36
300,0,できる,動詞,自立,*,*,できる,31
305,0,化学物質,名詞,固有名詞,一般,*,化学物質,41
307,0,管理,名詞,サ変接続,*,*,管理,36
309,0,問題,名詞,ナイ形容詞語幹,*,*,問題,37
311,0,関連,名詞,サ変接続,*,*,関連,36
312,0,法規,名詞,一般,*,*,法規,38
314,0,説明,名詞,サ変接続,*,*,説明,36
315,0,できる,動詞,自立,*,*,できる,31
320,0,化学物質,名詞,固有名詞,一般,*,化学物質,41
322,0,地球環境問題,名詞,固有名詞,一般,*,地球環境問題,41
324,0,廃液,名詞,一般,*,*,廃液,38
326,0,廃棄物,名詞,固有名詞,一般,*,廃棄物,41
328,0,資源,名詞,一般,*,*,資源,38
330,0,問題,名詞,ナイ形容詞語幹,*,*,問題,37
332,0,説明,名詞,サ変接続,*,*,説明,36
333,0,できる,動詞,自立,*,*,できる,31
338,0,緊急時,名詞,固有名詞,一般,*,緊急時,41
340,0,対応,名詞,サ変接続,*,*,対応,36
341,0,方法,名詞,一般,*,*,方法,38
343,0,火災,名詞,一般,*,*,火災,38
346,0,対応,名詞,サ変接続,*,*,対応,36
347,0,方法,名詞,一般,*,*,方法,38
350,0,心構え,名詞,一般,*,*,心構え,38
352,0,身,名詞,一般,*,*,身,38
354,0,つける,動詞,自立,*,*,つける,31
357,0,できる,動詞,自立,*,*,できる,31
362,0,消化,名詞,サ変接続,*,*,消化,36
363,0,器,名詞,接尾,一般,*,器,51
365,0,使用,名詞,サ変接続,*,*,使用,36
366,0,法,名詞,接尾,一般,*,法,51
368,0,習得,名詞,サ変接続,*,*,習得,36
372,0,講義,名詞,サ変接続,*,*,講義,36
374,0,履修,名詞,サ変接続,*,*,履修,36
378,0,次,名詞,一般,*,*,次,38
380,0,能力,名詞,一般,*,*,能力,38
382,0,習得,名詞,サ変接続,*,*,習得,36
388,0,安全,名詞,形容動詞語幹,*,*,安全,40
390,0,概念,名詞,一般,*,*,概念,38
392,0,理解,名詞,サ変接続,*,*,理解,36
395,0,安全,名詞,形容動詞語幹,*,*,安全,40
397,0,化学実験,名詞,固有名詞,一般,*,化学実験,41
399,0,行う,動詞,自立,*,*,行う,31
400,0,ため,名詞,非自立,副詞可能,*,ため,66
402,0,心構え,名詞,一般,*,*,心構え,38
404,0,身,名詞,一般,*,*,身,38
406,0,つける,動詞,自立,*,*,つける,31
409,0,できる,動詞,自立,*,*,できる,31
414,0,化学物質,名詞,固有名詞,一般,*,化学物質,41
416,0,有する,動詞,自立,*,*,有する,31
417,0,リスク,名詞,一般,*,*,リスク,38
419,0,アセスメント,名詞,一般,*,*,アセスメント,38
421,0,意義,名詞,一般,*,*,意義,38
423,0,説明,名詞,サ変接続,*,*,説明,36
424,0,できる,動詞,自立,*,*,できる,31
429,0,化学物質,名詞,固有名詞,一般,*,化学物質,41
431,0,管理,名詞,サ変接続,*,*,管理,36
433,0,問題,名詞,ナイ形容詞語幹,*,*,問題,37
435,0,関連,名詞,サ変接続,*,*,関連,36
436,0,法規,名詞,一般,*,*,法規,38
438,0,説明,名詞,サ変接続,*,*,説明,36
439,0,できる,動詞,自立,*,*,できる,31
444,0,化学物質,名詞,固有名詞,一般,*,化学物質,41
446,0,地球環境問題,名詞,固有名詞,一般,*,地球環境問題,41
448,0,廃液,名詞,一般,*,*,廃液,38
450,0,廃棄物,名詞,固有名詞,一般,*,廃棄物,41
452,0,資源,名詞,一般,*,*,資源,38
454,0,問題,名詞,ナイ形容詞語幹,*,*,問題,37
456,0,説明,名詞,サ変接続,*,*,説明,36
457,0,できる,動詞,自立,*,*,できる,31
462,0,緊急時,名詞,固有名詞,一般,*,緊急時,41
464,0,対応,名詞,サ変接続,*,*,対応,36
465,0,方法,名詞,一般,*,*,方法,38
467,0,火災,名詞,一般,*,*,火災,38
470,0,対応,名詞,サ変接続,*,*,対応,36
471,0,方法,名詞,一般,*,*,方法,38
474,0,心構え,名詞,一般,*,*,心構え,38
476,0,身,名詞,一般,*,*,身,38
478,0,つける,動詞,自立,*,*,つける,31
481,0,できる,動詞,自立,*,*,できる,31
486,0,消火器,名詞,一般,*,*,消火器,38
488,0,使用,名詞,サ変接続,*,*,使用,36
489,0,法,名詞,接尾,一般,*,法,51
491,0,習得,名詞,サ変接続,*,*,習得,36
495,0,講義,名詞,サ変接続,*,*,講義,36
497,0,履修,名詞,サ変接続,*,*,履修,36
501,0,次,名詞,一般,*,*,次,38
503,0,能力,名詞,一般,*,*,能力,38
505,0,習得,名詞,サ変接続,*,*,習得,36
511,0,安全,名詞,形容動詞語幹,*,*,安全,40
513,0,概念,名詞,一般,*,*,概念,38
515,0,理解,名詞,サ変接続,*,*,理解,36
518,0,安全,名詞,形容動詞語幹,*,*,安全,40
520,0,化学実験,名詞,固有名詞,一般,*,化学実験,41
522,0,行う,動詞,自立,*,*,行う,31
523,0,ため,名詞,非自立,副詞可能,*,ため,66
525,0,心構え,名詞,一般,*,*,心構え,38
527,0,身,名詞,一般,*,*,身,38
529,0,つける,動詞,自立,*,*,つける,31
532,0,できる,動詞,自立,*,*,できる,31
537,0,化学物質,名詞,固有名詞,一般,*,化学物質,41
539,0,有する,動詞,自立,*,*,有する,31
540,0,リスク,名詞,一般,*,*,リスク,38
542,0,アセスメント,名詞,一般,*,*,アセスメント,38
544,0,意義,名詞,一般,*,*,意義,38
546,0,説明,名詞,サ変接続,*,*,説明,36
547,0,できる,動詞,自立,*,*,できる,31
552,0,化学物質,名詞,固有名詞,一般,*,化学物質,41
554,0,管理,名詞,サ変接続,*,*,管理,36
556,0,問題,名詞,ナイ形容詞語幹,*,*,問題,37
558,0,関連,名詞,サ変接続,*,*,関連,36
559,0,法規,名詞,一般,*,*,法規,38
561,0,説明,名詞,サ変接続,*,*,説明,36
562,0,できる,動詞,自立,*,*,できる,31
567,0,化学物質,名詞,固有名詞,一般,*,化学物質,41
569,0,地球環境問題,名詞,固有名詞,一般,*,地球環境問題,41
