,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,物質,名詞,一般,*,*,物質,38
1,0,科学,名詞,一般,*,*,科学,38
2,0,結合,名詞,サ変接続,*,*,結合,36
3,0,論,名詞,接尾,一般,*,論,51
4,0,物性,名詞,一般,*,*,物性,38
5,0,論,名詞,接尾,一般,*,論,51
6,0,固体,名詞,一般,*,*,固体,38
7,0,化学,名詞,一般,*,*,化学,38
8,0,酸,名詞,一般,*,*,酸,38
9,0,塩基,名詞,一般,*,*,塩基,38
10,0,電気化学,名詞,固有名詞,一般,*,電気化学,41
11,0,物質,名詞,一般,*,*,物質,38
12,0,科学,名詞,一般,*,*,科学,38
13,0,結合,名詞,サ変接続,*,*,結合,36
14,0,論,名詞,接尾,一般,*,論,51
15,0,物性,名詞,一般,*,*,物性,38
16,0,論,名詞,接尾,一般,*,論,51
17,0,固体,名詞,一般,*,*,固体,38
18,0,化学,名詞,一般,*,*,化学,38
19,0,酸,名詞,一般,*,*,酸,38
20,0,塩基,名詞,一般,*,*,塩基,38
21,0,物質,名詞,一般,*,*,物質,38
22,0,科学,名詞,一般,*,*,科学,38
23,0,結合,名詞,サ変接続,*,*,結合,36
24,0,論,名詞,接尾,一般,*,論,51
25,0,物性,名詞,一般,*,*,物性,38
26,0,論,名詞,接尾,一般,*,論,51
27,0,固体,名詞,一般,*,*,固体,38
28,0,化学,名詞,一般,*,*,化学,38
29,0,酸,名詞,一般,*,*,酸,38
30,0,塩基,名詞,一般,*,*,塩基,38
31,0,物質,名詞,一般,*,*,物質,38
32,0,科学,名詞,一般,*,*,科学,38
33,0,結合,名詞,サ変接続,*,*,結合,36
34,0,論,名詞,接尾,一般,*,論,51
35,0,物性,名詞,一般,*,*,物性,38
36,0,論,名詞,接尾,一般,*,論,51
37,0,固体,名詞,一般,*,*,固体,38
38,0,化学,名詞,一般,*,*,化学,38
39,0,酸,名詞,一般,*,*,酸,38
40,0,塩基,名詞,一般,*,*,塩基,38
41,0,物質,名詞,一般,*,*,物質,38
42,0,科学,名詞,一般,*,*,科学,38
43,0,結合,名詞,サ変接続,*,*,結合,36
44,0,論,名詞,接尾,一般,*,論,51
45,0,物性,名詞,一般,*,*,物性,38
46,0,論,名詞,接尾,一般,*,論,51
47,0,固体,名詞,一般,*,*,固体,38
48,0,化学,名詞,一般,*,*,化学,38
49,0,酸,名詞,一般,*,*,酸,38
50,0,塩基,名詞,一般,*,*,塩基,38
