,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,衝突,名詞,サ変接続,*,*,衝突,36
2,0,反応,名詞,サ変接続,*,*,反応,36
4,0,断面,名詞,一般,*,*,断面,38
5,0,積,名詞,一般,*,*,積,38
7,0,立場,名詞,一般,*,*,立場,38
9,0,化学反応,名詞,固有名詞,一般,*,化学反応,41
11,0,議論,名詞,サ変接続,*,*,議論,36
13,0,処方箋,名詞,一般,*,*,処方箋,38
15,0,身,名詞,一般,*,*,身,38
17,0,つける,動詞,自立,*,*,つける,31
19,0,具体,名詞,一般,*,*,具体,38
20,0,的,名詞,接尾,形容動詞語幹,*,的,52
22,0,テーマ,名詞,一般,*,*,テーマ,38
25,0,以下,名詞,非自立,副詞可能,*,以下,66
27,0,通り,名詞,一般,*,*,通り,38
29,0,弾性,名詞,一般,*,*,弾性,38
30,0,衝突,名詞,サ変接続,*,*,衝突,36
33,0,弾性,名詞,一般,*,*,弾性,38
34,0,衝突,名詞,サ変接続,*,*,衝突,36
37,0,衝突,名詞,サ変接続,*,*,衝突,36
38,0,断面,名詞,一般,*,*,断面,38
39,0,積,名詞,一般,*,*,積,38
41,0,部分,名詞,一般,*,*,部分,38
42,0,衝突,名詞,サ変接続,*,*,衝突,36
43,0,断面,名詞,一般,*,*,断面,38
44,0,積,名詞,一般,*,*,積,38
46,0,反応速度,名詞,固有名詞,一般,*,反応速度,41
47,0,定数,名詞,一般,*,*,定数,38
49,0,反応断面積,名詞,固有名詞,一般,*,反応断面積,41
51,0,関係,名詞,サ変接続,*,*,関係,36
53,0,微分,名詞,サ変接続,*,*,微分,36
54,0,衝突,名詞,サ変接続,*,*,衝突,36
55,0,断面,名詞,一般,*,*,断面,38
56,0,積,名詞,一般,*,*,積,38
58,0,古典力学,名詞,固有名詞,一般,*,古典力学,41
60,0,衝突,名詞,サ変接続,*,*,衝突,36
62,0,反応,名詞,サ変接続,*,*,反応,36
65,0,量子力学,名詞,一般,*,*,量子力学,38
67,0,衝突,名詞,サ変接続,*,*,衝突,36
69,0,反応,名詞,サ変接続,*,*,反応,36
71,0,衝突,名詞,サ変接続,*,*,衝突,36
73,0,反応,名詞,サ変接続,*,*,反応,36
75,0,断面,名詞,一般,*,*,断面,38
76,0,積,名詞,一般,*,*,積,38
78,0,立場,名詞,一般,*,*,立場,38
80,0,化学反応,名詞,固有名詞,一般,*,化学反応,41
82,0,議論,名詞,サ変接続,*,*,議論,36
84,0,処方箋,名詞,一般,*,*,処方箋,38
86,0,身,名詞,一般,*,*,身,38
88,0,つける,動詞,自立,*,*,つける,31
90,0,具体,名詞,一般,*,*,具体,38
91,0,的,名詞,接尾,形容動詞語幹,*,的,52
93,0,テーマ,名詞,一般,*,*,テーマ,38
96,0,以下,名詞,非自立,副詞可能,*,以下,66
98,0,通り,名詞,一般,*,*,通り,38
100,0,弾性,名詞,一般,*,*,弾性,38
101,0,衝突,名詞,サ変接続,*,*,衝突,36
104,0,弾性,名詞,一般,*,*,弾性,38
105,0,衝突,名詞,サ変接続,*,*,衝突,36
108,0,衝突,名詞,サ変接続,*,*,衝突,36
109,0,断面,名詞,一般,*,*,断面,38
110,0,積,名詞,一般,*,*,積,38
112,0,部分,名詞,一般,*,*,部分,38
113,0,衝突,名詞,サ変接続,*,*,衝突,36
114,0,断面,名詞,一般,*,*,断面,38
115,0,積,名詞,一般,*,*,積,38
117,0,反応速度,名詞,固有名詞,一般,*,反応速度,41
118,0,定数,名詞,一般,*,*,定数,38
120,0,反応断面積,名詞,固有名詞,一般,*,反応断面積,41
122,0,関係,名詞,サ変接続,*,*,関係,36
124,0,微分,名詞,サ変接続,*,*,微分,36
125,0,衝突,名詞,サ変接続,*,*,衝突,36
126,0,断面,名詞,一般,*,*,断面,38
127,0,積,名詞,一般,*,*,積,38
129,0,古典力学,名詞,固有名詞,一般,*,古典力学,41
131,0,衝突,名詞,サ変接続,*,*,衝突,36
133,0,反応,名詞,サ変接続,*,*,反応,36
136,0,量子力学,名詞,一般,*,*,量子力学,38
138,0,衝突,名詞,サ変接続,*,*,衝突,36
140,0,反応,名詞,サ変接続,*,*,反応,36
142,0,衝突,名詞,サ変接続,*,*,衝突,36
144,0,反応,名詞,サ変接続,*,*,反応,36
146,0,断面,名詞,一般,*,*,断面,38
147,0,積,名詞,一般,*,*,積,38
149,0,立場,名詞,一般,*,*,立場,38
151,0,化学反応,名詞,固有名詞,一般,*,化学反応,41
153,0,議論,名詞,サ変接続,*,*,議論,36
155,0,処方箋,名詞,一般,*,*,処方箋,38
157,0,身,名詞,一般,*,*,身,38
159,0,つける,動詞,自立,*,*,つける,31
161,0,具体,名詞,一般,*,*,具体,38
162,0,的,名詞,接尾,形容動詞語幹,*,的,52
164,0,テーマ,名詞,一般,*,*,テーマ,38
167,0,以下,名詞,非自立,副詞可能,*,以下,66
169,0,通り,名詞,一般,*,*,通り,38
