,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
1,0,講義,名詞,サ変接続,*,*,講義,36
3,0,履修,名詞,サ変接続,*,*,履修,36
7,0,次,名詞,一般,*,*,次,38
9,0,能力,名詞,一般,*,*,能力,38
11,0,修得,名詞,サ変接続,*,*,修得,36
17,0,計画,名詞,サ変接続,*,*,計画,36
19,0,ある,動詞,自立,*,*,ある,31
20,0,有機,名詞,一般,*,*,有機,38
21,0,化合,名詞,サ変接続,*,*,化合,36
22,0,物,名詞,接尾,一般,*,物,51
24,0,構造式,名詞,固有名詞,一般,*,構造式,41
26,0,反応,名詞,サ変接続,*,*,反応,36
27,0,性,名詞,接尾,一般,*,性,51
29,0,合成,名詞,サ変接続,*,*,合成,36
30,0,法,名詞,接尾,一般,*,法,51
33,0,説明,名詞,サ変接続,*,*,説明,36
34,0,できる,動詞,自立,*,*,できる,31
38,0,基礎,名詞,一般,*,*,基礎,38
39,0,的,名詞,接尾,形容動詞語幹,*,的,52
41,0,有機,名詞,一般,*,*,有機,38
42,0,実験,名詞,サ変接続,*,*,実験,36
43,0,方法,名詞,一般,*,*,方法,38
45,0,実験,名詞,サ変接続,*,*,実験,36
46,0,レポート,名詞,サ変接続,*,*,レポート,36
48,0,内容,名詞,一般,*,*,内容,38
50,0,説明,名詞,サ変接続,*,*,説明,36
51,0,できる,動詞,自立,*,*,できる,31
54,0,講義,名詞,サ変接続,*,*,講義,36
56,0,履修,名詞,サ変接続,*,*,履修,36
60,0,次,名詞,一般,*,*,次,38
62,0,能力,名詞,一般,*,*,能力,38
64,0,修得,名詞,サ変接続,*,*,修得,36
70,0,計画,名詞,サ変接続,*,*,計画,36
72,0,ある,動詞,自立,*,*,ある,31
73,0,有機,名詞,一般,*,*,有機,38
74,0,化合,名詞,サ変接続,*,*,化合,36
75,0,物,名詞,接尾,一般,*,物,51
77,0,構造式,名詞,固有名詞,一般,*,構造式,41
79,0,反応,名詞,サ変接続,*,*,反応,36
80,0,性,名詞,接尾,一般,*,性,51
82,0,合成,名詞,サ変接続,*,*,合成,36
83,0,法,名詞,接尾,一般,*,法,51
86,0,説明,名詞,サ変接続,*,*,説明,36
87,0,できる,動詞,自立,*,*,できる,31
91,0,基礎,名詞,一般,*,*,基礎,38
92,0,的,名詞,接尾,形容動詞語幹,*,的,52
94,0,有機,名詞,一般,*,*,有機,38
95,0,実験,名詞,サ変接続,*,*,実験,36
96,0,方法,名詞,一般,*,*,方法,38
98,0,実験,名詞,サ変接続,*,*,実験,36
99,0,レポート,名詞,サ変接続,*,*,レポート,36
101,0,内容,名詞,一般,*,*,内容,38
103,0,説明,名詞,サ変接続,*,*,説明,36
104,0,できる,動詞,自立,*,*,できる,31
107,0,講義,名詞,サ変接続,*,*,講義,36
109,0,履修,名詞,サ変接続,*,*,履修,36
113,0,次,名詞,一般,*,*,次,38
115,0,能力,名詞,一般,*,*,能力,38
117,0,修得,名詞,サ変接続,*,*,修得,36
123,0,計画,名詞,サ変接続,*,*,計画,36
125,0,ある,動詞,自立,*,*,ある,31
126,0,有機,名詞,一般,*,*,有機,38
127,0,化合,名詞,サ変接続,*,*,化合,36
128,0,物,名詞,接尾,一般,*,物,51
130,0,構造式,名詞,固有名詞,一般,*,構造式,41
132,0,反応,名詞,サ変接続,*,*,反応,36
133,0,性,名詞,接尾,一般,*,性,51
135,0,合成,名詞,サ変接続,*,*,合成,36
136,0,法,名詞,接尾,一般,*,法,51
139,0,説明,名詞,サ変接続,*,*,説明,36
140,0,できる,動詞,自立,*,*,できる,31
144,0,基礎,名詞,一般,*,*,基礎,38
145,0,的,名詞,接尾,形容動詞語幹,*,的,52
147,0,有機,名詞,一般,*,*,有機,38
148,0,実験,名詞,サ変接続,*,*,実験,36
149,0,方法,名詞,一般,*,*,方法,38
151,0,実験,名詞,サ変接続,*,*,実験,36
152,0,レポート,名詞,サ変接続,*,*,レポート,36
154,0,内容,名詞,一般,*,*,内容,38
156,0,説明,名詞,サ変接続,*,*,説明,36
157,0,できる,動詞,自立,*,*,できる,31
160,0,講義,名詞,サ変接続,*,*,講義,36
162,0,履修,名詞,サ変接続,*,*,履修,36
166,0,次,名詞,一般,*,*,次,38
168,0,能力,名詞,一般,*,*,能力,38
170,0,修得,名詞,サ変接続,*,*,修得,36
176,0,計画,名詞,サ変接続,*,*,計画,36
178,0,ある,動詞,自立,*,*,ある,31
179,0,有機,名詞,一般,*,*,有機,38
180,0,化合,名詞,サ変接続,*,*,化合,36
181,0,物,名詞,接尾,一般,*,物,51
183,0,構造式,名詞,固有名詞,一般,*,構造式,41
185,0,反応,名詞,サ変接続,*,*,反応,36
186,0,性,名詞,接尾,一般,*,性,51
188,0,合成,名詞,サ変接続,*,*,合成,36
189,0,法,名詞,接尾,一般,*,法,51
192,0,説明,名詞,サ変接続,*,*,説明,36
193,0,できる,動詞,自立,*,*,できる,31
197,0,基礎,名詞,一般,*,*,基礎,38
198,0,的,名詞,接尾,形容動詞語幹,*,的,52
200,0,有機,名詞,一般,*,*,有機,38
201,0,実験,名詞,サ変接続,*,*,実験,36
202,0,方法,名詞,一般,*,*,方法,38
204,0,実験,名詞,サ変接続,*,*,実験,36
205,0,レポート,名詞,サ変接続,*,*,レポート,36
207,0,内容,名詞,一般,*,*,内容,38
209,0,説明,名詞,サ変接続,*,*,説明,36
210,0,できる,動詞,自立,*,*,できる,31
213,0,講義,名詞,サ変接続,*,*,講義,36
215,0,履修,名詞,サ変接続,*,*,履修,36
219,0,次,名詞,一般,*,*,次,38
221,0,能力,名詞,一般,*,*,能力,38
223,0,修得,名詞,サ変接続,*,*,修得,36
229,0,計画,名詞,サ変接続,*,*,計画,36
231,0,ある,動詞,自立,*,*,ある,31
232,0,有機,名詞,一般,*,*,有機,38
233,0,化合,名詞,サ変接続,*,*,化合,36
234,0,物,名詞,接尾,一般,*,物,51
236,0,構造式,名詞,固有名詞,一般,*,構造式,41
238,0,反応,名詞,サ変接続,*,*,反応,36
239,0,性,名詞,接尾,一般,*,性,51
241,0,合成,名詞,サ変接続,*,*,合成,36
242,0,法,名詞,接尾,一般,*,法,51
245,0,説明,名詞,サ変接続,*,*,説明,36
246,0,できる,動詞,自立,*,*,できる,31
250,0,基礎,名詞,一般,*,*,基礎,38
251,0,的,名詞,接尾,形容動詞語幹,*,的,52
253,0,有機,名詞,一般,*,*,有機,38
254,0,実験,名詞,サ変接続,*,*,実験,36
255,0,方法,名詞,一般,*,*,方法,38
257,0,実験,名詞,サ変接続,*,*,実験,36
258,0,レポート,名詞,サ変接続,*,*,レポート,36
260,0,内容,名詞,一般,*,*,内容,38
262,0,説明,名詞,サ変接続,*,*,説明,36
263,0,できる,動詞,自立,*,*,できる,31
