,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,ベンゼン,名詞,一般,*,*,ベンゼン,38
2,0,芳香,名詞,一般,*,*,芳香,38
3,0,族,名詞,接尾,一般,*,族,51
4,0,性,名詞,接尾,一般,*,性,51
5,0,講義,名詞,サ変接続,*,*,講義,36
6,0,内容,名詞,一般,*,*,内容,38
8,0,演習,名詞,サ変接続,*,*,演習,36
10,0,宿題,名詞,サ変接続,*,*,宿題,36
11,0,芳香族求電子置換反応,名詞,固有名詞,一般,*,芳香族求電子置換反応,41
12,0,アルデヒド,名詞,固有名詞,人名,一般,アルデヒド,42
16,0,エノラート,名詞,固有名詞,一般,*,エノラート,41
17,0,カルボン酸,名詞,固有名詞,一般,*,カルボン酸,41
19,0,カルボン酸,名詞,固有名詞,一般,*,カルボン酸,41
20,0,誘導体,名詞,一般,*,*,誘導体,38
21,0,活性メチレン化合物,名詞,固有名詞,一般,*,活性メチレン化合物,41
22,0,総合,名詞,サ変接続,*,*,総合,36
23,0,演習,名詞,サ変接続,*,*,演習,36
25,0,解説,名詞,サ変接続,*,*,解説,36
26,0,総合,名詞,サ変接続,*,*,総合,36
27,0,演習,名詞,サ変接続,*,*,演習,36
29,0,復習,名詞,サ変接続,*,*,復習,36
30,0,ベンゼン,名詞,一般,*,*,ベンゼン,38
32,0,芳香,名詞,一般,*,*,芳香,38
33,0,族,名詞,接尾,一般,*,族,51
34,0,性,名詞,接尾,一般,*,性,51
35,0,講義,名詞,サ変接続,*,*,講義,36
36,0,内容,名詞,一般,*,*,内容,38
38,0,演習,名詞,サ変接続,*,*,演習,36
40,0,宿題,名詞,サ変接続,*,*,宿題,36
41,0,芳香族求電子置換反応,名詞,固有名詞,一般,*,芳香族求電子置換反応,41
42,0,アルデヒド,名詞,固有名詞,人名,一般,アルデヒド,42
46,0,エノラート,名詞,固有名詞,一般,*,エノラート,41
47,0,カルボン酸,名詞,固有名詞,一般,*,カルボン酸,41
49,0,カルボン酸,名詞,固有名詞,一般,*,カルボン酸,41
50,0,誘導体,名詞,一般,*,*,誘導体,38
51,0,活性メチレン化合物,名詞,固有名詞,一般,*,活性メチレン化合物,41
52,0,アミン,名詞,固有名詞,一般,*,amin,41
53,0,総合,名詞,サ変接続,*,*,総合,36
54,0,演習,名詞,サ変接続,*,*,演習,36
56,0,解説,名詞,サ変接続,*,*,解説,36
57,0,総合,名詞,サ変接続,*,*,総合,36
58,0,演習,名詞,サ変接続,*,*,演習,36
60,0,復習,名詞,サ変接続,*,*,復習,36
61,0,ベンゼン,名詞,一般,*,*,ベンゼン,38
63,0,芳香,名詞,一般,*,*,芳香,38
64,0,族,名詞,接尾,一般,*,族,51
65,0,性,名詞,接尾,一般,*,性,51
66,0,講義,名詞,サ変接続,*,*,講義,36
67,0,内容,名詞,一般,*,*,内容,38
69,0,演習,名詞,サ変接続,*,*,演習,36
71,0,宿題,名詞,サ変接続,*,*,宿題,36
72,0,芳香族求電子置換反応,名詞,固有名詞,一般,*,芳香族求電子置換反応,41
73,0,アルデヒド,名詞,固有名詞,人名,一般,アルデヒド,42
77,0,エノラート,名詞,固有名詞,一般,*,エノラート,41
78,0,カルボン酸,名詞,固有名詞,一般,*,カルボン酸,41
80,0,カルボン酸,名詞,固有名詞,一般,*,カルボン酸,41
81,0,誘導体,名詞,一般,*,*,誘導体,38
82,0,活性メチレン化合物,名詞,固有名詞,一般,*,活性メチレン化合物,41
83,0,アミン,名詞,固有名詞,一般,*,amin,41
84,0,総合,名詞,サ変接続,*,*,総合,36
85,0,演習,名詞,サ変接続,*,*,演習,36
87,0,解説,名詞,サ変接続,*,*,解説,36
88,0,総合,名詞,サ変接続,*,*,総合,36
89,0,演習,名詞,サ変接続,*,*,演習,36
91,0,復習,名詞,サ変接続,*,*,復習,36
92,0,ベンゼン,名詞,一般,*,*,ベンゼン,38
94,0,芳香,名詞,一般,*,*,芳香,38
95,0,族,名詞,接尾,一般,*,族,51
96,0,性,名詞,接尾,一般,*,性,51
97,0,講義,名詞,サ変接続,*,*,講義,36
98,0,内容,名詞,一般,*,*,内容,38
100,0,演習,名詞,サ変接続,*,*,演習,36
102,0,宿題,名詞,サ変接続,*,*,宿題,36
103,0,芳香族求電子置換反応,名詞,固有名詞,一般,*,芳香族求電子置換反応,41
104,0,アルデヒド,名詞,固有名詞,人名,一般,アルデヒド,42
108,0,エノラート,名詞,固有名詞,一般,*,エノラート,41
109,0,カルボン酸,名詞,固有名詞,一般,*,カルボン酸,41
111,0,カルボン酸,名詞,固有名詞,一般,*,カルボン酸,41
112,0,誘導体,名詞,一般,*,*,誘導体,38
113,0,活性メチレン化合物,名詞,固有名詞,一般,*,活性メチレン化合物,41
114,0,アミン,名詞,固有名詞,一般,*,amin,41
115,0,総合,名詞,サ変接続,*,*,総合,36
116,0,演習,名詞,サ変接続,*,*,演習,36
118,0,解説,名詞,サ変接続,*,*,解説,36
119,0,総合,名詞,サ変接続,*,*,総合,36
120,0,演習,名詞,サ変接続,*,*,演習,36
122,0,復習,名詞,サ変接続,*,*,復習,36
123,0,ベンゼン,名詞,一般,*,*,ベンゼン,38
125,0,芳香,名詞,一般,*,*,芳香,38
126,0,族,名詞,接尾,一般,*,族,51
127,0,性,名詞,接尾,一般,*,性,51
128,0,講義,名詞,サ変接続,*,*,講義,36
129,0,内容,名詞,一般,*,*,内容,38
131,0,演習,名詞,サ変接続,*,*,演習,36
133,0,宿題,名詞,サ変接続,*,*,宿題,36
134,0,芳香族求電子置換反応,名詞,固有名詞,一般,*,芳香族求電子置換反応,41
135,0,アルデヒド,名詞,固有名詞,人名,一般,アルデヒド,42
139,0,エノラート,名詞,固有名詞,一般,*,エノラート,41
140,0,カルボン酸,名詞,固有名詞,一般,*,カルボン酸,41
142,0,カルボン酸,名詞,固有名詞,一般,*,カルボン酸,41
143,0,誘導体,名詞,一般,*,*,誘導体,38
144,0,活性メチレン化合物,名詞,固有名詞,一般,*,活性メチレン化合物,41
145,0,アミン,名詞,固有名詞,一般,*,amin,41
146,0,総合,名詞,サ変接続,*,*,総合,36
147,0,演習,名詞,サ変接続,*,*,演習,36
149,0,解説,名詞,サ変接続,*,*,解説,36
150,0,総合,名詞,サ変接続,*,*,総合,36
151,0,演習,名詞,サ変接続,*,*,演習,36
153,0,復習,名詞,サ変接続,*,*,復習,36
