,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,ポインタ,名詞,一般,*,*,ポインタ,38
1,0,変数,名詞,一般,*,*,変数,38
3,0,構造体,名詞,固有名詞,一般,*,構造体,41
5,0,メモリ,名詞,一般,*,*,メモリ,38
6,0,動的,名詞,形容動詞語幹,*,*,動的,40
7,0,割当て,名詞,一般,*,*,割当て,38
9,0,用い,動詞,自立,*,*,用いる,31
11,0,C言語,名詞,固有名詞,一般,*,C言語,41
13,0,プログラム,名詞,サ変接続,*,*,プログラム,36
15,0,作成,名詞,サ変接続,*,*,作成,36
19,0,でき,動詞,自立,*,*,できる,31
22,0,与え,動詞,自立,*,*,与える,31
25,0,問題,名詞,ナイ形容詞語幹,*,*,問題,37
27,0,解決,名詞,サ変接続,*,*,解決,36
29,0,最適,名詞,形容動詞語幹,*,*,最適,40
31,0,アルゴリズム,名詞,一般,*,*,アルゴリズム,38
33,0,データ構造,名詞,固有名詞,一般,*,データ構造,41
35,0,スタック,名詞,一般,*,*,スタック,38
37,0,キュー,名詞,一般,*,*,キュー,38
39,0,リスト,名詞,固有名詞,人名,姓,リスト,43
41,0,木構造,名詞,固有名詞,一般,*,木構造,41
44,0,利用,名詞,サ変接続,*,*,利用,36
48,0,でき,動詞,自立,*,*,できる,31
51,0,実践,名詞,サ変接続,*,*,実践,36
52,0,的,名詞,接尾,形容動詞語幹,*,的,52
54,0,情報処理,名詞,一般,*,*,情報処理,38
56,0,必要,名詞,形容動詞語幹,*,*,必要,40
60,0,プログラミング,名詞,サ変接続,*,*,プログラミング,36
62,0,大規模,名詞,一般,*,*,大規模,38
63,0,プログラム,名詞,サ変接続,*,*,プログラム,36
65,0,デバッグ,名詞,サ変接続,*,*,デバッグ,36
67,0,技法,名詞,一般,*,*,技法,38
69,0,使う,動詞,自立,*,*,使う,31
72,0,でき,動詞,自立,*,*,できる,31
75,0,ポインタ,名詞,一般,*,*,ポインタ,38
76,0,変数,名詞,一般,*,*,変数,38
78,0,構造体,名詞,固有名詞,一般,*,構造体,41
80,0,メモリ,名詞,一般,*,*,メモリ,38
81,0,動的,名詞,形容動詞語幹,*,*,動的,40
82,0,割当て,名詞,一般,*,*,割当て,38
84,0,用い,動詞,自立,*,*,用いる,31
86,0,C言語,名詞,固有名詞,一般,*,C言語,41
88,0,プログラム,名詞,サ変接続,*,*,プログラム,36
90,0,作成,名詞,サ変接続,*,*,作成,36
94,0,できる,動詞,自立,*,*,できる,31
96,0,与え,動詞,自立,*,*,与える,31
99,0,問題,名詞,ナイ形容詞語幹,*,*,問題,37
101,0,解決,名詞,サ変接続,*,*,解決,36
103,0,最適,名詞,形容動詞語幹,*,*,最適,40
105,0,アルゴリズム,名詞,一般,*,*,アルゴリズム,38
107,0,データ構造,名詞,固有名詞,一般,*,データ構造,41
109,0,スタック,名詞,一般,*,*,スタック,38
111,0,キュー,名詞,一般,*,*,キュー,38
113,0,リスト,名詞,固有名詞,人名,姓,リスト,43
115,0,木構造,名詞,固有名詞,一般,*,木構造,41
118,0,利用,名詞,サ変接続,*,*,利用,36
122,0,できる,動詞,自立,*,*,できる,31
124,0,実践,名詞,サ変接続,*,*,実践,36
125,0,的,名詞,接尾,形容動詞語幹,*,的,52
127,0,情報処理,名詞,一般,*,*,情報処理,38
129,0,必要,名詞,形容動詞語幹,*,*,必要,40
133,0,プログラミング,名詞,サ変接続,*,*,プログラミング,36
135,0,大規模,名詞,一般,*,*,大規模,38
136,0,プログラム,名詞,サ変接続,*,*,プログラム,36
138,0,デバッグ,名詞,サ変接続,*,*,デバッグ,36
140,0,技法,名詞,一般,*,*,技法,38
142,0,使う,動詞,自立,*,*,使う,31
145,0,できる,動詞,自立,*,*,できる,31
147,0,ポインタ,名詞,一般,*,*,ポインタ,38
148,0,変数,名詞,一般,*,*,変数,38
150,0,構造体,名詞,固有名詞,一般,*,構造体,41
152,0,メモリ,名詞,一般,*,*,メモリ,38
153,0,動的,名詞,形容動詞語幹,*,*,動的,40
154,0,割当て,名詞,一般,*,*,割当て,38
156,0,用い,動詞,自立,*,*,用いる,31
158,0,C言語,名詞,固有名詞,一般,*,C言語,41
160,0,プログラム,名詞,サ変接続,*,*,プログラム,36
162,0,作成,名詞,サ変接続,*,*,作成,36
166,0,でき,動詞,自立,*,*,できる,31
169,0,与え,動詞,自立,*,*,与える,31
172,0,問題,名詞,ナイ形容詞語幹,*,*,問題,37
174,0,解決,名詞,サ変接続,*,*,解決,36
176,0,最適,名詞,形容動詞語幹,*,*,最適,40
178,0,アルゴリズム,名詞,一般,*,*,アルゴリズム,38
180,0,データ構造,名詞,固有名詞,一般,*,データ構造,41
182,0,スタック,名詞,一般,*,*,スタック,38
184,0,キュー,名詞,一般,*,*,キュー,38
186,0,リスト,名詞,固有名詞,人名,姓,リスト,43
188,0,木構造,名詞,固有名詞,一般,*,木構造,41
191,0,利用,名詞,サ変接続,*,*,利用,36
195,0,でき,動詞,自立,*,*,できる,31
198,0,実践,名詞,サ変接続,*,*,実践,36
199,0,的,名詞,接尾,形容動詞語幹,*,的,52
201,0,情報処理,名詞,一般,*,*,情報処理,38
203,0,必要,名詞,形容動詞語幹,*,*,必要,40
207,0,プログラミング,名詞,サ変接続,*,*,プログラミング,36
209,0,大規模,名詞,一般,*,*,大規模,38
210,0,プログラム,名詞,サ変接続,*,*,プログラム,36
212,0,デバッグ,名詞,サ変接続,*,*,デバッグ,36
214,0,技法,名詞,一般,*,*,技法,38
216,0,使う,動詞,自立,*,*,使う,31
219,0,でき,動詞,自立,*,*,できる,31
222,0,ポインタ,名詞,一般,*,*,ポインタ,38
223,0,変数,名詞,一般,*,*,変数,38
225,0,構造体,名詞,固有名詞,一般,*,構造体,41
227,0,メモリ,名詞,一般,*,*,メモリ,38
228,0,動的,名詞,形容動詞語幹,*,*,動的,40
229,0,割当て,名詞,一般,*,*,割当て,38
231,0,用い,動詞,自立,*,*,用いる,31
233,0,C言語,名詞,固有名詞,一般,*,C言語,41
235,0,プログラム,名詞,サ変接続,*,*,プログラム,36
237,0,作成,名詞,サ変接続,*,*,作成,36
241,0,でき,動詞,自立,*,*,できる,31
244,0,与え,動詞,自立,*,*,与える,31
247,0,問題,名詞,ナイ形容詞語幹,*,*,問題,37
249,0,解決,名詞,サ変接続,*,*,解決,36
251,0,最適,名詞,形容動詞語幹,*,*,最適,40
253,0,アルゴリズム,名詞,一般,*,*,アルゴリズム,38
