,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,数理,名詞,一般,*,*,数理,38
1,0,計画法,名詞,固有名詞,一般,*,計画法,41
2,0,オペレーティングシステム,名詞,一般,*,*,オペレーティングシステム,38
3,0,無線,名詞,一般,*,*,無線,38
4,0,通信システム,名詞,固有名詞,一般,*,通信システム,41
5,0,数理,名詞,一般,*,*,数理,38
6,0,計画法,名詞,固有名詞,一般,*,計画法,41
7,0,オペレーティングシステム,名詞,一般,*,*,オペレーティングシステム,38
8,0,無線,名詞,一般,*,*,無線,38
9,0,通信システム,名詞,固有名詞,一般,*,通信システム,41
10,0,数理,名詞,一般,*,*,数理,38
11,0,計画法,名詞,固有名詞,一般,*,計画法,41
12,0,オペレーティングシステム,名詞,一般,*,*,オペレーティングシステム,38
13,0,無線,名詞,一般,*,*,無線,38
14,0,通信システム,名詞,固有名詞,一般,*,通信システム,41
15,0,数理,名詞,一般,*,*,数理,38
16,0,計画法,名詞,固有名詞,一般,*,計画法,41
17,0,オペレーティングシステム,名詞,一般,*,*,オペレーティングシステム,38
18,0,無線,名詞,一般,*,*,無線,38
19,0,通信システム,名詞,固有名詞,一般,*,通信システム,41
