,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
1,0,講義,名詞,サ変接続,*,*,講義,36
3,0,履修,名詞,サ変接続,*,*,履修,36
7,0,次,名詞,一般,*,*,次,38
9,0,能力,名詞,一般,*,*,能力,38
11,0,修得,名詞,サ変接続,*,*,修得,36
16,0,層流,名詞,固有名詞,一般,*,層流,41
18,0,乱流,名詞,固有名詞,一般,*,乱流,41
20,0,摩擦,名詞,サ変接続,*,*,摩擦,36
22,0,抵抗,名詞,サ変接続,*,*,抵抗,36
24,0,エネルギー,名詞,一般,*,*,エネルギー,38
25,0,損失,名詞,サ変接続,*,*,損失,36
28,0,原理,名詞,一般,*,*,原理,38
30,0,解法,名詞,一般,*,*,解法,38
32,0,説明,名詞,サ変接続,*,*,説明,36
33,0,できる,動詞,自立,*,*,できる,31
37,0,管,名詞,一般,*,*,管,38
38,0,路,名詞,接尾,一般,*,路,51
40,0,開水路,名詞,固有名詞,一般,*,開水路,41
42,0,水,名詞,一般,*,*,水,38
43,0,理,名詞,一般,*,*,理,38
44,0,現象,名詞,一般,*,*,現象,38
47,0,水理学,名詞,固有名詞,一般,*,水理学,41
48,0,第一,名詞,固有名詞,一般,*,第一,41
50,0,習得,名詞,サ変接続,*,*,習得,36
53,0,流体,名詞,一般,*,*,流体,38
54,0,運動,名詞,サ変接続,*,*,運動,36
56,0,概念,名詞,一般,*,*,概念,38
58,0,原理,名詞,一般,*,*,原理,38
60,0,応用,名詞,サ変接続,*,*,応用,36
61,0,できる,動詞,自立,*,*,できる,31
65,0,管,名詞,一般,*,*,管,38
66,0,路,名詞,接尾,一般,*,路,51
68,0,開水路,名詞,固有名詞,一般,*,開水路,41
70,0,流体,名詞,一般,*,*,流体,38
71,0,運動,名詞,サ変接続,*,*,運動,36
74,0,次元,名詞,一般,*,*,次元,38
75,0,的,名詞,接尾,形容動詞語幹,*,的,52
76,0,表現,名詞,サ変接続,*,*,表現,36
79,0,物理的,名詞,固有名詞,一般,*,物理的,41
80,0,意味,名詞,サ変接続,*,*,意味,36
82,0,解法,名詞,一般,*,*,解法,38
84,0,説明,名詞,サ変接続,*,*,説明,36
85,0,できる,動詞,自立,*,*,できる,31
88,0,講義,名詞,サ変接続,*,*,講義,36
90,0,履修,名詞,サ変接続,*,*,履修,36
94,0,次,名詞,一般,*,*,次,38
96,0,能力,名詞,一般,*,*,能力,38
98,0,修得,名詞,サ変接続,*,*,修得,36
103,0,層流,名詞,固有名詞,一般,*,層流,41
105,0,乱流,名詞,固有名詞,一般,*,乱流,41
107,0,摩擦,名詞,サ変接続,*,*,摩擦,36
109,0,抵抗,名詞,サ変接続,*,*,抵抗,36
111,0,エネルギー,名詞,一般,*,*,エネルギー,38
112,0,損失,名詞,サ変接続,*,*,損失,36
115,0,原理,名詞,一般,*,*,原理,38
117,0,解法,名詞,一般,*,*,解法,38
119,0,説明,名詞,サ変接続,*,*,説明,36
120,0,できる,動詞,自立,*,*,できる,31
124,0,管,名詞,一般,*,*,管,38
125,0,路,名詞,接尾,一般,*,路,51
127,0,開水路,名詞,固有名詞,一般,*,開水路,41
129,0,水,名詞,一般,*,*,水,38
130,0,理,名詞,一般,*,*,理,38
131,0,現象,名詞,一般,*,*,現象,38
134,0,水理学,名詞,固有名詞,一般,*,水理学,41
135,0,第一,名詞,固有名詞,一般,*,第一,41
137,0,習得,名詞,サ変接続,*,*,習得,36
140,0,流体,名詞,一般,*,*,流体,38
141,0,運動,名詞,サ変接続,*,*,運動,36
143,0,概念,名詞,一般,*,*,概念,38
145,0,原理,名詞,一般,*,*,原理,38
147,0,応用,名詞,サ変接続,*,*,応用,36
148,0,できる,動詞,自立,*,*,できる,31
152,0,管,名詞,一般,*,*,管,38
153,0,路,名詞,接尾,一般,*,路,51
155,0,開水路,名詞,固有名詞,一般,*,開水路,41
157,0,流体,名詞,一般,*,*,流体,38
158,0,運動,名詞,サ変接続,*,*,運動,36
161,0,次元,名詞,一般,*,*,次元,38
162,0,的,名詞,接尾,形容動詞語幹,*,的,52
163,0,表現,名詞,サ変接続,*,*,表現,36
166,0,物理的,名詞,固有名詞,一般,*,物理的,41
167,0,意味,名詞,サ変接続,*,*,意味,36
169,0,解法,名詞,一般,*,*,解法,38
171,0,説明,名詞,サ変接続,*,*,説明,36
172,0,できる,動詞,自立,*,*,できる,31
175,0,講義,名詞,サ変接続,*,*,講義,36
177,0,履修,名詞,サ変接続,*,*,履修,36
181,0,次,名詞,一般,*,*,次,38
183,0,能力,名詞,一般,*,*,能力,38
185,0,修得,名詞,サ変接続,*,*,修得,36
190,0,層流,名詞,固有名詞,一般,*,層流,41
192,0,乱流,名詞,固有名詞,一般,*,乱流,41
194,0,摩擦,名詞,サ変接続,*,*,摩擦,36
196,0,抵抗,名詞,サ変接続,*,*,抵抗,36
198,0,エネルギー,名詞,一般,*,*,エネルギー,38
199,0,損失,名詞,サ変接続,*,*,損失,36
202,0,原理,名詞,一般,*,*,原理,38
204,0,解法,名詞,一般,*,*,解法,38
206,0,説明,名詞,サ変接続,*,*,説明,36
207,0,できる,動詞,自立,*,*,できる,31
211,0,管,名詞,一般,*,*,管,38
212,0,路,名詞,接尾,一般,*,路,51
214,0,開水路,名詞,固有名詞,一般,*,開水路,41
216,0,水,名詞,一般,*,*,水,38
217,0,理,名詞,一般,*,*,理,38
218,0,現象,名詞,一般,*,*,現象,38
221,0,水理学,名詞,固有名詞,一般,*,水理学,41
222,0,第一,名詞,固有名詞,一般,*,第一,41
224,0,習得,名詞,サ変接続,*,*,習得,36
227,0,流体,名詞,一般,*,*,流体,38
228,0,運動,名詞,サ変接続,*,*,運動,36
230,0,概念,名詞,一般,*,*,概念,38
232,0,原理,名詞,一般,*,*,原理,38
234,0,応用,名詞,サ変接続,*,*,応用,36
235,0,できる,動詞,自立,*,*,できる,31
239,0,管,名詞,一般,*,*,管,38
240,0,路,名詞,接尾,一般,*,路,51
242,0,開水路,名詞,固有名詞,一般,*,開水路,41
244,0,流体,名詞,一般,*,*,流体,38
245,0,運動,名詞,サ変接続,*,*,運動,36
248,0,次元,名詞,一般,*,*,次元,38
249,0,的,名詞,接尾,形容動詞語幹,*,的,52
250,0,表現,名詞,サ変接続,*,*,表現,36
253,0,物理的,名詞,固有名詞,一般,*,物理的,41
254,0,意味,名詞,サ変接続,*,*,意味,36
256,0,解法,名詞,一般,*,*,解法,38
258,0,説明,名詞,サ変接続,*,*,説明,36
259,0,できる,動詞,自立,*,*,できる,31
262,0,講義,名詞,サ変接続,*,*,講義,36
264,0,履修,名詞,サ変接続,*,*,履修,36
268,0,次,名詞,一般,*,*,次,38
270,0,能力,名詞,一般,*,*,能力,38
272,0,修得,名詞,サ変接続,*,*,修得,36
277,0,層流,名詞,固有名詞,一般,*,層流,41
279,0,乱流,名詞,固有名詞,一般,*,乱流,41
281,0,摩擦,名詞,サ変接続,*,*,摩擦,36
283,0,抵抗,名詞,サ変接続,*,*,抵抗,36
285,0,エネルギー,名詞,一般,*,*,エネルギー,38
286,0,損失,名詞,サ変接続,*,*,損失,36
289,0,原理,名詞,一般,*,*,原理,38
291,0,解法,名詞,一般,*,*,解法,38
293,0,説明,名詞,サ変接続,*,*,説明,36
294,0,できる,動詞,自立,*,*,できる,31
298,0,管,名詞,一般,*,*,管,38
299,0,路,名詞,接尾,一般,*,路,51
301,0,開水路,名詞,固有名詞,一般,*,開水路,41
303,0,水,名詞,一般,*,*,水,38
304,0,理,名詞,一般,*,*,理,38
305,0,現象,名詞,一般,*,*,現象,38
308,0,水理学,名詞,固有名詞,一般,*,水理学,41
309,0,第一,名詞,固有名詞,一般,*,第一,41
311,0,習得,名詞,サ変接続,*,*,習得,36
314,0,流体,名詞,一般,*,*,流体,38
315,0,運動,名詞,サ変接続,*,*,運動,36
317,0,概念,名詞,一般,*,*,概念,38
319,0,原理,名詞,一般,*,*,原理,38
321,0,応用,名詞,サ変接続,*,*,応用,36
322,0,できる,動詞,自立,*,*,できる,31
326,0,管,名詞,一般,*,*,管,38
327,0,路,名詞,接尾,一般,*,路,51
329,0,開水路,名詞,固有名詞,一般,*,開水路,41
331,0,流体,名詞,一般,*,*,流体,38
332,0,運動,名詞,サ変接続,*,*,運動,36
335,0,次元,名詞,一般,*,*,次元,38
336,0,的,名詞,接尾,形容動詞語幹,*,的,52
337,0,表現,名詞,サ変接続,*,*,表現,36
340,0,物理的,名詞,固有名詞,一般,*,物理的,41
341,0,意味,名詞,サ変接続,*,*,意味,36
343,0,解法,名詞,一般,*,*,解法,38
345,0,説明,名詞,サ変接続,*,*,説明,36
346,0,できる,動詞,自立,*,*,できる,31
349,0,講義,名詞,サ変接続,*,*,講義,36
351,0,履修,名詞,サ変接続,*,*,履修,36
355,0,次,名詞,一般,*,*,次,38
357,0,能力,名詞,一般,*,*,能力,38
359,0,修得,名詞,サ変接続,*,*,修得,36
364,0,層流,名詞,固有名詞,一般,*,層流,41
366,0,乱流,名詞,固有名詞,一般,*,乱流,41
368,0,摩擦,名詞,サ変接続,*,*,摩擦,36
370,0,抵抗,名詞,サ変接続,*,*,抵抗,36
372,0,エネルギー,名詞,一般,*,*,エネルギー,38
373,0,損失,名詞,サ変接続,*,*,損失,36
376,0,原理,名詞,一般,*,*,原理,38
378,0,解法,名詞,一般,*,*,解法,38
380,0,説明,名詞,サ変接続,*,*,説明,36
381,0,できる,動詞,自立,*,*,できる,31
385,0,管,名詞,一般,*,*,管,38
386,0,路,名詞,接尾,一般,*,路,51
388,0,開水路,名詞,固有名詞,一般,*,開水路,41
390,0,水,名詞,一般,*,*,水,38
391,0,理,名詞,一般,*,*,理,38
392,0,現象,名詞,一般,*,*,現象,38
395,0,水理学,名詞,固有名詞,一般,*,水理学,41
396,0,第一,名詞,固有名詞,一般,*,第一,41
398,0,習得,名詞,サ変接続,*,*,習得,36
401,0,流体,名詞,一般,*,*,流体,38
402,0,運動,名詞,サ変接続,*,*,運動,36
404,0,概念,名詞,一般,*,*,概念,38
406,0,原理,名詞,一般,*,*,原理,38
408,0,応用,名詞,サ変接続,*,*,応用,36
409,0,できる,動詞,自立,*,*,できる,31
413,0,管,名詞,一般,*,*,管,38
414,0,路,名詞,接尾,一般,*,路,51
416,0,開水路,名詞,固有名詞,一般,*,開水路,41
418,0,流体,名詞,一般,*,*,流体,38
419,0,運動,名詞,サ変接続,*,*,運動,36
422,0,次元,名詞,一般,*,*,次元,38
423,0,的,名詞,接尾,形容動詞語幹,*,的,52
424,0,表現,名詞,サ変接続,*,*,表現,36
427,0,物理的,名詞,固有名詞,一般,*,物理的,41
428,0,意味,名詞,サ変接続,*,*,意味,36
430,0,解法,名詞,一般,*,*,解法,38
432,0,説明,名詞,サ変接続,*,*,説明,36
433,0,できる,動詞,自立,*,*,できる,31
436,0,講義,名詞,サ変接続,*,*,講義,36
438,0,履修,名詞,サ変接続,*,*,履修,36
442,0,次,名詞,一般,*,*,次,38
444,0,能力,名詞,一般,*,*,能力,38
446,0,修得,名詞,サ変接続,*,*,修得,36
451,0,層流,名詞,固有名詞,一般,*,層流,41
453,0,乱流,名詞,固有名詞,一般,*,乱流,41
455,0,摩擦,名詞,サ変接続,*,*,摩擦,36
457,0,抵抗,名詞,サ変接続,*,*,抵抗,36
459,0,エネルギー,名詞,一般,*,*,エネルギー,38
460,0,損失,名詞,サ変接続,*,*,損失,36
463,0,原理,名詞,一般,*,*,原理,38
465,0,解法,名詞,一般,*,*,解法,38
467,0,説明,名詞,サ変接続,*,*,説明,36
468,0,できる,動詞,自立,*,*,できる,31
472,0,管,名詞,一般,*,*,管,38
473,0,路,名詞,接尾,一般,*,路,51
475,0,開水路,名詞,固有名詞,一般,*,開水路,41
477,0,水,名詞,一般,*,*,水,38
478,0,理,名詞,一般,*,*,理,38
479,0,現象,名詞,一般,*,*,現象,38
482,0,水理学,名詞,固有名詞,一般,*,水理学,41
483,0,第一,名詞,固有名詞,一般,*,第一,41
485,0,習得,名詞,サ変接続,*,*,習得,36
488,0,流体,名詞,一般,*,*,流体,38
489,0,運動,名詞,サ変接続,*,*,運動,36
491,0,概念,名詞,一般,*,*,概念,38
493,0,原理,名詞,一般,*,*,原理,38
495,0,応用,名詞,サ変接続,*,*,応用,36
496,0,できる,動詞,自立,*,*,できる,31
500,0,管,名詞,一般,*,*,管,38
501,0,路,名詞,接尾,一般,*,路,51
503,0,開水路,名詞,固有名詞,一般,*,開水路,41
505,0,流体,名詞,一般,*,*,流体,38
