,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,応用地質,名詞,固有名詞,組織,*,応用地質,45
1,0,地質図,名詞,固有名詞,一般,*,地質図,41
2,0,地盤調査,名詞,固有名詞,地域,一般,地盤調査,46
3,0,地盤,名詞,一般,*,*,地盤,38
4,0,施工,名詞,サ変接続,*,*,施工,36
5,0,トンネル,名詞,一般,*,*,トンネル,38
6,0,防災,名詞,サ変接続,*,*,防災,36
7,0,施設,名詞,サ変接続,*,*,施設,36
8,0,ダム,名詞,一般,*,*,ダム,38
9,0,地盤,名詞,一般,*,*,地盤,38
10,0,環境技術,名詞,固有名詞,一般,*,環境技術,41
11,0,応用地質,名詞,固有名詞,組織,*,応用地質,45
12,0,地質図,名詞,固有名詞,一般,*,地質図,41
13,0,地盤調査,名詞,固有名詞,地域,一般,地盤調査,46
14,0,地盤,名詞,一般,*,*,地盤,38
15,0,施工,名詞,サ変接続,*,*,施工,36
16,0,トンネル,名詞,一般,*,*,トンネル,38
17,0,防災,名詞,サ変接続,*,*,防災,36
18,0,施設,名詞,サ変接続,*,*,施設,36
19,0,ダム,名詞,一般,*,*,ダム,38
20,0,地盤,名詞,一般,*,*,地盤,38
21,0,環境技術,名詞,固有名詞,一般,*,環境技術,41
22,0,応用地質,名詞,固有名詞,組織,*,応用地質,45
23,0,地質図,名詞,固有名詞,一般,*,地質図,41
24,0,地盤調査,名詞,固有名詞,地域,一般,地盤調査,46
25,0,地盤,名詞,一般,*,*,地盤,38
26,0,施工,名詞,サ変接続,*,*,施工,36
27,0,トンネル,名詞,一般,*,*,トンネル,38
28,0,防災,名詞,サ変接続,*,*,防災,36
29,0,施設,名詞,サ変接続,*,*,施設,36
30,0,ダム,名詞,一般,*,*,ダム,38
31,0,地盤,名詞,一般,*,*,地盤,38
32,0,環境技術,名詞,固有名詞,一般,*,環境技術,41
33,0,応用地質,名詞,固有名詞,組織,*,応用地質,45
34,0,地質図,名詞,固有名詞,一般,*,地質図,41
35,0,地盤調査,名詞,固有名詞,地域,一般,地盤調査,46
36,0,地盤,名詞,一般,*,*,地盤,38
37,0,施工,名詞,サ変接続,*,*,施工,36
38,0,トンネル,名詞,一般,*,*,トンネル,38
39,0,防災,名詞,サ変接続,*,*,防災,36
40,0,施設,名詞,サ変接続,*,*,施設,36
41,0,ダム,名詞,一般,*,*,ダム,38
42,0,地盤,名詞,一般,*,*,地盤,38
43,0,環境技術,名詞,固有名詞,一般,*,環境技術,41
44,0,応用地質,名詞,固有名詞,組織,*,応用地質,45
45,0,地質図,名詞,固有名詞,一般,*,地質図,41
46,0,地盤調査,名詞,固有名詞,地域,一般,地盤調査,46
47,0,地盤,名詞,一般,*,*,地盤,38
48,0,施工,名詞,サ変接続,*,*,施工,36
49,0,トンネル,名詞,一般,*,*,トンネル,38
50,0,防災,名詞,サ変接続,*,*,防災,36
51,0,施設,名詞,サ変接続,*,*,施設,36
52,0,ダム,名詞,一般,*,*,ダム,38
53,0,地盤,名詞,一般,*,*,地盤,38
54,0,環境技術,名詞,固有名詞,一般,*,環境技術,41
