,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,河川,名詞,一般,*,*,河川,38
1,0,景観,名詞,一般,*,*,景観,38
2,0,評価,名詞,サ変接続,*,*,評価,36
4,0,理論,名詞,一般,*,*,理論,38
8,0,実験,名詞,サ変接続,*,*,実験,36
9,0,実験,名詞,サ変接続,*,*,実験,36
13,0,参加,名詞,サ変接続,*,*,参加,36
15,0,ディスカッション,名詞,サ変接続,*,*,ディスカッション,36
16,0,河川,名詞,一般,*,*,河川,38
17,0,景観,名詞,一般,*,*,景観,38
18,0,評価,名詞,サ変接続,*,*,評価,36
20,0,理論,名詞,一般,*,*,理論,38
24,0,実験結果,名詞,固有名詞,一般,*,実験結果,41
26,0,考察,名詞,サ変接続,*,*,考察,36
27,0,河川,名詞,一般,*,*,河川,38
28,0,景観,名詞,一般,*,*,景観,38
29,0,評価,名詞,サ変接続,*,*,評価,36
31,0,理論,名詞,一般,*,*,理論,38
35,0,実験結果,名詞,固有名詞,一般,*,実験結果,41
37,0,考察,名詞,サ変接続,*,*,考察,36
38,0,河川,名詞,一般,*,*,河川,38
39,0,景観,名詞,一般,*,*,景観,38
40,0,評価,名詞,サ変接続,*,*,評価,36
42,0,理論,名詞,一般,*,*,理論,38
46,0,既往,名詞,一般,*,*,既往,38
47,0,仮説,名詞,一般,*,*,仮説,38
49,0,考察,名詞,サ変接続,*,*,考察,36
50,0,仮説,名詞,一般,*,*,仮説,38
52,0,意味,名詞,サ変接続,*,*,意味,36
54,0,理解,名詞,サ変接続,*,*,理解,36
55,0,橋梁,名詞,一般,*,*,橋梁,38
57,0,デザイン,名詞,サ変接続,*,*,デザイン,36
58,0,評価,名詞,サ変接続,*,*,評価,36
60,0,理論,名詞,一般,*,*,理論,38
64,0,実験,名詞,サ変接続,*,*,実験,36
65,0,実験,名詞,サ変接続,*,*,実験,36
69,0,参加,名詞,サ変接続,*,*,参加,36
71,0,ディスカッション,名詞,サ変接続,*,*,ディスカッション,36
72,0,橋梁,名詞,一般,*,*,橋梁,38
74,0,デザイン,名詞,サ変接続,*,*,デザイン,36
75,0,評価,名詞,サ変接続,*,*,評価,36
77,0,理論,名詞,一般,*,*,理論,38
81,0,実験結果,名詞,固有名詞,一般,*,実験結果,41
