,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,都市,名詞,一般,*,*,都市,38
2,0,交通計画,名詞,固有名詞,一般,*,交通計画,41
3,0,プロジェクト,名詞,一般,*,*,プロジェクト,38
4,0,演習,名詞,サ変接続,*,*,演習,36
5,0,交通,名詞,一般,*,*,交通,38
6,0,システム工学,名詞,固有名詞,一般,*,システム工学,41
7,0,土木計画学,名詞,固有名詞,一般,*,土木計画学,41
8,0,基礎,名詞,一般,*,*,基礎,38
9,0,土木,名詞,一般,*,*,土木,38
11,0,環境,名詞,一般,*,*,環境,38
13,0,計画,名詞,サ変接続,*,*,計画,36
14,0,理論,名詞,一般,*,*,理論,38
15,0,都市,名詞,一般,*,*,都市,38
17,0,交通計画,名詞,固有名詞,一般,*,交通計画,41
18,0,プロジェクト,名詞,一般,*,*,プロジェクト,38
19,0,演習,名詞,サ変接続,*,*,演習,36
20,0,交通,名詞,一般,*,*,交通,38
21,0,システム工学,名詞,固有名詞,一般,*,システム工学,41
22,0,土木計画学,名詞,固有名詞,一般,*,土木計画学,41
23,0,基礎,名詞,一般,*,*,基礎,38
24,0,土木,名詞,一般,*,*,土木,38
26,0,環境,名詞,一般,*,*,環境,38
28,0,計画,名詞,サ変接続,*,*,計画,36
29,0,理論,名詞,一般,*,*,理論,38
30,0,都市,名詞,一般,*,*,都市,38
32,0,交通計画,名詞,固有名詞,一般,*,交通計画,41
33,0,プロジェクト,名詞,一般,*,*,プロジェクト,38
34,0,演習,名詞,サ変接続,*,*,演習,36
35,0,交通,名詞,一般,*,*,交通,38
36,0,システム工学,名詞,固有名詞,一般,*,システム工学,41
37,0,土木計画学,名詞,固有名詞,一般,*,土木計画学,41
38,0,基礎,名詞,一般,*,*,基礎,38
39,0,土木,名詞,一般,*,*,土木,38
41,0,環境,名詞,一般,*,*,環境,38
43,0,計画,名詞,サ変接続,*,*,計画,36
44,0,理論,名詞,一般,*,*,理論,38
45,0,都市,名詞,一般,*,*,都市,38
47,0,交通計画,名詞,固有名詞,一般,*,交通計画,41
48,0,プロジェクト,名詞,一般,*,*,プロジェクト,38
49,0,演習,名詞,サ変接続,*,*,演習,36
50,0,交通,名詞,一般,*,*,交通,38
51,0,システム工学,名詞,固有名詞,一般,*,システム工学,41
52,0,土木計画学,名詞,固有名詞,一般,*,土木計画学,41
53,0,基礎,名詞,一般,*,*,基礎,38
54,0,土木,名詞,一般,*,*,土木,38
56,0,環境,名詞,一般,*,*,環境,38
58,0,計画,名詞,サ変接続,*,*,計画,36
59,0,理論,名詞,一般,*,*,理論,38
60,0,都市,名詞,一般,*,*,都市,38
62,0,交通計画,名詞,固有名詞,一般,*,交通計画,41
63,0,プロジェクト,名詞,一般,*,*,プロジェクト,38
64,0,演習,名詞,サ変接続,*,*,演習,36
65,0,交通,名詞,一般,*,*,交通,38
66,0,システム工学,名詞,固有名詞,一般,*,システム工学,41
67,0,土木計画学,名詞,固有名詞,一般,*,土木計画学,41
68,0,基礎,名詞,一般,*,*,基礎,38
69,0,土木,名詞,一般,*,*,土木,38
71,0,環境,名詞,一般,*,*,環境,38
73,0,計画,名詞,サ変接続,*,*,計画,36
74,0,理論,名詞,一般,*,*,理論,38
75,0,都市,名詞,一般,*,*,都市,38
77,0,交通計画,名詞,固有名詞,一般,*,交通計画,41
78,0,プロジェクト,名詞,一般,*,*,プロジェクト,38
79,0,演習,名詞,サ変接続,*,*,演習,36
80,0,交通,名詞,一般,*,*,交通,38
81,0,システム工学,名詞,固有名詞,一般,*,システム工学,41
82,0,土木計画学,名詞,固有名詞,一般,*,土木計画学,41
83,0,基礎,名詞,一般,*,*,基礎,38
84,0,土木,名詞,一般,*,*,土木,38
86,0,環境,名詞,一般,*,*,環境,38
88,0,計画,名詞,サ変接続,*,*,計画,36
89,0,理論,名詞,一般,*,*,理論,38
90,0,都市,名詞,一般,*,*,都市,38
92,0,交通計画,名詞,固有名詞,一般,*,交通計画,41
93,0,プロジェクト,名詞,一般,*,*,プロジェクト,38
94,0,演習,名詞,サ変接続,*,*,演習,36
95,0,交通,名詞,一般,*,*,交通,38
96,0,システム工学,名詞,固有名詞,一般,*,システム工学,41
97,0,土木計画学,名詞,固有名詞,一般,*,土木計画学,41
98,0,基礎,名詞,一般,*,*,基礎,38
99,0,土木,名詞,一般,*,*,土木,38
101,0,環境,名詞,一般,*,*,環境,38
103,0,計画,名詞,サ変接続,*,*,計画,36
104,0,理論,名詞,一般,*,*,理論,38
105,0,都市,名詞,一般,*,*,都市,38
107,0,交通計画,名詞,固有名詞,一般,*,交通計画,41
108,0,プロジェクト,名詞,一般,*,*,プロジェクト,38
109,0,演習,名詞,サ変接続,*,*,演習,36
110,0,交通,名詞,一般,*,*,交通,38
111,0,システム工学,名詞,固有名詞,一般,*,システム工学,41
112,0,土木計画学,名詞,固有名詞,一般,*,土木計画学,41
113,0,基礎,名詞,一般,*,*,基礎,38
114,0,土木,名詞,一般,*,*,土木,38
116,0,環境,名詞,一般,*,*,環境,38
118,0,計画,名詞,サ変接続,*,*,計画,36
119,0,理論,名詞,一般,*,*,理論,38
