,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,ガイダンス,名詞,一般,*,*,ガイダンス,38
2,0,上水道,名詞,一般,*,*,上水道,38
4,0,歴史,名詞,一般,*,*,歴史,38
6,0,計画,名詞,サ変接続,*,*,計画,36
8,0,吉村,名詞,固有名詞,人名,姓,吉村,43
10,0,上水道,名詞,一般,*,*,上水道,38
12,0,重要,名詞,形容動詞語幹,*,*,重要,40
14,0,歴史,名詞,一般,*,*,歴史,38
16,0,理解,名詞,サ変接続,*,*,理解,36
19,0,上水道,名詞,一般,*,*,上水道,38
20,0,システム,名詞,一般,*,*,システム,38
22,0,概要,名詞,一般,*,*,概要,38
24,0,計画,名詞,サ変接続,*,*,計画,36
25,0,手順,名詞,一般,*,*,手順,38
27,0,概略,名詞,一般,*,*,概略,38
28,0,分析化学,名詞,固有名詞,一般,*,分析化学,41
30,0,基礎,名詞,一般,*,*,基礎,38
32,0,吉村,名詞,固有名詞,人名,姓,吉村,43
34,0,一般,名詞,一般,*,*,一般,38
35,0,的,名詞,接尾,形容動詞語幹,*,的,52
37,0,水質分析,名詞,固有名詞,一般,*,水質分析,41
39,0,必要,名詞,形容動詞語幹,*,*,必要,40
41,0,なる,動詞,自立,*,*,なる,31
42,0,分析化学,名詞,固有名詞,一般,*,分析化学,41
44,0,基礎,名詞,一般,*,*,基礎,38
45,0,水質,名詞,一般,*,*,水質,38
46,0,化学,名詞,一般,*,*,化学,38
49,0,吉村,名詞,固有名詞,人名,姓,吉村,43
52,1,pH,名詞,固有名詞,一般,*,pH,41
54,1,溶解度,名詞,固有名詞,一般,*,溶解度,41
56,1,アルカリ,名詞,一般,*,*,アルカリ,38
57,1,度,名詞,接尾,一般,*,度,51
59,1,酸,名詞,一般,*,*,酸,38
60,1,塩基,名詞,一般,*,*,塩基,38
61,1,反応,名詞,サ変接続,*,*,反応,36
63,1,上水道,名詞,一般,*,*,上水道,38
64,1,設計,名詞,サ変接続,*,*,設計,36
66,1,必要,名詞,形容動詞語幹,*,*,必要,40
68,1,なる,動詞,自立,*,*,なる,31
69,1,水質,名詞,一般,*,*,水質,38
70,1,化学,名詞,一般,*,*,化学,38
72,1,基礎,名詞,一般,*,*,基礎,38
74,1,pH,名詞,固有名詞,一般,*,pH,41
76,1,溶解度,名詞,固有名詞,一般,*,溶解度,41
78,1,アルカリ,名詞,一般,*,*,アルカリ,38
79,1,度,名詞,接尾,一般,*,度,51
82,1,浄水,名詞,サ変接続,*,*,浄水,36
83,1,処理,名詞,サ変接続,*,*,処理,36
84,1,技術,名詞,一般,*,*,技術,38
87,1,吉村,名詞,固有名詞,人名,姓,吉村,43
89,1,一般,名詞,一般,*,*,一般,38
90,1,的,名詞,接尾,形容動詞語幹,*,的,52
92,1,浄水,名詞,サ変接続,*,*,浄水,36
93,1,処理,名詞,サ変接続,*,*,処理,36
94,1,技術,名詞,一般,*,*,技術,38
97,1,組み合わせ,名詞,一般,*,*,組み合わせ,38
99,1,水道,名詞,一般,*,*,水道,38
100,1,水質,名詞,一般,*,*,水質,38
101,1,基準,名詞,一般,*,*,基準,38
104,1,対応,名詞,サ変接続,*,*,対応,36
105,1,浄水,名詞,サ変接続,*,*,浄水,36
106,1,処理,名詞,サ変接続,*,*,処理,36
107,1,技術,名詞,一般,*,*,技術,38
110,1,吉村,名詞,固有名詞,人名,姓,吉村,43
112,1,最新,名詞,一般,*,*,最新,38
114,1,浄水,名詞,サ変接続,*,*,浄水,36
115,1,処理,名詞,サ変接続,*,*,処理,36
116,1,技術,名詞,一般,*,*,技術,38
117,1,水域,名詞,一般,*,*,水域,38
118,1,生態,名詞,一般,*,*,生態,38
119,1,系,名詞,接尾,一般,*,系,51
121,1,水,名詞,一般,*,*,水,38
122,1,環境,名詞,一般,*,*,環境,38
