,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,測量,名詞,サ変接続,*,*,測量,36
1,0,学,名詞,接尾,一般,*,学,51
2,0,実習,名詞,サ変接続,*,*,実習,36
3,0,測量,名詞,サ変接続,*,*,測量,36
4,0,学,名詞,接尾,一般,*,学,51
5,0,実習,名詞,サ変接続,*,*,実習,36
6,0,測量,名詞,サ変接続,*,*,測量,36
7,0,学,名詞,接尾,一般,*,学,51
8,0,実習,名詞,サ変接続,*,*,実習,36
9,0,3年,名詞,固有名詞,一般,*,3年,41
10,0,次,名詞,接尾,一般,*,次,51
11,0,測量,名詞,サ変接続,*,*,測量,36
12,0,学,名詞,接尾,一般,*,学,51
13,0,実習,名詞,サ変接続,*,*,実習,36
14,0,2年,名詞,固有名詞,一般,*,2年,41
15,0,次,名詞,接尾,一般,*,次,51
16,0,測量,名詞,サ変接続,*,*,測量,36
17,0,学,名詞,接尾,一般,*,学,51
18,0,実習,名詞,サ変接続,*,*,実習,36
19,0,測量,名詞,サ変接続,*,*,測量,36
20,0,学,名詞,接尾,一般,*,学,51
21,0,実習,名詞,サ変接続,*,*,実習,36
