,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
1,0,講義,名詞,サ変接続,*,*,講義,36
3,0,履修,名詞,サ変接続,*,*,履修,36
11,0,プログラミング,名詞,サ変接続,*,*,プログラミング,36
13,0,ため,名詞,非自立,副詞可能,*,ため,66
15,0,基本,名詞,一般,*,*,基本,38
16,0,文法,名詞,一般,*,*,文法,38
18,0,理解,名詞,サ変接続,*,*,理解,36
24,0,研究,名詞,サ変接続,*,*,研究,36
26,0,開発,名詞,サ変接続,*,*,開発,36
28,0,現場,名詞,一般,*,*,現場,38
30,0,必要,名詞,形容動詞語幹,*,*,必要,40
32,0,なる,動詞,自立,*,*,なる,31
33,0,主,名詞,形容動詞語幹,*,*,主,40
35,0,数値解析,名詞,固有名詞,一般,*,数値解析,41
36,0,法,名詞,接尾,一般,*,法,51
38,0,アルゴリズム,名詞,一般,*,*,アルゴリズム,38
40,0,習得,名詞,サ変接続,*,*,習得,36
46,0,自ら,名詞,副詞可能,*,*,自ら,67
48,0,ニーズ,名詞,一般,*,*,ニーズ,38
50,0,合わせ,動詞,自立,*,*,合わせる,31
52,0,現象,名詞,一般,*,*,現象,38
54,0,数値,名詞,一般,*,*,数値,38
55,0,解析,名詞,サ変接続,*,*,解析,36
57,0,ため,名詞,非自立,副詞可能,*,ため,66
59,0,基本,名詞,一般,*,*,基本,38
60,0,的,名詞,接尾,形容動詞語幹,*,的,52
62,0,プログラム,名詞,サ変接続,*,*,プログラム,36
64,0,作成,名詞,サ変接続,*,*,作成,36
65,0,できる,動詞,自立,*,*,できる,31
68,0,なる,動詞,自立,*,*,なる,31
71,0,講義,名詞,サ変接続,*,*,講義,36
73,0,履修,名詞,サ変接続,*,*,履修,36
81,0,プログラミング,名詞,サ変接続,*,*,プログラミング,36
83,0,ため,名詞,非自立,副詞可能,*,ため,66
85,0,基本,名詞,一般,*,*,基本,38
86,0,文法,名詞,一般,*,*,文法,38
88,0,理解,名詞,サ変接続,*,*,理解,36
94,0,研究,名詞,サ変接続,*,*,研究,36
96,0,開発,名詞,サ変接続,*,*,開発,36
98,0,現場,名詞,一般,*,*,現場,38
100,0,必要,名詞,形容動詞語幹,*,*,必要,40
102,0,なる,動詞,自立,*,*,なる,31
103,0,主,名詞,形容動詞語幹,*,*,主,40
105,0,数値解析,名詞,固有名詞,一般,*,数値解析,41
106,0,法,名詞,接尾,一般,*,法,51
108,0,アルゴリズム,名詞,一般,*,*,アルゴリズム,38
110,0,習得,名詞,サ変接続,*,*,習得,36
116,0,自ら,名詞,副詞可能,*,*,自ら,67
118,0,ニーズ,名詞,一般,*,*,ニーズ,38
120,0,合わせ,動詞,自立,*,*,合わせる,31
122,0,現象,名詞,一般,*,*,現象,38
124,0,数値,名詞,一般,*,*,数値,38
125,0,解析,名詞,サ変接続,*,*,解析,36
127,0,ため,名詞,非自立,副詞可能,*,ため,66
129,0,基本,名詞,一般,*,*,基本,38
130,0,的,名詞,接尾,形容動詞語幹,*,的,52
132,0,プログラム,名詞,サ変接続,*,*,プログラム,36
134,0,作成,名詞,サ変接続,*,*,作成,36
135,0,できる,動詞,自立,*,*,できる,31
138,0,なる,動詞,自立,*,*,なる,31
141,0,講義,名詞,サ変接続,*,*,講義,36
143,0,履修,名詞,サ変接続,*,*,履修,36
151,0,プログラミング,名詞,サ変接続,*,*,プログラミング,36
153,0,ため,名詞,非自立,副詞可能,*,ため,66
155,0,基本,名詞,一般,*,*,基本,38
156,0,文法,名詞,一般,*,*,文法,38
158,0,理解,名詞,サ変接続,*,*,理解,36
164,0,研究,名詞,サ変接続,*,*,研究,36
166,0,開発,名詞,サ変接続,*,*,開発,36
168,0,現場,名詞,一般,*,*,現場,38
170,0,必要,名詞,形容動詞語幹,*,*,必要,40
172,0,なる,動詞,自立,*,*,なる,31
173,0,主,名詞,形容動詞語幹,*,*,主,40
175,0,数値解析,名詞,固有名詞,一般,*,数値解析,41
176,0,法,名詞,接尾,一般,*,法,51
178,0,アルゴリズム,名詞,一般,*,*,アルゴリズム,38
180,0,習得,名詞,サ変接続,*,*,習得,36
186,0,自ら,名詞,副詞可能,*,*,自ら,67
188,0,ニーズ,名詞,一般,*,*,ニーズ,38
190,0,合わせ,動詞,自立,*,*,合わせる,31
192,0,現象,名詞,一般,*,*,現象,38
194,0,数値,名詞,一般,*,*,数値,38
195,0,解析,名詞,サ変接続,*,*,解析,36
197,0,ため,名詞,非自立,副詞可能,*,ため,66
199,0,基本,名詞,一般,*,*,基本,38
200,0,的,名詞,接尾,形容動詞語幹,*,的,52
202,0,プログラム,名詞,サ変接続,*,*,プログラム,36
204,0,作成,名詞,サ変接続,*,*,作成,36
205,0,できる,動詞,自立,*,*,できる,31
208,0,なる,動詞,自立,*,*,なる,31
211,0,講義,名詞,サ変接続,*,*,講義,36
213,0,履修,名詞,サ変接続,*,*,履修,36
221,0,プログラミング,名詞,サ変接続,*,*,プログラミング,36
223,0,ため,名詞,非自立,副詞可能,*,ため,66
225,0,基本,名詞,一般,*,*,基本,38
226,0,文法,名詞,一般,*,*,文法,38
228,0,理解,名詞,サ変接続,*,*,理解,36
234,0,研究,名詞,サ変接続,*,*,研究,36
236,0,開発,名詞,サ変接続,*,*,開発,36
238,0,現場,名詞,一般,*,*,現場,38
240,0,必要,名詞,形容動詞語幹,*,*,必要,40
242,0,なる,動詞,自立,*,*,なる,31
243,0,主,名詞,形容動詞語幹,*,*,主,40
245,0,数値解析,名詞,固有名詞,一般,*,数値解析,41
246,0,法,名詞,接尾,一般,*,法,51
248,0,アルゴリズム,名詞,一般,*,*,アルゴリズム,38
250,0,習得,名詞,サ変接続,*,*,習得,36
256,0,自ら,名詞,副詞可能,*,*,自ら,67
258,0,ニーズ,名詞,一般,*,*,ニーズ,38
260,0,合わせ,動詞,自立,*,*,合わせる,31
262,0,現象,名詞,一般,*,*,現象,38
264,0,数値,名詞,一般,*,*,数値,38
265,0,解析,名詞,サ変接続,*,*,解析,36
267,0,ため,名詞,非自立,副詞可能,*,ため,66
269,0,基本,名詞,一般,*,*,基本,38
270,0,的,名詞,接尾,形容動詞語幹,*,的,52
272,0,プログラム,名詞,サ変接続,*,*,プログラム,36
274,0,作成,名詞,サ変接続,*,*,作成,36
275,0,できる,動詞,自立,*,*,できる,31
278,0,なる,動詞,自立,*,*,なる,31
281,0,講義,名詞,サ変接続,*,*,講義,36
283,0,履修,名詞,サ変接続,*,*,履修,36
291,0,プログラミング,名詞,サ変接続,*,*,プログラミング,36
293,0,ため,名詞,非自立,副詞可能,*,ため,66
295,0,基本,名詞,一般,*,*,基本,38
296,0,文法,名詞,一般,*,*,文法,38
298,0,理解,名詞,サ変接続,*,*,理解,36
304,0,研究,名詞,サ変接続,*,*,研究,36
306,0,開発,名詞,サ変接続,*,*,開発,36
308,0,現場,名詞,一般,*,*,現場,38
310,0,必要,名詞,形容動詞語幹,*,*,必要,40
312,0,なる,動詞,自立,*,*,なる,31
313,0,主,名詞,形容動詞語幹,*,*,主,40
315,0,数値解析,名詞,固有名詞,一般,*,数値解析,41
316,0,法,名詞,接尾,一般,*,法,51
318,0,アルゴリズム,名詞,一般,*,*,アルゴリズム,38
320,0,習得,名詞,サ変接続,*,*,習得,36
326,0,自ら,名詞,副詞可能,*,*,自ら,67
328,0,ニーズ,名詞,一般,*,*,ニーズ,38
330,0,合わせ,動詞,自立,*,*,合わせる,31
332,0,現象,名詞,一般,*,*,現象,38
334,0,数値,名詞,一般,*,*,数値,38
335,0,解析,名詞,サ変接続,*,*,解析,36
337,0,ため,名詞,非自立,副詞可能,*,ため,66
339,0,基本,名詞,一般,*,*,基本,38
340,0,的,名詞,接尾,形容動詞語幹,*,的,52
342,0,プログラム,名詞,サ変接続,*,*,プログラム,36
344,0,作成,名詞,サ変接続,*,*,作成,36
345,0,できる,動詞,自立,*,*,できる,31
348,0,なる,動詞,自立,*,*,なる,31
351,0,講義,名詞,サ変接続,*,*,講義,36
353,0,履修,名詞,サ変接続,*,*,履修,36
361,0,プログラミング,名詞,サ変接続,*,*,プログラミング,36
363,0,ため,名詞,非自立,副詞可能,*,ため,66
365,0,基本,名詞,一般,*,*,基本,38
366,0,文法,名詞,一般,*,*,文法,38
368,0,理解,名詞,サ変接続,*,*,理解,36
374,0,研究,名詞,サ変接続,*,*,研究,36
376,0,開発,名詞,サ変接続,*,*,開発,36
378,0,現場,名詞,一般,*,*,現場,38
380,0,必要,名詞,形容動詞語幹,*,*,必要,40
382,0,なる,動詞,自立,*,*,なる,31
383,0,主,名詞,形容動詞語幹,*,*,主,40
385,0,数値解析,名詞,固有名詞,一般,*,数値解析,41
386,0,法,名詞,接尾,一般,*,法,51
388,0,アルゴリズム,名詞,一般,*,*,アルゴリズム,38
390,0,習得,名詞,サ変接続,*,*,習得,36
396,0,自ら,名詞,副詞可能,*,*,自ら,67
398,0,ニーズ,名詞,一般,*,*,ニーズ,38
400,0,合わせ,動詞,自立,*,*,合わせる,31
402,0,現象,名詞,一般,*,*,現象,38
404,0,数値,名詞,一般,*,*,数値,38
405,0,解析,名詞,サ変接続,*,*,解析,36
407,0,ため,名詞,非自立,副詞可能,*,ため,66
409,0,基本,名詞,一般,*,*,基本,38
410,0,的,名詞,接尾,形容動詞語幹,*,的,52
412,0,プログラム,名詞,サ変接続,*,*,プログラム,36
414,0,作成,名詞,サ変接続,*,*,作成,36
415,0,できる,動詞,自立,*,*,できる,31
418,0,なる,動詞,自立,*,*,なる,31
421,0,講義,名詞,サ変接続,*,*,講義,36
423,0,履修,名詞,サ変接続,*,*,履修,36
431,0,プログラミング,名詞,サ変接続,*,*,プログラミング,36
433,0,ため,名詞,非自立,副詞可能,*,ため,66
435,0,基本,名詞,一般,*,*,基本,38
436,0,文法,名詞,一般,*,*,文法,38
438,0,理解,名詞,サ変接続,*,*,理解,36
444,0,研究,名詞,サ変接続,*,*,研究,36
446,0,開発,名詞,サ変接続,*,*,開発,36
448,0,現場,名詞,一般,*,*,現場,38
450,0,必要,名詞,形容動詞語幹,*,*,必要,40
452,0,なる,動詞,自立,*,*,なる,31
453,0,主,名詞,形容動詞語幹,*,*,主,40
455,0,数値解析,名詞,固有名詞,一般,*,数値解析,41
456,0,法,名詞,接尾,一般,*,法,51
458,0,アルゴリズム,名詞,一般,*,*,アルゴリズム,38
460,0,習得,名詞,サ変接続,*,*,習得,36
466,0,自ら,名詞,副詞可能,*,*,自ら,67
468,0,ニーズ,名詞,一般,*,*,ニーズ,38
470,0,合わせ,動詞,自立,*,*,合わせる,31
472,0,現象,名詞,一般,*,*,現象,38
474,0,数値,名詞,一般,*,*,数値,38
475,0,解析,名詞,サ変接続,*,*,解析,36
477,0,ため,名詞,非自立,副詞可能,*,ため,66
479,0,基本,名詞,一般,*,*,基本,38
480,0,的,名詞,接尾,形容動詞語幹,*,的,52
482,0,プログラム,名詞,サ変接続,*,*,プログラム,36
484,0,作成,名詞,サ変接続,*,*,作成,36
485,0,できる,動詞,自立,*,*,できる,31
488,0,なる,動詞,自立,*,*,なる,31
491,0,講義,名詞,サ変接続,*,*,講義,36
493,0,履修,名詞,サ変接続,*,*,履修,36
501,0,プログラミング,名詞,サ変接続,*,*,プログラミング,36
503,0,ため,名詞,非自立,副詞可能,*,ため,66
505,0,基本,名詞,一般,*,*,基本,38
506,0,文法,名詞,一般,*,*,文法,38
508,0,理解,名詞,サ変接続,*,*,理解,36
514,0,研究,名詞,サ変接続,*,*,研究,36
516,0,開発,名詞,サ変接続,*,*,開発,36
518,0,現場,名詞,一般,*,*,現場,38
520,0,必要,名詞,形容動詞語幹,*,*,必要,40
522,0,なる,動詞,自立,*,*,なる,31
523,0,主,名詞,形容動詞語幹,*,*,主,40
525,0,数値解析,名詞,固有名詞,一般,*,数値解析,41
526,0,法,名詞,接尾,一般,*,法,51
528,0,アルゴリズム,名詞,一般,*,*,アルゴリズム,38
530,0,習得,名詞,サ変接続,*,*,習得,36
536,0,自ら,名詞,副詞可能,*,*,自ら,67
538,0,ニーズ,名詞,一般,*,*,ニーズ,38
540,0,合わせ,動詞,自立,*,*,合わせる,31
542,0,現象,名詞,一般,*,*,現象,38
544,0,数値,名詞,一般,*,*,数値,38
545,0,解析,名詞,サ変接続,*,*,解析,36
547,0,ため,名詞,非自立,副詞可能,*,ため,66
549,0,基本,名詞,一般,*,*,基本,38
550,0,的,名詞,接尾,形容動詞語幹,*,的,52
552,0,プログラム,名詞,サ変接続,*,*,プログラム,36
