,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,数値解析,名詞,固有名詞,一般,*,数値解析,41
1,0,アルゴリズム,名詞,一般,*,*,アルゴリズム,38
3,0,プログラミング,名詞,サ変接続,*,*,プログラミング,36
4,0,数値解析,名詞,固有名詞,一般,*,数値解析,41
5,0,アルゴリズム,名詞,一般,*,*,アルゴリズム,38
7,0,プログラミング,名詞,サ変接続,*,*,プログラミング,36
8,0,数値解析,名詞,固有名詞,一般,*,数値解析,41
9,0,アルゴリズム,名詞,一般,*,*,アルゴリズム,38
11,0,プログラミング,名詞,サ変接続,*,*,プログラミング,36
12,0,数値解析,名詞,固有名詞,一般,*,数値解析,41
13,0,アルゴリズム,名詞,一般,*,*,アルゴリズム,38
15,0,プログラミング,名詞,サ変接続,*,*,プログラミング,36
16,0,数値解析,名詞,固有名詞,一般,*,数値解析,41
17,0,アルゴリズム,名詞,一般,*,*,アルゴリズム,38
19,0,プログラミング,名詞,サ変接続,*,*,プログラミング,36
20,0,数値解析,名詞,固有名詞,一般,*,数値解析,41
21,0,アルゴリズム,名詞,一般,*,*,アルゴリズム,38
23,0,プログラミング,名詞,サ変接続,*,*,プログラミング,36
24,0,数値解析,名詞,固有名詞,一般,*,数値解析,41
25,0,アルゴリズム,名詞,一般,*,*,アルゴリズム,38
27,0,プログラミング,名詞,サ変接続,*,*,プログラミング,36
28,0,数値解析,名詞,固有名詞,一般,*,数値解析,41
29,0,アルゴリズム,名詞,一般,*,*,アルゴリズム,38
31,0,プログラミング,名詞,サ変接続,*,*,プログラミング,36
32,0,数値解析,名詞,固有名詞,一般,*,数値解析,41
33,0,アルゴリズム,名詞,一般,*,*,アルゴリズム,38
35,0,プログラミング,名詞,サ変接続,*,*,プログラミング,36
36,0,数値解析,名詞,固有名詞,一般,*,数値解析,41
37,0,アルゴリズム,名詞,一般,*,*,アルゴリズム,38
39,0,プログラミング,名詞,サ変接続,*,*,プログラミング,36
