,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,社会,名詞,一般,*,*,社会,38
1,0,基盤,名詞,一般,*,*,基盤,38
3,0,環境,名詞,一般,*,*,環境,38
5,0,概論,名詞,サ変接続,*,*,概論,36
6,0,社会,名詞,一般,*,*,社会,38
7,0,基盤,名詞,一般,*,*,基盤,38
9,0,環境,名詞,一般,*,*,環境,38
11,0,概論,名詞,サ変接続,*,*,概論,36
12,0,社会,名詞,一般,*,*,社会,38
13,0,基盤,名詞,一般,*,*,基盤,38
15,0,環境,名詞,一般,*,*,環境,38
17,0,概論,名詞,サ変接続,*,*,概論,36
18,0,社会,名詞,一般,*,*,社会,38
19,0,基盤,名詞,一般,*,*,基盤,38
21,0,環境,名詞,一般,*,*,環境,38
23,0,概論,名詞,サ変接続,*,*,概論,36
24,0,社会,名詞,一般,*,*,社会,38
25,0,基盤,名詞,一般,*,*,基盤,38
27,0,環境,名詞,一般,*,*,環境,38
29,0,概論,名詞,サ変接続,*,*,概論,36
30,0,社会,名詞,一般,*,*,社会,38
31,0,基盤,名詞,一般,*,*,基盤,38
33,0,環境,名詞,一般,*,*,環境,38
35,0,概論,名詞,サ変接続,*,*,概論,36
36,0,社会,名詞,一般,*,*,社会,38
37,0,基盤,名詞,一般,*,*,基盤,38
39,0,環境,名詞,一般,*,*,環境,38
41,0,概論,名詞,サ変接続,*,*,概論,36
42,0,社会,名詞,一般,*,*,社会,38
43,0,基盤,名詞,一般,*,*,基盤,38
45,0,環境,名詞,一般,*,*,環境,38
47,0,概論,名詞,サ変接続,*,*,概論,36
48,0,社会,名詞,一般,*,*,社会,38
49,0,基盤,名詞,一般,*,*,基盤,38
51,0,環境,名詞,一般,*,*,環境,38
53,0,概論,名詞,サ変接続,*,*,概論,36
54,0,社会,名詞,一般,*,*,社会,38
55,0,基盤,名詞,一般,*,*,基盤,38
57,0,環境,名詞,一般,*,*,環境,38
59,0,概論,名詞,サ変接続,*,*,概論,36
