,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
1,0,科目,名詞,一般,*,*,科目,38
3,0,履修,名詞,サ変接続,*,*,履修,36
7,0,次,名詞,一般,*,*,次,38
9,0,能力,名詞,一般,*,*,能力,38
11,0,修得,名詞,サ変接続,*,*,修得,36
16,0,フィルタ,名詞,一般,*,*,フィルタ,38
18,0,構成,名詞,サ変接続,*,*,構成,36
20,0,動作,名詞,サ変接続,*,*,動作,36
21,0,原理,名詞,一般,*,*,原理,38
23,0,説明,名詞,サ変接続,*,*,説明,36
24,0,できる,動詞,自立,*,*,できる,31
26,0,設計,名詞,サ変接続,*,*,設計,36
28,0,できる,動詞,自立,*,*,できる,31
31,0,伝送線路,名詞,固有名詞,一般,*,伝送線路,41
33,0,基本,名詞,一般,*,*,基本,38
34,0,方程式,名詞,一般,*,*,方程式,38
36,0,過渡,名詞,一般,*,*,過渡,38
37,0,応答,名詞,サ変接続,*,*,応答,36
39,0,周波数特性,名詞,固有名詞,一般,*,周波数特性,41
41,0,反射,名詞,サ変接続,*,*,反射,36
43,0,透過,名詞,サ変接続,*,*,透過,36
44,0,特性,名詞,一般,*,*,特性,38
46,0,説明,名詞,サ変接続,*,*,説明,36
47,0,できる,動詞,自立,*,*,できる,31
51,0,相,名詞,接尾,一般,*,相,51
52,0,交流,名詞,サ変接続,*,*,交流,36
54,0,説明,名詞,サ変接続,*,*,説明,36
55,0,できる,動詞,自立,*,*,できる,31
58,0,スイッチング電源,名詞,固有名詞,一般,*,スイッチング電源,41
60,0,動作,名詞,サ変接続,*,*,動作,36
61,0,原理,名詞,一般,*,*,原理,38
63,0,説明,名詞,サ変接続,*,*,説明,36
64,0,できる,動詞,自立,*,*,できる,31
66,0,設計,名詞,サ変接続,*,*,設計,36
67,0,できる,動詞,自立,*,*,できる,31
69,0,科目,名詞,一般,*,*,科目,38
71,0,履修,名詞,サ変接続,*,*,履修,36
75,0,次,名詞,一般,*,*,次,38
77,0,能力,名詞,一般,*,*,能力,38
79,0,修得,名詞,サ変接続,*,*,修得,36
84,0,フィルタ,名詞,一般,*,*,フィルタ,38
86,0,構成,名詞,サ変接続,*,*,構成,36
88,0,動作,名詞,サ変接続,*,*,動作,36
89,0,原理,名詞,一般,*,*,原理,38
91,0,説明,名詞,サ変接続,*,*,説明,36
92,0,できる,動詞,自立,*,*,できる,31
94,0,設計,名詞,サ変接続,*,*,設計,36
96,0,できる,動詞,自立,*,*,できる,31
99,0,伝送線路,名詞,固有名詞,一般,*,伝送線路,41
101,0,電信方程式,名詞,固有名詞,一般,*,電信方程式,41
103,0,過渡,名詞,一般,*,*,過渡,38
104,0,応答,名詞,サ変接続,*,*,応答,36
106,0,反射,名詞,サ変接続,*,*,反射,36
108,0,透過,名詞,サ変接続,*,*,透過,36
109,0,特性,名詞,一般,*,*,特性,38
111,0,説明,名詞,サ変接続,*,*,説明,36
112,0,できる,動詞,自立,*,*,できる,31
115,0,交流,名詞,サ変接続,*,*,交流,36
117,0,電力,名詞,一般,*,*,電力,38
122,0,相,名詞,接尾,一般,*,相,51
123,0,交流,名詞,サ変接続,*,*,交流,36
125,0,説明,名詞,サ変接続,*,*,説明,36
126,0,できる,動詞,自立,*,*,できる,31
128,0,科目,名詞,一般,*,*,科目,38
130,0,履修,名詞,サ変接続,*,*,履修,36
