,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,古典,名詞,一般,*,*,古典,38
1,0,制御理論,名詞,固有名詞,一般,*,制御理論,41
3,0,基本,名詞,一般,*,*,基本,38
4,0,概念,名詞,一般,*,*,概念,38
6,0,理解,名詞,サ変接続,*,*,理解,36
9,0,コントローラ,名詞,一般,*,*,コントローラ,38
11,0,設計,名詞,サ変接続,*,*,設計,36
12,0,できる,動詞,自立,*,*,できる,31
15,0,なる,動詞,自立,*,*,なる,31
20,0,ボード線図,名詞,固有名詞,一般,*,ボード線図,41
22,0,利用,名詞,サ変接続,*,*,利用,36
26,0,コントローラ,名詞,一般,*,*,コントローラ,38
28,0,ゲイン,名詞,固有名詞,一般,*,ゲイン,41
30,0,決定,名詞,サ変接続,*,*,決定,36
31,0,できる,動詞,自立,*,*,できる,31
34,0,なる,動詞,自立,*,*,なる,31
37,0,定常,名詞,一般,*,*,定常,38
38,0,偏差,名詞,一般,*,*,偏差,38
43,0,予測,名詞,サ変接続,*,*,予測,36
44,0,できる,動詞,自立,*,*,できる,31
47,0,なる,動詞,自立,*,*,なる,31
50,0,ボード線図,名詞,固有名詞,一般,*,ボード線図,41
54,0,ステップ,名詞,一般,*,*,ステップ,38
55,0,応答,名詞,サ変接続,*,*,応答,36
57,0,概略,名詞,一般,*,*,概略,38
59,0,フリーハンド,名詞,固有名詞,一般,*,フリーハンド,41
61,0,かける,動詞,自立,*,*,かける,31
64,0,なる,動詞,自立,*,*,なる,31
66,0,古典,名詞,一般,*,*,古典,38
67,0,制御理論,名詞,固有名詞,一般,*,制御理論,41
69,0,基本,名詞,一般,*,*,基本,38
70,0,概念,名詞,一般,*,*,概念,38
72,0,理解,名詞,サ変接続,*,*,理解,36
75,0,コントローラ,名詞,一般,*,*,コントローラ,38
77,0,設計,名詞,サ変接続,*,*,設計,36
78,0,できる,動詞,自立,*,*,できる,31
81,0,なる,動詞,自立,*,*,なる,31
84,0,講義,名詞,サ変接続,*,*,講義,36
86,0,後,名詞,非自立,副詞可能,*,後,66
88,0,開講,名詞,一般,*,*,開講,38
92,0,自動,名詞,一般,*,*,自動,38
93,0,制御,名詞,サ変接続,*,*,制御,36
96,0,現代,名詞,一般,*,*,現代,38
97,0,制御論,名詞,固有名詞,一般,*,制御論,41
101,0,合わせ,動詞,自立,*,*,合わせる,31
103,0,定量的,名詞,固有名詞,一般,*,定量的,41
104,0,制御,名詞,サ変接続,*,*,制御,36
