,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,信号,名詞,一般,*,*,信号,38
1,0,システム,名詞,一般,*,*,システム,38
2,0,導,名詞,一般,*,*,導,38
3,0,波路,名詞,一般,*,*,波路,38
4,0,工学,名詞,一般,*,*,工学,38
6,0,電波法,名詞,固有名詞,一般,*,電波法,41
7,0,光エレクトロニクス,名詞,固有名詞,一般,*,光エレクトロニクス,41
8,0,信号,名詞,一般,*,*,信号,38
9,0,システム,名詞,一般,*,*,システム,38
10,0,導,名詞,一般,*,*,導,38
11,0,波路,名詞,一般,*,*,波路,38
12,0,工学,名詞,一般,*,*,工学,38
14,0,電波法,名詞,固有名詞,一般,*,電波法,41
15,0,光エレクトロニクス,名詞,固有名詞,一般,*,光エレクトロニクス,41
16,0,信号,名詞,一般,*,*,信号,38
17,0,システム,名詞,一般,*,*,システム,38
18,0,導,名詞,一般,*,*,導,38
19,0,波路,名詞,一般,*,*,波路,38
20,0,工学,名詞,一般,*,*,工学,38
22,0,電波法,名詞,固有名詞,一般,*,電波法,41
23,0,光エレクトロニクス,名詞,固有名詞,一般,*,光エレクトロニクス,41
24,0,信号,名詞,一般,*,*,信号,38
25,0,システム,名詞,一般,*,*,システム,38
26,0,導,名詞,一般,*,*,導,38
27,0,波路,名詞,一般,*,*,波路,38
28,0,工学,名詞,一般,*,*,工学,38
30,0,電波法,名詞,固有名詞,一般,*,電波法,41
31,0,光エレクトロニクス,名詞,固有名詞,一般,*,光エレクトロニクス,41
32,0,信号,名詞,一般,*,*,信号,38
33,0,システム,名詞,一般,*,*,システム,38
34,0,導,名詞,一般,*,*,導,38
35,0,波路,名詞,一般,*,*,波路,38
36,0,工学,名詞,一般,*,*,工学,38
38,0,電波法,名詞,固有名詞,一般,*,電波法,41
39,0,光エレクトロニクス,名詞,固有名詞,一般,*,光エレクトロニクス,41
40,0,信号,名詞,一般,*,*,信号,38
41,0,システム,名詞,一般,*,*,システム,38
42,0,導,名詞,一般,*,*,導,38
43,0,波路,名詞,一般,*,*,波路,38
44,0,工学,名詞,一般,*,*,工学,38
46,0,電波法,名詞,固有名詞,一般,*,電波法,41
47,0,光エレクトロニクス,名詞,固有名詞,一般,*,光エレクトロニクス,41
48,0,信号,名詞,一般,*,*,信号,38
49,0,システム,名詞,一般,*,*,システム,38
50,0,導,名詞,一般,*,*,導,38
51,0,波路,名詞,一般,*,*,波路,38
52,0,工学,名詞,一般,*,*,工学,38
54,0,電波法,名詞,固有名詞,一般,*,電波法,41
55,0,光エレクトロニクス,名詞,固有名詞,一般,*,光エレクトロニクス,41
56,0,信号,名詞,一般,*,*,信号,38
57,0,システム,名詞,一般,*,*,システム,38
58,0,導,名詞,一般,*,*,導,38
59,0,波路,名詞,一般,*,*,波路,38
60,0,工学,名詞,一般,*,*,工学,38
62,0,電波法,名詞,固有名詞,一般,*,電波法,41
63,0,光エレクトロニクス,名詞,固有名詞,一般,*,光エレクトロニクス,41
64,0,信号,名詞,一般,*,*,信号,38
65,0,システム,名詞,一般,*,*,システム,38
66,0,導,名詞,一般,*,*,導,38
67,0,波路,名詞,一般,*,*,波路,38
68,0,工学,名詞,一般,*,*,工学,38
70,0,電波法,名詞,固有名詞,一般,*,電波法,41
71,0,光エレクトロニクス,名詞,固有名詞,一般,*,光エレクトロニクス,41
72,0,信号,名詞,一般,*,*,信号,38
73,0,システム,名詞,一般,*,*,システム,38
74,0,導,名詞,一般,*,*,導,38
75,0,波路,名詞,一般,*,*,波路,38
76,0,工学,名詞,一般,*,*,工学,38
78,0,電波法,名詞,固有名詞,一般,*,電波法,41
79,0,光エレクトロニクス,名詞,固有名詞,一般,*,光エレクトロニクス,41
