,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,科学,名詞,一般,*,*,科学,38
2,0,技術,名詞,一般,*,*,技術,38
4,0,創造,名詞,サ変接続,*,*,創造,36
5,0,プロセス,名詞,一般,*,*,プロセス,38
8,0,類,名詞,接尾,一般,*,類,51
10,0,エレクトロニクス,名詞,一般,*,*,エレクトロニクス,38
11,0,概論,名詞,サ変接続,*,*,概論,36
12,0,科学,名詞,一般,*,*,科学,38
14,0,技術,名詞,一般,*,*,技術,38
16,0,創造,名詞,サ変接続,*,*,創造,36
17,0,プロセス,名詞,一般,*,*,プロセス,38
20,0,類,名詞,接尾,一般,*,類,51
22,0,エレクトロニクス,名詞,一般,*,*,エレクトロニクス,38
23,0,概論,名詞,サ変接続,*,*,概論,36
24,0,科学,名詞,一般,*,*,科学,38
26,0,技術,名詞,一般,*,*,技術,38
28,0,創造,名詞,サ変接続,*,*,創造,36
29,0,プロセス,名詞,一般,*,*,プロセス,38
32,0,類,名詞,接尾,一般,*,類,51
34,0,エレクトロニクス,名詞,一般,*,*,エレクトロニクス,38
35,0,概論,名詞,サ変接続,*,*,概論,36
36,0,科学,名詞,一般,*,*,科学,38
38,0,技術,名詞,一般,*,*,技術,38
40,0,創造,名詞,サ変接続,*,*,創造,36
41,0,プロセス,名詞,一般,*,*,プロセス,38
44,0,類,名詞,接尾,一般,*,類,51
46,0,エレクトロニクス,名詞,一般,*,*,エレクトロニクス,38
47,0,概論,名詞,サ変接続,*,*,概論,36
48,0,科学,名詞,一般,*,*,科学,38
50,0,技術,名詞,一般,*,*,技術,38
52,0,創造,名詞,サ変接続,*,*,創造,36
53,0,プロセス,名詞,一般,*,*,プロセス,38
56,0,類,名詞,接尾,一般,*,類,51
58,0,エレクトロニクス,名詞,一般,*,*,エレクトロニクス,38
59,0,概論,名詞,サ変接続,*,*,概論,36
60,0,科学,名詞,一般,*,*,科学,38
62,0,技術,名詞,一般,*,*,技術,38
64,0,創造,名詞,サ変接続,*,*,創造,36
65,0,プロセス,名詞,一般,*,*,プロセス,38
68,0,類,名詞,接尾,一般,*,類,51
70,0,科学,名詞,一般,*,*,科学,38
72,0,技術,名詞,一般,*,*,技術,38
74,0,創造,名詞,サ変接続,*,*,創造,36
75,0,プロセス,名詞,一般,*,*,プロセス,38
78,0,類,名詞,接尾,一般,*,類,51
80,0,エレクトロニクス,名詞,一般,*,*,エレクトロニクス,38
81,0,概論,名詞,サ変接続,*,*,概論,36
82,0,科学,名詞,一般,*,*,科学,38
84,0,技術,名詞,一般,*,*,技術,38
86,0,創造,名詞,サ変接続,*,*,創造,36
87,0,プロセス,名詞,一般,*,*,プロセス,38
90,0,類,名詞,接尾,一般,*,類,51
92,0,エレクトロニクス,名詞,一般,*,*,エレクトロニクス,38
93,0,概論,名詞,サ変接続,*,*,概論,36
94,0,科学,名詞,一般,*,*,科学,38
96,0,技術,名詞,一般,*,*,技術,38
98,0,創造,名詞,サ変接続,*,*,創造,36
99,0,プロセス,名詞,一般,*,*,プロセス,38
102,0,類,名詞,接尾,一般,*,類,51
104,0,エレクトロニクス,名詞,一般,*,*,エレクトロニクス,38
105,0,概論,名詞,サ変接続,*,*,概論,36
106,0,科学,名詞,一般,*,*,科学,38
108,0,技術,名詞,一般,*,*,技術,38
110,0,創造,名詞,サ変接続,*,*,創造,36
111,0,プロセス,名詞,一般,*,*,プロセス,38
114,0,類,名詞,接尾,一般,*,類,51
116,0,科学,名詞,一般,*,*,科学,38
118,0,技術,名詞,一般,*,*,技術,38
120,0,創造,名詞,サ変接続,*,*,創造,36
121,0,プロセス,名詞,一般,*,*,プロセス,38
124,0,類,名詞,接尾,一般,*,類,51
126,0,エレクトロニクス,名詞,一般,*,*,エレクトロニクス,38
127,0,概論,名詞,サ変接続,*,*,概論,36
128,0,科学,名詞,一般,*,*,科学,38
130,0,技術,名詞,一般,*,*,技術,38
132,0,創造,名詞,サ変接続,*,*,創造,36
133,0,プロセス,名詞,一般,*,*,プロセス,38
136,0,類,名詞,接尾,一般,*,類,51
138,0,エレクトロニクス,名詞,一般,*,*,エレクトロニクス,38
139,0,概論,名詞,サ変接続,*,*,概論,36
140,0,科学,名詞,一般,*,*,科学,38
142,0,技術,名詞,一般,*,*,技術,38
144,0,創造,名詞,サ変接続,*,*,創造,36
145,0,プロセス,名詞,一般,*,*,プロセス,38
148,0,類,名詞,接尾,一般,*,類,51
150,0,エレクトロニクス,名詞,一般,*,*,エレクトロニクス,38
151,0,概論,名詞,サ変接続,*,*,概論,36
152,0,科学,名詞,一般,*,*,科学,38
154,0,技術,名詞,一般,*,*,技術,38
156,0,創造,名詞,サ変接続,*,*,創造,36
157,0,プロセス,名詞,一般,*,*,プロセス,38
160,0,類,名詞,接尾,一般,*,類,51
162,0,科学,名詞,一般,*,*,科学,38
164,0,技術,名詞,一般,*,*,技術,38
166,0,創造,名詞,サ変接続,*,*,創造,36
167,0,プロセス,名詞,一般,*,*,プロセス,38
170,0,類,名詞,接尾,一般,*,類,51
172,0,エレクトロニクス,名詞,一般,*,*,エレクトロニクス,38
173,0,概論,名詞,サ変接続,*,*,概論,36
