,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,電磁波,名詞,一般,*,*,電磁波,38
1,0,電磁波,名詞,一般,*,*,電磁波,38
3,0,係る,動詞,自立,*,*,係る,31
6,0,波,名詞,一般,*,*,波,38
8,0,偏波,名詞,固有名詞,一般,*,偏波,41
10,0,減衰,名詞,サ変接続,*,*,減衰,36
12,0,反射,名詞,サ変接続,*,*,反射,36
14,0,回折,名詞,サ変接続,*,*,回折,36
16,0,測定,名詞,サ変接続,*,*,測定,36
21,0,結果,名詞,副詞可能,*,*,結果,67
23,0,説明,名詞,サ変接続,*,*,説明,36
24,0,できる,動詞,自立,*,*,できる,31
26,0,分布定数回路,名詞,固有名詞,一般,*,分布定数回路,41
27,0,同軸,名詞,一般,*,*,同軸,38
28,0,線,名詞,接尾,一般,*,線,51
29,0,路上,名詞,一般,*,*,路上,38
33,0,波,名詞,一般,*,*,波,38
35,0,計測,名詞,サ変接続,*,*,計測,36
39,0,結果,名詞,副詞可能,*,*,結果,67
41,0,説明,名詞,サ変接続,*,*,説明,36
42,0,できる,動詞,自立,*,*,できる,31
44,0,高周波回路,名詞,固有名詞,一般,*,高周波回路,41
45,0,高周波,名詞,一般,*,*,高周波,38
46,0,増幅回路,名詞,固有名詞,一般,*,増幅回路,41
48,0,設計,名詞,サ変接続,*,*,設計,36
51,0,シミュレータ,名詞,一般,*,*,シミュレータ,38
53,0,ベクトル,名詞,一般,*,*,ベクトル,38
54,0,ネットワークアナライザ,名詞,固有名詞,一般,*,ネットワーク・アナライザ,41
56,0,用い,動詞,自立,*,*,用いる,31
59,0,パラ,名詞,固有名詞,一般,*,PARA,41
61,0,測定,名詞,サ変接続,*,*,測定,36
63,0,特性,名詞,一般,*,*,特性,38
65,0,説明,名詞,サ変接続,*,*,説明,36
66,0,できる,動詞,自立,*,*,できる,31
68,0,電気,名詞,一般,*,*,電気,38
69,0,電子材料,名詞,固有名詞,一般,*,電子材料,41
70,0,誘電体,名詞,固有名詞,一般,*,誘電体,41
72,0,液晶,名詞,一般,*,*,液晶,38
75,0,分極,名詞,サ変接続,*,*,分極,36
76,0,特性,名詞,一般,*,*,特性,38
78,0,測定,名詞,サ変接続,*,*,測定,36
81,0,現象,名詞,一般,*,*,現象,38
83,0,説明,名詞,サ変接続,*,*,説明,36
84,0,できる,動詞,自立,*,*,できる,31
86,0,制御システム,名詞,固有名詞,一般,*,制御システム,41
88,0,設計,名詞,サ変接続,*,*,設計,36
91,0,応用,名詞,サ変接続,*,*,応用,36
92,0,MATLAB,名詞,固有名詞,一般,*,MATLAB,41
94,0,Simulink,名詞,固有名詞,一般,*,Simulink,41
96,0,用い,動詞,自立,*,*,用いる,31
98,0,制御,名詞,サ変接続,*,*,制御,36
99,0,系,名詞,接尾,一般,*,系,51
101,0,設計,名詞,サ変接続,*,*,設計,36
103,0,システムシミュレーション,名詞,固有名詞,一般,*,システム・シミュレーション,41
105,0,行い,動詞,自立,*,*,行う,31
107,0,機器,名詞,一般,*,*,機器,38
109,0,制御,名詞,サ変接続,*,*,制御,36
110,0,できる,動詞,自立,*,*,できる,31
112,0,電磁波,名詞,一般,*,*,電磁波,38
113,0,電磁波,名詞,一般,*,*,電磁波,38
115,0,係る,動詞,自立,*,*,係る,31
118,0,波,名詞,一般,*,*,波,38
120,0,偏波,名詞,固有名詞,一般,*,偏波,41
122,0,減衰,名詞,サ変接続,*,*,減衰,36
124,0,反射,名詞,サ変接続,*,*,反射,36
126,0,回折,名詞,サ変接続,*,*,回折,36
128,0,測定,名詞,サ変接続,*,*,測定,36
133,0,結果,名詞,副詞可能,*,*,結果,67
135,0,説明,名詞,サ変接続,*,*,説明,36
136,0,できる,動詞,自立,*,*,できる,31
138,0,分布定数回路,名詞,固有名詞,一般,*,分布定数回路,41
139,0,同軸,名詞,一般,*,*,同軸,38
140,0,線,名詞,接尾,一般,*,線,51
141,0,路上,名詞,一般,*,*,路上,38
145,0,波,名詞,一般,*,*,波,38
147,0,計測,名詞,サ変接続,*,*,計測,36
151,0,結果,名詞,副詞可能,*,*,結果,67
153,0,説明,名詞,サ変接続,*,*,説明,36
154,0,できる,動詞,自立,*,*,できる,31
156,0,高周波回路,名詞,固有名詞,一般,*,高周波回路,41
157,0,高周波,名詞,一般,*,*,高周波,38
158,0,増幅回路,名詞,固有名詞,一般,*,増幅回路,41
160,0,設計,名詞,サ変接続,*,*,設計,36
163,0,シミュレータ,名詞,一般,*,*,シミュレータ,38
165,0,ベクトル,名詞,一般,*,*,ベクトル,38
166,0,ネットワークアナライザ,名詞,固有名詞,一般,*,ネットワーク・アナライザ,41
168,0,用い,動詞,自立,*,*,用いる,31
171,0,パラ,名詞,固有名詞,一般,*,PARA,41
173,0,測定,名詞,サ変接続,*,*,測定,36
175,0,特性,名詞,一般,*,*,特性,38
177,0,説明,名詞,サ変接続,*,*,説明,36
178,0,できる,動詞,自立,*,*,できる,31
180,0,電気,名詞,一般,*,*,電気,38
181,0,電子材料,名詞,固有名詞,一般,*,電子材料,41
182,0,誘電体,名詞,固有名詞,一般,*,誘電体,41
184,0,液晶,名詞,一般,*,*,液晶,38
187,0,分極,名詞,サ変接続,*,*,分極,36
188,0,特性,名詞,一般,*,*,特性,38
190,0,測定,名詞,サ変接続,*,*,測定,36
193,0,現象,名詞,一般,*,*,現象,38
195,0,説明,名詞,サ変接続,*,*,説明,36
196,0,できる,動詞,自立,*,*,できる,31
198,0,制御システム,名詞,固有名詞,一般,*,制御システム,41
200,0,設計,名詞,サ変接続,*,*,設計,36
203,0,応用,名詞,サ変接続,*,*,応用,36
204,0,MATLAB,名詞,固有名詞,一般,*,MATLAB,41
206,0,Simulink,名詞,固有名詞,一般,*,Simulink,41
208,0,用い,動詞,自立,*,*,用いる,31
210,0,制御,名詞,サ変接続,*,*,制御,36
211,0,系,名詞,接尾,一般,*,系,51
213,0,設計,名詞,サ変接続,*,*,設計,36
215,0,システムシミュレーション,名詞,固有名詞,一般,*,システム・シミュレーション,41
217,0,行い,動詞,自立,*,*,行う,31
219,0,機器,名詞,一般,*,*,機器,38
221,0,制御,名詞,サ変接続,*,*,制御,36
222,0,できる,動詞,自立,*,*,できる,31
224,0,電磁波,名詞,一般,*,*,電磁波,38
225,0,電磁波,名詞,一般,*,*,電磁波,38
227,0,係る,動詞,自立,*,*,係る,31
230,0,波,名詞,一般,*,*,波,38
232,0,偏波,名詞,固有名詞,一般,*,偏波,41
234,0,減衰,名詞,サ変接続,*,*,減衰,36
236,0,反射,名詞,サ変接続,*,*,反射,36
238,0,回折,名詞,サ変接続,*,*,回折,36
240,0,測定,名詞,サ変接続,*,*,測定,36
245,0,結果,名詞,副詞可能,*,*,結果,67
247,0,説明,名詞,サ変接続,*,*,説明,36
248,0,できる,動詞,自立,*,*,できる,31
250,0,分布定数回路,名詞,固有名詞,一般,*,分布定数回路,41
251,0,同軸,名詞,一般,*,*,同軸,38
252,0,線,名詞,接尾,一般,*,線,51
253,0,路上,名詞,一般,*,*,路上,38
257,0,波,名詞,一般,*,*,波,38
259,0,計測,名詞,サ変接続,*,*,計測,36
263,0,結果,名詞,副詞可能,*,*,結果,67
265,0,説明,名詞,サ変接続,*,*,説明,36
266,0,できる,動詞,自立,*,*,できる,31
268,0,高周波回路,名詞,固有名詞,一般,*,高周波回路,41
269,0,高周波,名詞,一般,*,*,高周波,38
270,0,増幅回路,名詞,固有名詞,一般,*,増幅回路,41
272,0,設計,名詞,サ変接続,*,*,設計,36
275,0,シミュレータ,名詞,一般,*,*,シミュレータ,38
277,0,ベクトル,名詞,一般,*,*,ベクトル,38
278,0,ネットワークアナライザ,名詞,固有名詞,一般,*,ネットワーク・アナライザ,41
280,0,用い,動詞,自立,*,*,用いる,31
283,0,パラ,名詞,固有名詞,一般,*,PARA,41
285,0,測定,名詞,サ変接続,*,*,測定,36
287,0,特性,名詞,一般,*,*,特性,38
289,0,説明,名詞,サ変接続,*,*,説明,36
290,0,できる,動詞,自立,*,*,できる,31
292,0,電気,名詞,一般,*,*,電気,38
293,0,電子材料,名詞,固有名詞,一般,*,電子材料,41
294,0,誘電体,名詞,固有名詞,一般,*,誘電体,41
