,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,電気,名詞,一般,*,*,電気,38
1,0,機器,名詞,一般,*,*,機器,38
2,0,工学,名詞,一般,*,*,工学,38
3,0,パワーエレクトロニクス,名詞,固有名詞,一般,*,パワーエレクトロニクス,41
4,0,電気回路,名詞,固有名詞,一般,*,電気回路,41
7,0,計算,名詞,サ変接続,*,*,計算,36
8,0,アルゴリズム,名詞,一般,*,*,アルゴリズム,38
10,0,プログラミング,名詞,サ変接続,*,*,プログラミング,36
11,0,離散,名詞,サ変接続,*,*,離散,36
12,0,時間,名詞,副詞可能,*,*,時間,67
13,0,システム,名詞,一般,*,*,システム,38
14,0,通信,名詞,サ変接続,*,*,通信,36
15,0,理論,名詞,一般,*,*,理論,38
17,0,電気,名詞,一般,*,*,電気,38
18,0,電子,名詞,一般,*,*,電子,38
20,0,信号,名詞,一般,*,*,信号,38
21,0,システム,名詞,一般,*,*,システム,38
22,0,デジタル回路,名詞,固有名詞,一般,*,デジタル回路,41
23,0,電子,名詞,一般,*,*,電子,38
24,0,デバイス,名詞,一般,*,*,デバイス,38
27,0,電子,名詞,一般,*,*,電子,38
28,0,デバイス,名詞,一般,*,*,デバイス,38
31,0,電気,名詞,一般,*,*,電気,38
32,0,機器,名詞,一般,*,*,機器,38
33,0,工学,名詞,一般,*,*,工学,38
34,0,パワーエレクトロニクス,名詞,固有名詞,一般,*,パワーエレクトロニクス,41
35,0,電気回路,名詞,固有名詞,一般,*,電気回路,41
38,0,計算,名詞,サ変接続,*,*,計算,36
39,0,アルゴリズム,名詞,一般,*,*,アルゴリズム,38
41,0,プログラミング,名詞,サ変接続,*,*,プログラミング,36
42,0,離散,名詞,サ変接続,*,*,離散,36
43,0,時間,名詞,副詞可能,*,*,時間,67
44,0,システム,名詞,一般,*,*,システム,38
45,0,通信,名詞,サ変接続,*,*,通信,36
46,0,理論,名詞,一般,*,*,理論,38
48,0,電気,名詞,一般,*,*,電気,38
49,0,電子,名詞,一般,*,*,電子,38
51,0,信号,名詞,一般,*,*,信号,38
52,0,システム,名詞,一般,*,*,システム,38
53,0,デジタル回路,名詞,固有名詞,一般,*,デジタル回路,41
54,0,電子,名詞,一般,*,*,電子,38
55,0,デバイス,名詞,一般,*,*,デバイス,38
58,0,電子,名詞,一般,*,*,電子,38
59,0,デバイス,名詞,一般,*,*,デバイス,38
