,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,文章,名詞,一般,*,*,文章,38
1,0,作成,名詞,サ変接続,*,*,作成,36
2,0,図表,名詞,一般,*,*,図表,38
3,0,作成,名詞,サ変接続,*,*,作成,36
4,0,発表,名詞,サ変接続,*,*,発表,36
5,0,技術,名詞,一般,*,*,技術,38
6,0,情報検索,名詞,固有名詞,一般,*,情報検索,41
7,0,文章,名詞,一般,*,*,文章,38
8,0,作成,名詞,サ変接続,*,*,作成,36
9,0,図表,名詞,一般,*,*,図表,38
10,0,作成,名詞,サ変接続,*,*,作成,36
11,0,発表,名詞,サ変接続,*,*,発表,36
12,0,技術,名詞,一般,*,*,技術,38
13,0,情報検索,名詞,固有名詞,一般,*,情報検索,41
14,0,文章,名詞,一般,*,*,文章,38
15,0,作成,名詞,サ変接続,*,*,作成,36
16,0,図表,名詞,一般,*,*,図表,38
17,0,作成,名詞,サ変接続,*,*,作成,36
18,0,発表,名詞,サ変接続,*,*,発表,36
19,0,技術,名詞,一般,*,*,技術,38
20,0,情報検索,名詞,固有名詞,一般,*,情報検索,41
21,0,文章,名詞,一般,*,*,文章,38
22,0,作成,名詞,サ変接続,*,*,作成,36
23,0,図表,名詞,一般,*,*,図表,38
24,0,作成,名詞,サ変接続,*,*,作成,36
25,0,発表,名詞,サ変接続,*,*,発表,36
26,0,技術,名詞,一般,*,*,技術,38
27,0,情報検索,名詞,固有名詞,一般,*,情報検索,41
28,0,文章,名詞,一般,*,*,文章,38
29,0,作成,名詞,サ変接続,*,*,作成,36
30,0,図表,名詞,一般,*,*,図表,38
31,0,作成,名詞,サ変接続,*,*,作成,36
32,0,発表,名詞,サ変接続,*,*,発表,36
33,0,技術,名詞,一般,*,*,技術,38
34,0,情報検索,名詞,固有名詞,一般,*,情報検索,41
