,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,差分,名詞,一般,*,*,差分,38
1,0,方程式,名詞,一般,*,*,方程式,38
2,0,線形,名詞,一般,*,*,線形,38
4,0,不変,名詞,一般,*,*,不変,38
5,0,システム,名詞,一般,*,*,システム,38
6,0,たたみ,動詞,自立,*,*,たたむ,31
9,0,変換,名詞,サ変接続,*,*,変換,36
10,0,逆,名詞,一般,*,*,逆,38
12,0,変換,名詞,サ変接続,*,*,変換,36
13,0,伝達関数,名詞,固有名詞,一般,*,伝達関数,41
14,0,周波数特性,名詞,固有名詞,一般,*,周波数特性,41
15,0,FIR,名詞,固有名詞,一般,*,FIR,41
16,0,フィルタ,名詞,一般,*,*,フィルタ,38
17,0,IIR,名詞,固有名詞,一般,*,IIR,41
18,0,フィルタ,名詞,一般,*,*,フィルタ,38
21,0,z変換,名詞,固有名詞,一般,*,z変換,41
22,0,デジタル,名詞,一般,*,*,デジタル,38
23,0,フィルタ,名詞,一般,*,*,フィルタ,38
24,0,デジタル信号処理,名詞,固有名詞,一般,*,デジタル信号処理,41
25,0,システム,名詞,一般,*,*,システム,38
27,0,安定性,名詞,固有名詞,一般,*,安定性,41
28,0,差分,名詞,一般,*,*,差分,38
29,0,方程式,名詞,一般,*,*,方程式,38
30,0,線形,名詞,一般,*,*,線形,38
32,0,不変,名詞,一般,*,*,不変,38
33,0,システム,名詞,一般,*,*,システム,38
34,0,たたみ,動詞,自立,*,*,たたむ,31
37,0,変換,名詞,サ変接続,*,*,変換,36
38,0,逆,名詞,一般,*,*,逆,38
40,0,変換,名詞,サ変接続,*,*,変換,36
41,0,伝達関数,名詞,固有名詞,一般,*,伝達関数,41
42,0,周波数特性,名詞,固有名詞,一般,*,周波数特性,41
43,0,FIR,名詞,固有名詞,一般,*,FIR,41
44,0,フィルタ,名詞,一般,*,*,フィルタ,38
45,0,IIR,名詞,固有名詞,一般,*,IIR,41
46,0,フィルタ,名詞,一般,*,*,フィルタ,38
49,0,z変換,名詞,固有名詞,一般,*,z変換,41
50,0,デジタル,名詞,一般,*,*,デジタル,38
51,0,フィルタ,名詞,一般,*,*,フィルタ,38
52,0,デジタル信号処理,名詞,固有名詞,一般,*,デジタル信号処理,41
53,0,システム,名詞,一般,*,*,システム,38
55,0,安定性,名詞,固有名詞,一般,*,安定性,41
56,0,差分,名詞,一般,*,*,差分,38
57,0,方程式,名詞,一般,*,*,方程式,38
58,0,線形,名詞,一般,*,*,線形,38
60,0,不変,名詞,一般,*,*,不変,38
61,0,システム,名詞,一般,*,*,システム,38
62,0,たたみ,動詞,自立,*,*,たたむ,31
65,0,変換,名詞,サ変接続,*,*,変換,36
66,0,逆,名詞,一般,*,*,逆,38
68,0,変換,名詞,サ変接続,*,*,変換,36
69,0,伝達関数,名詞,固有名詞,一般,*,伝達関数,41
70,0,周波数特性,名詞,固有名詞,一般,*,周波数特性,41
71,0,FIR,名詞,固有名詞,一般,*,FIR,41
72,0,フィルタ,名詞,一般,*,*,フィルタ,38
73,0,IIR,名詞,固有名詞,一般,*,IIR,41
74,0,フィルタ,名詞,一般,*,*,フィルタ,38
77,0,z変換,名詞,固有名詞,一般,*,z変換,41
78,0,デジタル,名詞,一般,*,*,デジタル,38
79,0,フィルタ,名詞,一般,*,*,フィルタ,38
80,0,デジタル信号処理,名詞,固有名詞,一般,*,デジタル信号処理,41
81,0,システム,名詞,一般,*,*,システム,38
83,0,安定性,名詞,固有名詞,一般,*,安定性,41
84,0,差分,名詞,一般,*,*,差分,38
85,0,方程式,名詞,一般,*,*,方程式,38
86,0,線形,名詞,一般,*,*,線形,38
88,0,不変,名詞,一般,*,*,不変,38
89,0,システム,名詞,一般,*,*,システム,38
90,0,たたみ,動詞,自立,*,*,たたむ,31
93,0,変換,名詞,サ変接続,*,*,変換,36
94,0,逆,名詞,一般,*,*,逆,38
96,0,変換,名詞,サ変接続,*,*,変換,36
97,0,伝達関数,名詞,固有名詞,一般,*,伝達関数,41
98,0,周波数特性,名詞,固有名詞,一般,*,周波数特性,41
99,0,FIR,名詞,固有名詞,一般,*,FIR,41
100,0,フィルタ,名詞,一般,*,*,フィルタ,38
101,0,IIR,名詞,固有名詞,一般,*,IIR,41
102,0,フィルタ,名詞,一般,*,*,フィルタ,38
105,0,z変換,名詞,固有名詞,一般,*,z変換,41
106,0,デジタル,名詞,一般,*,*,デジタル,38
107,0,フィルタ,名詞,一般,*,*,フィルタ,38
108,0,デジタル信号処理,名詞,固有名詞,一般,*,デジタル信号処理,41
109,0,システム,名詞,一般,*,*,システム,38
111,0,安定性,名詞,固有名詞,一般,*,安定性,41
112,0,差分,名詞,一般,*,*,差分,38
113,0,方程式,名詞,一般,*,*,方程式,38
114,0,線形,名詞,一般,*,*,線形,38
116,0,不変,名詞,一般,*,*,不変,38
117,0,システム,名詞,一般,*,*,システム,38
118,0,たたみ,動詞,自立,*,*,たたむ,31
121,0,変換,名詞,サ変接続,*,*,変換,36
122,0,逆,名詞,一般,*,*,逆,38
124,0,変換,名詞,サ変接続,*,*,変換,36
125,0,伝達関数,名詞,固有名詞,一般,*,伝達関数,41
126,0,周波数特性,名詞,固有名詞,一般,*,周波数特性,41
127,0,FIR,名詞,固有名詞,一般,*,FIR,41
128,0,フィルタ,名詞,一般,*,*,フィルタ,38
129,0,IIR,名詞,固有名詞,一般,*,IIR,41
130,0,フィルタ,名詞,一般,*,*,フィルタ,38
133,0,z変換,名詞,固有名詞,一般,*,z変換,41
134,0,デジタル,名詞,一般,*,*,デジタル,38
135,0,フィルタ,名詞,一般,*,*,フィルタ,38
136,0,デジタル信号処理,名詞,固有名詞,一般,*,デジタル信号処理,41
137,0,システム,名詞,一般,*,*,システム,38
139,0,安定性,名詞,固有名詞,一般,*,安定性,41
