,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,周波数,名詞,一般,*,*,周波数,38
1,0,制御,名詞,サ変接続,*,*,制御,36
2,0,電圧,名詞,一般,*,*,電圧,38
3,0,制御,名詞,サ変接続,*,*,制御,36
4,0,経済,名詞,一般,*,*,経済,38
5,0,負荷,名詞,サ変接続,*,*,負荷,36
6,0,配分,名詞,サ変接続,*,*,配分,36
7,0,潮流,名詞,一般,*,*,潮流,38
8,0,計算,名詞,サ変接続,*,*,計算,36
9,0,事故,名詞,一般,*,*,事故,38
10,0,波及,名詞,サ変接続,*,*,波及,36
11,0,安定化,名詞,固有名詞,一般,*,安定化,41
12,0,制御,名詞,サ変接続,*,*,制御,36
13,0,信頼度,名詞,固有名詞,一般,*,信頼度,41
14,0,過電圧,名詞,一般,*,*,過電圧,38
15,0,サージ,名詞,一般,*,*,サージ,38
16,0,直流送電,名詞,固有名詞,一般,*,直流送電,41
17,0,周波数,名詞,一般,*,*,周波数,38
18,0,制御,名詞,サ変接続,*,*,制御,36
19,0,電圧,名詞,一般,*,*,電圧,38
20,0,制御,名詞,サ変接続,*,*,制御,36
21,0,経済,名詞,一般,*,*,経済,38
22,0,負荷,名詞,サ変接続,*,*,負荷,36
23,0,配分,名詞,サ変接続,*,*,配分,36
24,0,潮流,名詞,一般,*,*,潮流,38
25,0,計算,名詞,サ変接続,*,*,計算,36
26,0,事故,名詞,一般,*,*,事故,38
27,0,波及,名詞,サ変接続,*,*,波及,36
28,0,安定化,名詞,固有名詞,一般,*,安定化,41
29,0,制御,名詞,サ変接続,*,*,制御,36
30,0,信頼度,名詞,固有名詞,一般,*,信頼度,41
31,0,過電圧,名詞,一般,*,*,過電圧,38
32,0,サージ,名詞,一般,*,*,サージ,38
33,0,直流送電,名詞,固有名詞,一般,*,直流送電,41
34,0,周波数,名詞,一般,*,*,周波数,38
35,0,制御,名詞,サ変接続,*,*,制御,36
36,0,電圧,名詞,一般,*,*,電圧,38
37,0,制御,名詞,サ変接続,*,*,制御,36
38,0,経済,名詞,一般,*,*,経済,38
39,0,負荷,名詞,サ変接続,*,*,負荷,36
40,0,配分,名詞,サ変接続,*,*,配分,36
41,0,潮流,名詞,一般,*,*,潮流,38
42,0,計算,名詞,サ変接続,*,*,計算,36
43,0,事故,名詞,一般,*,*,事故,38
44,0,波及,名詞,サ変接続,*,*,波及,36
45,0,安定化,名詞,固有名詞,一般,*,安定化,41
46,0,制御,名詞,サ変接続,*,*,制御,36
47,0,信頼度,名詞,固有名詞,一般,*,信頼度,41
48,0,過電圧,名詞,一般,*,*,過電圧,38
49,0,サージ,名詞,一般,*,*,サージ,38
50,0,直流送電,名詞,固有名詞,一般,*,直流送電,41
51,0,周波数,名詞,一般,*,*,周波数,38
52,0,制御,名詞,サ変接続,*,*,制御,36
53,0,電圧,名詞,一般,*,*,電圧,38
54,0,制御,名詞,サ変接続,*,*,制御,36
55,0,経済,名詞,一般,*,*,経済,38
56,0,負荷,名詞,サ変接続,*,*,負荷,36
57,0,配分,名詞,サ変接続,*,*,配分,36
58,0,潮流,名詞,一般,*,*,潮流,38
59,0,計算,名詞,サ変接続,*,*,計算,36
60,0,事故,名詞,一般,*,*,事故,38
61,0,波及,名詞,サ変接続,*,*,波及,36
62,0,安定化,名詞,固有名詞,一般,*,安定化,41
63,0,制御,名詞,サ変接続,*,*,制御,36
64,0,信頼度,名詞,固有名詞,一般,*,信頼度,41
65,0,過電圧,名詞,一般,*,*,過電圧,38
66,0,サージ,名詞,一般,*,*,サージ,38
67,0,直流送電,名詞,固有名詞,一般,*,直流送電,41
68,0,周波数,名詞,一般,*,*,周波数,38
69,0,制御,名詞,サ変接続,*,*,制御,36
70,0,電圧,名詞,一般,*,*,電圧,38
71,0,制御,名詞,サ変接続,*,*,制御,36
72,0,経済,名詞,一般,*,*,経済,38
73,0,負荷,名詞,サ変接続,*,*,負荷,36
74,0,配分,名詞,サ変接続,*,*,配分,36
75,0,潮流,名詞,一般,*,*,潮流,38
76,0,計算,名詞,サ変接続,*,*,計算,36
77,0,事故,名詞,一般,*,*,事故,38
78,0,波及,名詞,サ変接続,*,*,波及,36
79,0,安定化,名詞,固有名詞,一般,*,安定化,41
80,0,制御,名詞,サ変接続,*,*,制御,36
81,0,信頼度,名詞,固有名詞,一般,*,信頼度,41
82,0,過電圧,名詞,一般,*,*,過電圧,38
83,0,サージ,名詞,一般,*,*,サージ,38
84,0,直流送電,名詞,固有名詞,一般,*,直流送電,41
85,0,周波数,名詞,一般,*,*,周波数,38
86,0,制御,名詞,サ変接続,*,*,制御,36
87,0,電圧,名詞,一般,*,*,電圧,38
88,0,制御,名詞,サ変接続,*,*,制御,36
89,0,経済,名詞,一般,*,*,経済,38
90,0,負荷,名詞,サ変接続,*,*,負荷,36
91,0,配分,名詞,サ変接続,*,*,配分,36
92,0,潮流,名詞,一般,*,*,潮流,38
93,0,計算,名詞,サ変接続,*,*,計算,36
94,0,事故,名詞,一般,*,*,事故,38
95,0,波及,名詞,サ変接続,*,*,波及,36
96,0,安定化,名詞,固有名詞,一般,*,安定化,41
97,0,制御,名詞,サ変接続,*,*,制御,36
98,0,信頼度,名詞,固有名詞,一般,*,信頼度,41
99,0,過電圧,名詞,一般,*,*,過電圧,38
100,0,サージ,名詞,一般,*,*,サージ,38
101,0,直流送電,名詞,固有名詞,一般,*,直流送電,41
102,0,周波数,名詞,一般,*,*,周波数,38
103,0,制御,名詞,サ変接続,*,*,制御,36
104,0,電圧,名詞,一般,*,*,電圧,38
105,0,制御,名詞,サ変接続,*,*,制御,36
106,0,経済,名詞,一般,*,*,経済,38
107,0,負荷,名詞,サ変接続,*,*,負荷,36
108,0,配分,名詞,サ変接続,*,*,配分,36
109,0,潮流,名詞,一般,*,*,潮流,38
110,0,計算,名詞,サ変接続,*,*,計算,36
111,0,事故,名詞,一般,*,*,事故,38
112,0,波及,名詞,サ変接続,*,*,波及,36
113,0,安定化,名詞,固有名詞,一般,*,安定化,41
114,0,制御,名詞,サ変接続,*,*,制御,36
115,0,信頼度,名詞,固有名詞,一般,*,信頼度,41
116,0,過電圧,名詞,一般,*,*,過電圧,38
117,0,サージ,名詞,一般,*,*,サージ,38
118,0,直流送電,名詞,固有名詞,一般,*,直流送電,41
119,0,周波数,名詞,一般,*,*,周波数,38
120,0,制御,名詞,サ変接続,*,*,制御,36
121,0,電圧,名詞,一般,*,*,電圧,38
122,0,制御,名詞,サ変接続,*,*,制御,36
123,0,経済,名詞,一般,*,*,経済,38
124,0,負荷,名詞,サ変接続,*,*,負荷,36
125,0,配分,名詞,サ変接続,*,*,配分,36
126,0,潮流,名詞,一般,*,*,潮流,38
127,0,計算,名詞,サ変接続,*,*,計算,36
128,0,事故,名詞,一般,*,*,事故,38
129,0,波及,名詞,サ変接続,*,*,波及,36
130,0,安定化,名詞,固有名詞,一般,*,安定化,41
131,0,制御,名詞,サ変接続,*,*,制御,36
132,0,信頼度,名詞,固有名詞,一般,*,信頼度,41
133,0,過電圧,名詞,一般,*,*,過電圧,38
134,0,サージ,名詞,一般,*,*,サージ,38
135,0,直流送電,名詞,固有名詞,一般,*,直流送電,41
136,0,周波数,名詞,一般,*,*,周波数,38
137,0,制御,名詞,サ変接続,*,*,制御,36
138,0,電圧,名詞,一般,*,*,電圧,38
139,0,制御,名詞,サ変接続,*,*,制御,36
140,0,経済,名詞,一般,*,*,経済,38
141,0,負荷,名詞,サ変接続,*,*,負荷,36
142,0,配分,名詞,サ変接続,*,*,配分,36
143,0,潮流,名詞,一般,*,*,潮流,38
144,0,計算,名詞,サ変接続,*,*,計算,36
145,0,事故,名詞,一般,*,*,事故,38
146,0,波及,名詞,サ変接続,*,*,波及,36
147,0,安定化,名詞,固有名詞,一般,*,安定化,41
148,0,制御,名詞,サ変接続,*,*,制御,36
149,0,信頼度,名詞,固有名詞,一般,*,信頼度,41
150,0,過電圧,名詞,一般,*,*,過電圧,38
151,0,サージ,名詞,一般,*,*,サージ,38
152,0,直流送電,名詞,固有名詞,一般,*,直流送電,41
153,0,周波数,名詞,一般,*,*,周波数,38
154,0,制御,名詞,サ変接続,*,*,制御,36
155,0,電圧,名詞,一般,*,*,電圧,38
156,0,制御,名詞,サ変接続,*,*,制御,36
157,0,経済,名詞,一般,*,*,経済,38
158,0,負荷,名詞,サ変接続,*,*,負荷,36
159,0,配分,名詞,サ変接続,*,*,配分,36
160,0,潮流,名詞,一般,*,*,潮流,38
161,0,計算,名詞,サ変接続,*,*,計算,36
162,0,事故,名詞,一般,*,*,事故,38
163,0,波及,名詞,サ変接続,*,*,波及,36
164,0,安定化,名詞,固有名詞,一般,*,安定化,41
165,0,制御,名詞,サ変接続,*,*,制御,36
166,0,信頼度,名詞,固有名詞,一般,*,信頼度,41
167,0,過電圧,名詞,一般,*,*,過電圧,38
168,0,サージ,名詞,一般,*,*,サージ,38
169,0,直流送電,名詞,固有名詞,一般,*,直流送電,41
