,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,電力工学,名詞,固有名詞,一般,*,電力工学,41
3,0,電力工学,名詞,固有名詞,一般,*,電力工学,41
6,0,電力,名詞,一般,*,*,電力,38
7,0,エネルギー変換,名詞,固有名詞,一般,*,エネルギー変換,41
8,0,工学,名詞,一般,*,*,工学,38
9,0,電子,名詞,一般,*,*,電子,38
10,0,計測,名詞,サ変接続,*,*,計測,36
11,0,電力工学,名詞,固有名詞,一般,*,電力工学,41
14,0,電力工学,名詞,固有名詞,一般,*,電力工学,41
17,0,電力,名詞,一般,*,*,電力,38
18,0,エネルギー変換,名詞,固有名詞,一般,*,エネルギー変換,41
19,0,工学,名詞,一般,*,*,工学,38
20,0,電子,名詞,一般,*,*,電子,38
21,0,計測,名詞,サ変接続,*,*,計測,36
22,0,電力工学,名詞,固有名詞,一般,*,電力工学,41
25,0,電力工学,名詞,固有名詞,一般,*,電力工学,41
28,0,電力,名詞,一般,*,*,電力,38
29,0,エネルギー変換,名詞,固有名詞,一般,*,エネルギー変換,41
30,0,工学,名詞,一般,*,*,工学,38
31,0,電子,名詞,一般,*,*,電子,38
32,0,計測,名詞,サ変接続,*,*,計測,36
33,0,電力工学,名詞,固有名詞,一般,*,電力工学,41
36,0,電力工学,名詞,固有名詞,一般,*,電力工学,41
39,0,電力,名詞,一般,*,*,電力,38
40,0,エネルギー変換,名詞,固有名詞,一般,*,エネルギー変換,41
41,0,工学,名詞,一般,*,*,工学,38
42,0,電子,名詞,一般,*,*,電子,38
43,0,計測,名詞,サ変接続,*,*,計測,36
44,0,電力工学,名詞,固有名詞,一般,*,電力工学,41
47,0,電力工学,名詞,固有名詞,一般,*,電力工学,41
50,0,電力,名詞,一般,*,*,電力,38
51,0,エネルギー変換,名詞,固有名詞,一般,*,エネルギー変換,41
52,0,工学,名詞,一般,*,*,工学,38
53,0,電子,名詞,一般,*,*,電子,38
54,0,計測,名詞,サ変接続,*,*,計測,36
55,0,電力工学,名詞,固有名詞,一般,*,電力工学,41
58,0,電力工学,名詞,固有名詞,一般,*,電力工学,41
61,0,電力,名詞,一般,*,*,電力,38
62,0,エネルギー変換,名詞,固有名詞,一般,*,エネルギー変換,41
63,0,工学,名詞,一般,*,*,工学,38
64,0,電子,名詞,一般,*,*,電子,38
65,0,計測,名詞,サ変接続,*,*,計測,36
66,0,電力工学,名詞,固有名詞,一般,*,電力工学,41
69,0,電力工学,名詞,固有名詞,一般,*,電力工学,41
72,0,電力,名詞,一般,*,*,電力,38
73,0,エネルギー変換,名詞,固有名詞,一般,*,エネルギー変換,41
74,0,工学,名詞,一般,*,*,工学,38
75,0,電子,名詞,一般,*,*,電子,38
76,0,計測,名詞,サ変接続,*,*,計測,36
77,0,電力工学,名詞,固有名詞,一般,*,電力工学,41
80,0,電力工学,名詞,固有名詞,一般,*,電力工学,41
83,0,電力,名詞,一般,*,*,電力,38
84,0,エネルギー変換,名詞,固有名詞,一般,*,エネルギー変換,41
85,0,工学,名詞,一般,*,*,工学,38
86,0,電子,名詞,一般,*,*,電子,38
87,0,計測,名詞,サ変接続,*,*,計測,36
88,0,電力工学,名詞,固有名詞,一般,*,電力工学,41
91,0,電力工学,名詞,固有名詞,一般,*,電力工学,41
94,0,電力,名詞,一般,*,*,電力,38
95,0,エネルギー変換,名詞,固有名詞,一般,*,エネルギー変換,41
96,0,工学,名詞,一般,*,*,工学,38
97,0,電子,名詞,一般,*,*,電子,38
98,0,計測,名詞,サ変接続,*,*,計測,36
99,0,電力工学,名詞,固有名詞,一般,*,電力工学,41
102,0,電力工学,名詞,固有名詞,一般,*,電力工学,41
105,0,電力,名詞,一般,*,*,電力,38
106,0,エネルギー変換,名詞,固有名詞,一般,*,エネルギー変換,41
107,0,工学,名詞,一般,*,*,工学,38
108,0,電子,名詞,一般,*,*,電子,38
109,0,計測,名詞,サ変接続,*,*,計測,36
