,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,フーリエ変換,名詞,固有名詞,一般,*,フーリエ変換,41
2,0,ラプラス変換,名詞,固有名詞,一般,*,ラプラス変換,41
3,0,応用,名詞,サ変接続,*,*,応用,36
4,0,確率統計,名詞,固有名詞,一般,*,確率・統計,41
5,0,通信,名詞,サ変接続,*,*,通信,36
6,0,理論,名詞,一般,*,*,理論,38
8,0,電気,名詞,一般,*,*,電気,38
9,0,電子,名詞,一般,*,*,電子,38
11,0,光エレクトロニクス,名詞,固有名詞,一般,*,光エレクトロニクス,41
12,0,光デバイス,名詞,固有名詞,一般,*,光デバイス,41
13,0,導,名詞,一般,*,*,導,38
14,0,波路,名詞,一般,*,*,波路,38
15,0,工学,名詞,一般,*,*,工学,38
17,0,電波法,名詞,固有名詞,一般,*,電波法,41
18,0,フーリエ変換,名詞,固有名詞,一般,*,フーリエ変換,41
20,0,ラプラス変換,名詞,固有名詞,一般,*,ラプラス変換,41
21,0,応用,名詞,サ変接続,*,*,応用,36
22,0,確率統計,名詞,固有名詞,一般,*,確率・統計,41
23,0,通信,名詞,サ変接続,*,*,通信,36
24,0,理論,名詞,一般,*,*,理論,38
26,0,電気,名詞,一般,*,*,電気,38
27,0,電子,名詞,一般,*,*,電子,38
29,0,光エレクトロニクス,名詞,固有名詞,一般,*,光エレクトロニクス,41
30,0,光デバイス,名詞,固有名詞,一般,*,光デバイス,41
31,0,導,名詞,一般,*,*,導,38
32,0,波路,名詞,一般,*,*,波路,38
33,0,工学,名詞,一般,*,*,工学,38
35,0,電波法,名詞,固有名詞,一般,*,電波法,41
36,0,フーリエ変換,名詞,固有名詞,一般,*,フーリエ変換,41
38,0,ラプラス変換,名詞,固有名詞,一般,*,ラプラス変換,41
39,0,応用,名詞,サ変接続,*,*,応用,36
40,0,確率統計,名詞,固有名詞,一般,*,確率・統計,41
41,0,通信,名詞,サ変接続,*,*,通信,36
42,0,理論,名詞,一般,*,*,理論,38
44,0,電気,名詞,一般,*,*,電気,38
45,0,電子,名詞,一般,*,*,電子,38
47,0,光エレクトロニクス,名詞,固有名詞,一般,*,光エレクトロニクス,41
48,0,光デバイス,名詞,固有名詞,一般,*,光デバイス,41
49,0,導,名詞,一般,*,*,導,38
50,0,波路,名詞,一般,*,*,波路,38
51,0,工学,名詞,一般,*,*,工学,38
53,0,電波法,名詞,固有名詞,一般,*,電波法,41
54,0,フーリエ変換,名詞,固有名詞,一般,*,フーリエ変換,41
56,0,ラプラス変換,名詞,固有名詞,一般,*,ラプラス変換,41
57,0,応用,名詞,サ変接続,*,*,応用,36
58,0,確率統計,名詞,固有名詞,一般,*,確率・統計,41
59,0,通信,名詞,サ変接続,*,*,通信,36
60,0,理論,名詞,一般,*,*,理論,38
62,0,電気,名詞,一般,*,*,電気,38
63,0,電子,名詞,一般,*,*,電子,38
65,0,光エレクトロニクス,名詞,固有名詞,一般,*,光エレクトロニクス,41
66,0,光デバイス,名詞,固有名詞,一般,*,光デバイス,41
67,0,導,名詞,一般,*,*,導,38
68,0,波路,名詞,一般,*,*,波路,38
69,0,工学,名詞,一般,*,*,工学,38
71,0,電波法,名詞,固有名詞,一般,*,電波法,41
72,0,フーリエ変換,名詞,固有名詞,一般,*,フーリエ変換,41
74,0,ラプラス変換,名詞,固有名詞,一般,*,ラプラス変換,41
75,0,応用,名詞,サ変接続,*,*,応用,36
76,0,確率統計,名詞,固有名詞,一般,*,確率・統計,41
77,0,通信,名詞,サ変接続,*,*,通信,36
78,0,理論,名詞,一般,*,*,理論,38
80,0,電気,名詞,一般,*,*,電気,38
81,0,電子,名詞,一般,*,*,電子,38
83,0,光エレクトロニクス,名詞,固有名詞,一般,*,光エレクトロニクス,41
84,0,光デバイス,名詞,固有名詞,一般,*,光デバイス,41
85,0,導,名詞,一般,*,*,導,38
86,0,波路,名詞,一般,*,*,波路,38
87,0,工学,名詞,一般,*,*,工学,38
89,0,電波法,名詞,固有名詞,一般,*,電波法,41
