,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,信号,名詞,一般,*,*,信号,38
1,0,システム,名詞,一般,*,*,システム,38
3,0,基礎,名詞,一般,*,*,基礎,38
6,0,イントロダクション,名詞,一般,*,*,イントロダクション,38
8,1,通信,名詞,サ変接続,*,*,通信,36
9,1,理論,名詞,一般,*,*,理論,38
11,1,復習,名詞,サ変接続,*,*,復習,36
13,1,周波数,名詞,一般,*,*,周波数,38
14,1,変換,名詞,サ変接続,*,*,変換,36
15,1,符号化,名詞,固有名詞,一般,*,符号化,41
17,1,復習,名詞,サ変接続,*,*,復習,36
20,1,伝送路,名詞,固有名詞,一般,*,伝送路,41
22,1,基本,名詞,一般,*,*,基本,38
23,1,的,名詞,接尾,形容動詞語幹,*,的,52
25,1,構成,名詞,サ変接続,*,*,構成,36
27,1,理解,名詞,サ変接続,*,*,理解,36
28,1,信号,名詞,一般,*,*,信号,38
29,1,システム,名詞,一般,*,*,システム,38
31,1,基礎,名詞,一般,*,*,基礎,38
34,1,線形,名詞,一般,*,*,線形,38
35,1,システム,名詞,一般,*,*,システム,38
37,2,インパルス,名詞,一般,*,*,インパルス,38
38,2,応答,名詞,サ変接続,*,*,応答,36
40,2,伝達関数,名詞,固有名詞,一般,*,伝達関数,41
41,2,線形,名詞,一般,*,*,線形,38
42,2,システム,名詞,一般,*,*,システム,38
44,2,特徴,名詞,一般,*,*,特徴,38
46,2,説明,名詞,サ変接続,*,*,説明,36
47,2,信号,名詞,一般,*,*,信号,38
48,2,システム,名詞,一般,*,*,システム,38
50,2,基礎,名詞,一般,*,*,基礎,38
53,2,標本化定理,名詞,固有名詞,一般,*,標本化定理,41
54,2,標本化定理,名詞,固有名詞,一般,*,標本化定理,41
56,2,周波数領域,名詞,固有名詞,一般,*,周波数領域,41
59,2,理解,名詞,サ変接続,*,*,理解,36
60,2,信号,名詞,一般,*,*,信号,38
61,2,システム,名詞,一般,*,*,システム,38
63,2,基礎,名詞,一般,*,*,基礎,38
66,2,ランダム,名詞,一般,*,*,ランダム,38
67,2,過程,名詞,一般,*,*,過程,38
69,3,自己相関,名詞,固有名詞,一般,*,自己相関,41
71,3,電力,名詞,一般,*,*,電力,38
72,3,スペクトル,名詞,一般,*,*,スペクトル,38
73,3,自己相関,名詞,固有名詞,一般,*,自己相関,41
75,3,復習,名詞,サ変接続,*,*,復習,36
78,3,電力,名詞,一般,*,*,電力,38
79,3,スペクトル,名詞,一般,*,*,スペクトル,38
81,3,イメージ,名詞,サ変接続,*,*,イメージ,36
83,3,持つ,動詞,自立,*,*,持つ,31
84,3,信号,名詞,一般,*,*,信号,38
85,3,システム,名詞,一般,*,*,システム,38
87,3,基礎,名詞,一般,*,*,基礎,38
90,3,MATLAB,名詞,固有名詞,一般,*,MATLAB,41
92,3,用い,動詞,自立,*,*,用いる,31
94,3,演習,名詞,サ変接続,*,*,演習,36
95,3,信号,名詞,一般,*,*,信号,38
96,3,システム,名詞,一般,*,*,システム,38
98,3,基礎,名詞,一般,*,*,基礎,38
100,3,学ん,動詞,自立,*,*,学ぶ,31
102,3,内容,名詞,一般,*,*,内容,38
104,3,計算,名詞,サ変接続,*,*,計算,36
107,3,可視化,名詞,固有名詞,一般,*,可視化,41
108,3,パルス,名詞,一般,*,*,パルス,38
109,3,伝送,名詞,サ変接続,*,*,伝送,36
111,3,基礎,名詞,一般,*,*,基礎,38
114,3,ガウス雑音,名詞,固有名詞,一般,*,ガウス雑音,41
116,4,確率分布,名詞,固有名詞,一般,*,確率分布,41
118,4,電力,名詞,一般,*,*,電力,38
119,4,スペクトル,名詞,一般,*,*,スペクトル,38
121,4,フィルタ,名詞,一般,*,*,フィルタ,38
122,4,伝送路,名詞,固有名詞,一般,*,伝送路,41
125,4,雑音,名詞,一般,*,*,雑音,38
127,4,要因,名詞,一般,*,*,要因,38
129,4,理解,名詞,サ変接続,*,*,理解,36
130,4,パルス,名詞,一般,*,*,パルス,38
131,4,伝送,名詞,サ変接続,*,*,伝送,36
133,4,基礎,名詞,一般,*,*,基礎,38
136,4,受信,名詞,サ変接続,*,*,受信,36
137,4,フィルタ,名詞,一般,*,*,フィルタ,38
139,5,整合,名詞,サ変接続,*,*,整合,36
140,5,条件,名詞,一般,*,*,条件,38
142,5,SNR,名詞,固有名詞,一般,*,SNR,41
143,5,劣化,名詞,サ変接続,*,*,劣化,36
146,5,信号,名詞,一般,*,*,信号,38
148,5,正しく,形容詞,自立,*,*,正しい,10
149,5,受信,名詞,サ変接続,*,*,受信,36
151,5,ため,名詞,非自立,副詞可能,*,ため,66
153,5,設計,名詞,サ変接続,*,*,設計,36
154,5,手法,名詞,一般,*,*,手法,38
156,5,理解,名詞,サ変接続,*,*,理解,36
157,5,パルス,名詞,一般,*,*,パルス,38
158,5,伝送,名詞,サ変接続,*,*,伝送,36
160,5,基礎,名詞,一般,*,*,基礎,38
163,5,送信,名詞,サ変接続,*,*,送信,36
164,5,フィルタ,名詞,一般,*,*,フィルタ,38
166,5,設計,名詞,サ変接続,*,*,設計,36
168,6,帯域制限,名詞,固有名詞,一般,*,帯域制限,41
170,6,符号間干渉,名詞,固有名詞,一般,*,符号間干渉,41
172,6,歪,名詞,一般,*,*,歪,38
173,6,補償,名詞,サ変接続,*,*,補償,36
174,6,信号,名詞,一般,*,*,信号,38
175,6,劣化,名詞,サ変接続,*,*,劣化,36
177,6,補償,名詞,サ変接続,*,*,補償,36
179,6,ため,名詞,非自立,副詞可能,*,ため,66
181,6,設計,名詞,サ変接続,*,*,設計,36
182,6,手法,名詞,一般,*,*,手法,38
184,6,理解,名詞,サ変接続,*,*,理解,36
185,6,パルス,名詞,一般,*,*,パルス,38
186,6,伝送,名詞,サ変接続,*,*,伝送,36
188,6,基礎,名詞,一般,*,*,基礎,38
191,6,検波,名詞,サ変接続,*,*,検波,36
193,7,シンボル,名詞,一般,*,*,シンボル,38
194,7,同期,名詞,副詞可能,*,*,同期,67
196,7,誤り,名詞,一般,*,*,誤り,38
197,7,率,名詞,接尾,一般,*,率,51
198,7,誤り,名詞,一般,*,*,誤り,38
199,7,率,名詞,接尾,一般,*,率,51
201,7,信号,名詞,一般,*,*,信号,38
202,7,品質,名詞,一般,*,*,品質,38
204,7,関係,名詞,サ変接続,*,*,関係,36
206,7,理解,名詞,サ変接続,*,*,理解,36
207,7,パルス,名詞,一般,*,*,パルス,38
208,7,伝送,名詞,サ変接続,*,*,伝送,36
210,7,基礎,名詞,一般,*,*,基礎,38
213,7,MATLAB,名詞,固有名詞,一般,*,MATLAB,41
215,7,用い,動詞,自立,*,*,用いる,31
217,7,演習,名詞,サ変接続,*,*,演習,36
218,7,パルス,名詞,一般,*,*,パルス,38
219,7,伝送,名詞,サ変接続,*,*,伝送,36
221,7,基礎,名詞,一般,*,*,基礎,38
223,7,学ん,動詞,自立,*,*,学ぶ,31
225,7,内容,名詞,一般,*,*,内容,38
