,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
1,0,講義,名詞,サ変接続,*,*,講義,36
5,0,私たち,名詞,固有名詞,一般,*,私たち,41
7,0,太陽系,名詞,一般,*,*,太陽系,38
9,0,系外惑星,名詞,固有名詞,一般,*,系外惑星,41
10,0,系,名詞,接尾,一般,*,系,51
12,0,形成,名詞,サ変接続,*,*,形成,36
14,0,進化,名詞,サ変接続,*,*,進化,36
16,0,理解,名詞,サ変接続,*,*,理解,36
18,0,必要,名詞,形容動詞語幹,*,*,必要,40
20,0,観測,名詞,サ変接続,*,*,観測,36
22,0,理論,名詞,一般,*,*,理論,38
24,0,基礎,名詞,一般,*,*,基礎,38
26,0,習得,名詞,サ変接続,*,*,習得,36
30,0,目標,名詞,一般,*,*,目標,38
34,0,光,名詞,一般,*,*,光,38
35,0,赤,名詞,一般,*,*,赤,38
36,0,外,名詞,接尾,一般,*,外,51
37,0,天文学,名詞,一般,*,*,天文学,38
39,0,電波天文学,名詞,固有名詞,一般,*,電波天文学,41
41,0,惑星,名詞,一般,*,*,惑星,38
42,0,形成,名詞,サ変接続,*,*,形成,36
43,0,論,名詞,接尾,一般,*,論,51
45,0,基礎,名詞,一般,*,*,基礎,38
46,0,的,名詞,接尾,形容動詞語幹,*,的,52
48,0,知識,名詞,一般,*,*,知識,38
50,0,習得,名詞,サ変接続,*,*,習得,36
53,0,太陽系,名詞,一般,*,*,太陽系,38
55,0,系外惑星,名詞,固有名詞,一般,*,系外惑星,41
56,0,系,名詞,接尾,一般,*,系,51
58,0,応用,名詞,サ変接続,*,*,応用,36
59,0,できる,動詞,自立,*,*,できる,31
62,0,なる,動詞,自立,*,*,なる,31
65,0,目指す,動詞,自立,*,*,目指す,31
71,0,観測,名詞,サ変接続,*,*,観測,36
73,0,解釈,名詞,サ変接続,*,*,解釈,36
75,0,ため,名詞,非自立,副詞可能,*,ため,66
77,0,不可欠,名詞,形容動詞語幹,*,*,不可欠,40
79,0,惑星,名詞,一般,*,*,惑星,38
80,0,形成,名詞,サ変接続,*,*,形成,36
81,0,論,名詞,接尾,一般,*,論,51
83,0,基礎,名詞,一般,*,*,基礎,38
85,0,物理的,名詞,固有名詞,一般,*,物理的,41
86,0,側面,名詞,一般,*,*,側面,38
88,0,化学,名詞,一般,*,*,化学,38
89,0,的,名詞,接尾,形容動詞語幹,*,的,52
90,0,側面,名詞,一般,*,*,側面,38
92,0,学ぶ,動詞,自立,*,*,学ぶ,31
95,0,講義,名詞,サ変接続,*,*,講義,36
99,0,私たち,名詞,固有名詞,一般,*,私たち,41
101,0,太陽系,名詞,一般,*,*,太陽系,38
103,0,系外惑星,名詞,固有名詞,一般,*,系外惑星,41
104,0,系,名詞,接尾,一般,*,系,51
106,0,形成,名詞,サ変接続,*,*,形成,36
108,0,進化,名詞,サ変接続,*,*,進化,36
110,0,理解,名詞,サ変接続,*,*,理解,36
112,0,必要,名詞,形容動詞語幹,*,*,必要,40
114,0,観測,名詞,サ変接続,*,*,観測,36
116,0,理論,名詞,一般,*,*,理論,38
118,0,基礎,名詞,一般,*,*,基礎,38
120,0,習得,名詞,サ変接続,*,*,習得,36
124,0,目標,名詞,一般,*,*,目標,38
128,0,天文学,名詞,一般,*,*,天文学,38
130,0,天体物理学,名詞,固有名詞,一般,*,天体物理学,41
132,0,基礎,名詞,一般,*,*,基礎,38
133,0,的,名詞,接尾,形容動詞語幹,*,的,52
135,0,知識,名詞,一般,*,*,知識,38
137,0,習得,名詞,サ変接続,*,*,習得,36
140,0,太陽系,名詞,一般,*,*,太陽系,38
142,0,系外惑星,名詞,固有名詞,一般,*,系外惑星,41
143,0,系,名詞,接尾,一般,*,系,51
145,0,応用,名詞,サ変接続,*,*,応用,36
146,0,できる,動詞,自立,*,*,できる,31
149,0,なる,動詞,自立,*,*,なる,31
152,0,目指す,動詞,自立,*,*,目指す,31
155,0,講義,名詞,サ変接続,*,*,講義,36
159,0,私たち,名詞,固有名詞,一般,*,私たち,41
161,0,太陽系,名詞,一般,*,*,太陽系,38
163,0,系外惑星,名詞,固有名詞,一般,*,系外惑星,41
164,0,系,名詞,接尾,一般,*,系,51
166,0,形成,名詞,サ変接続,*,*,形成,36
168,0,進化,名詞,サ変接続,*,*,進化,36
170,0,理解,名詞,サ変接続,*,*,理解,36
172,0,必要,名詞,形容動詞語幹,*,*,必要,40
174,0,観測,名詞,サ変接続,*,*,観測,36
176,0,理論,名詞,一般,*,*,理論,38
178,0,基礎,名詞,一般,*,*,基礎,38
180,0,習得,名詞,サ変接続,*,*,習得,36
184,0,目標,名詞,一般,*,*,目標,38
188,0,光,名詞,一般,*,*,光,38
189,0,赤,名詞,一般,*,*,赤,38
190,0,外,名詞,接尾,一般,*,外,51
191,0,天文学,名詞,一般,*,*,天文学,38
193,0,電波天文学,名詞,固有名詞,一般,*,電波天文学,41
195,0,惑星,名詞,一般,*,*,惑星,38
196,0,形成,名詞,サ変接続,*,*,形成,36
197,0,論,名詞,接尾,一般,*,論,51
199,0,基礎,名詞,一般,*,*,基礎,38
200,0,的,名詞,接尾,形容動詞語幹,*,的,52
202,0,知識,名詞,一般,*,*,知識,38
