,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,物理数学,名詞,固有名詞,一般,*,物理数学,41
3,0,地,名詞,一般,*,*,地,38
6,0,流体力学,名詞,固有名詞,一般,*,流体力学,41
8,0,地,名詞,一般,*,*,地,38
11,0,熱力学,名詞,固有名詞,一般,*,熱力学,41
13,0,地,名詞,一般,*,*,地,38
16,0,力学,名詞,一般,*,*,力学,38
18,0,地,名詞,一般,*,*,地,38
21,0,地,名詞,接尾,一般,*,地,51
23,0,実験,名詞,サ変接続,*,*,実験,36
25,0,岩石学,名詞,固有名詞,一般,*,岩石学,41
27,0,物理数学,名詞,固有名詞,一般,*,物理数学,41
30,0,地,名詞,一般,*,*,地,38
33,0,物理数学,名詞,固有名詞,一般,*,物理数学,41
36,0,地,名詞,一般,*,*,地,38
39,0,流体力学,名詞,固有名詞,一般,*,流体力学,41
41,0,地,名詞,一般,*,*,地,38
44,0,熱力学,名詞,固有名詞,一般,*,熱力学,41
46,0,地,名詞,一般,*,*,地,38
49,0,力学,名詞,一般,*,*,力学,38
51,0,地,名詞,一般,*,*,地,38
54,0,地,名詞,接尾,一般,*,地,51
56,0,実験,名詞,サ変接続,*,*,実験,36
58,0,岩石学,名詞,固有名詞,一般,*,岩石学,41
60,0,物理数学,名詞,固有名詞,一般,*,物理数学,41
63,0,地,名詞,一般,*,*,地,38
66,0,物理数学,名詞,固有名詞,一般,*,物理数学,41
69,0,地,名詞,一般,*,*,地,38
72,0,流体力学,名詞,固有名詞,一般,*,流体力学,41
74,0,地,名詞,一般,*,*,地,38
77,0,熱力学,名詞,固有名詞,一般,*,熱力学,41
79,0,地,名詞,一般,*,*,地,38
82,0,力学,名詞,一般,*,*,力学,38
84,0,地,名詞,一般,*,*,地,38
87,0,地,名詞,接尾,一般,*,地,51
89,0,実験,名詞,サ変接続,*,*,実験,36
91,0,岩石学,名詞,固有名詞,一般,*,岩石学,41
93,0,物理数学,名詞,固有名詞,一般,*,物理数学,41
96,0,地,名詞,一般,*,*,地,38
99,0,物理数学,名詞,固有名詞,一般,*,物理数学,41
102,0,地,名詞,一般,*,*,地,38
105,0,流体力学,名詞,固有名詞,一般,*,流体力学,41
107,0,地,名詞,一般,*,*,地,38
110,0,熱力学,名詞,固有名詞,一般,*,熱力学,41
112,0,地,名詞,一般,*,*,地,38
115,0,力学,名詞,一般,*,*,力学,38
117,0,地,名詞,一般,*,*,地,38
120,0,地,名詞,接尾,一般,*,地,51
122,0,実験,名詞,サ変接続,*,*,実験,36
124,0,岩石学,名詞,固有名詞,一般,*,岩石学,41
126,0,物理数学,名詞,固有名詞,一般,*,物理数学,41
129,0,地,名詞,一般,*,*,地,38
132,0,物理数学,名詞,固有名詞,一般,*,物理数学,41
135,0,地,名詞,一般,*,*,地,38
138,0,流体力学,名詞,固有名詞,一般,*,流体力学,41
140,0,地,名詞,一般,*,*,地,38
143,0,熱力学,名詞,固有名詞,一般,*,熱力学,41
145,0,地,名詞,一般,*,*,地,38
148,0,力学,名詞,一般,*,*,力学,38
150,0,地,名詞,一般,*,*,地,38
153,0,地,名詞,接尾,一般,*,地,51
155,0,実験,名詞,サ変接続,*,*,実験,36
157,0,岩石学,名詞,固有名詞,一般,*,岩石学,41
159,0,物理数学,名詞,固有名詞,一般,*,物理数学,41
162,0,地,名詞,一般,*,*,地,38
