,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,熱力学,名詞,固有名詞,一般,*,熱力学,41
2,0,地,名詞,一般,*,*,地,38
5,0,宇宙,名詞,一般,*,*,宇宙,38
6,0,地球化学,名詞,固有名詞,一般,*,地球化学,41
7,0,宇宙,名詞,一般,*,*,宇宙,38
8,0,地球科学,名詞,固有名詞,一般,*,地球科学,41
10,0,宇宙,名詞,一般,*,*,宇宙,38
11,0,地球科学,名詞,固有名詞,一般,*,地球科学,41
13,0,熱力学,名詞,固有名詞,一般,*,熱力学,41
15,0,地,名詞,一般,*,*,地,38
18,0,宇宙,名詞,一般,*,*,宇宙,38
19,0,地球化学,名詞,固有名詞,一般,*,地球化学,41
20,0,宇宙,名詞,一般,*,*,宇宙,38
21,0,地球科学,名詞,固有名詞,一般,*,地球科学,41
23,0,宇宙,名詞,一般,*,*,宇宙,38
24,0,地球科学,名詞,固有名詞,一般,*,地球科学,41
26,0,熱力学,名詞,固有名詞,一般,*,熱力学,41
28,0,地,名詞,一般,*,*,地,38
31,0,宇宙,名詞,一般,*,*,宇宙,38
32,0,地球化学,名詞,固有名詞,一般,*,地球化学,41
33,0,宇宙,名詞,一般,*,*,宇宙,38
34,0,地球科学,名詞,固有名詞,一般,*,地球科学,41
36,0,宇宙,名詞,一般,*,*,宇宙,38
37,0,地球科学,名詞,固有名詞,一般,*,地球科学,41
39,0,熱力学,名詞,固有名詞,一般,*,熱力学,41
41,0,地,名詞,一般,*,*,地,38
44,0,宇宙,名詞,一般,*,*,宇宙,38
45,0,地球化学,名詞,固有名詞,一般,*,地球化学,41
46,0,宇宙,名詞,一般,*,*,宇宙,38
47,0,地球科学,名詞,固有名詞,一般,*,地球科学,41
49,0,宇宙,名詞,一般,*,*,宇宙,38
50,0,地球科学,名詞,固有名詞,一般,*,地球科学,41
