,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,電場,名詞,一般,*,*,電場,38
1,0,電位,名詞,一般,*,*,電位,38
2,0,ガウスの法則,名詞,固有名詞,一般,*,ガウスの法則,41
3,0,ポアソン方程式,名詞,固有名詞,一般,*,ポアソン方程式,41
4,0,電気,名詞,一般,*,*,電気,38
5,0,双極子,名詞,固有名詞,一般,*,双極子,41
6,0,誘電体,名詞,固有名詞,一般,*,誘電体,41
7,0,磁場,名詞,一般,*,*,磁場,38
8,0,ベクトルポテンシャル,名詞,固有名詞,一般,*,ベクトルポテンシャル,41
9,0,アンペール,名詞,固有名詞,一般,*,アンペール,41
11,0,法則,名詞,一般,*,*,法則,38
12,0,磁気双極子,名詞,固有名詞,一般,*,磁気双極子,41
13,0,磁性体,名詞,固有名詞,一般,*,磁性体,41
14,0,電磁誘導,名詞,固有名詞,一般,*,電磁誘導,41
15,0,変位電流,名詞,固有名詞,一般,*,変位電流,41
16,0,電磁場,名詞,一般,*,*,電磁場,38
18,0,エネルギー,名詞,一般,*,*,エネルギー,38
19,0,マクスウェル方程式,名詞,固有名詞,一般,*,マクスウェル方程式,41
20,0,電磁波,名詞,一般,*,*,電磁波,38
21,0,電場,名詞,一般,*,*,電場,38
22,0,電位,名詞,一般,*,*,電位,38
23,0,ガウスの法則,名詞,固有名詞,一般,*,ガウスの法則,41
24,0,ポアソン方程式,名詞,固有名詞,一般,*,ポアソン方程式,41
25,0,電気,名詞,一般,*,*,電気,38
26,0,双極子,名詞,固有名詞,一般,*,双極子,41
27,0,磁場,名詞,一般,*,*,磁場,38
28,0,ベクトルポテンシャル,名詞,固有名詞,一般,*,ベクトルポテンシャル,41
29,0,アンペール,名詞,固有名詞,一般,*,アンペール,41
31,0,法則,名詞,一般,*,*,法則,38
32,0,磁気双極子,名詞,固有名詞,一般,*,磁気双極子,41
33,0,電磁誘導,名詞,固有名詞,一般,*,電磁誘導,41
34,0,変位電流,名詞,固有名詞,一般,*,変位電流,41
35,0,電磁場,名詞,一般,*,*,電磁場,38
37,0,エネルギー,名詞,一般,*,*,エネルギー,38
38,0,マクスウェル方程式,名詞,固有名詞,一般,*,マクスウェル方程式,41
39,0,電磁波,名詞,一般,*,*,電磁波,38
40,0,誘電体,名詞,固有名詞,一般,*,誘電体,41
41,0,磁性体,名詞,固有名詞,一般,*,磁性体,41
42,0,電場,名詞,一般,*,*,電場,38
43,0,静,名詞,一般,*,*,静,38
44,0,電,名詞,接尾,一般,*,電,51
45,0,ポテンシャル,名詞,一般,*,*,ポテンシャル,38
46,0,ガウスの法則,名詞,固有名詞,一般,*,ガウスの法則,41
47,0,オームの法則,名詞,固有名詞,一般,*,オームの法則,41
48,0,磁場,名詞,一般,*,*,磁場,38
49,0,ベクトルポテンシャル,名詞,固有名詞,一般,*,ベクトルポテンシャル,41
50,0,アンペール,名詞,固有名詞,一般,*,アンペール,41
52,0,法則,名詞,一般,*,*,法則,38
53,0,マクスウェル方程式,名詞,固有名詞,一般,*,マクスウェル方程式,41
54,0,電磁波,名詞,一般,*,*,電磁波,38
55,0,誘電体,名詞,固有名詞,一般,*,誘電体,41
56,0,磁性体,名詞,固有名詞,一般,*,磁性体,41
57,0,電場,名詞,一般,*,*,電場,38
58,0,電位,名詞,一般,*,*,電位,38
59,0,ガウスの法則,名詞,固有名詞,一般,*,ガウスの法則,41
60,0,ポアソン方程式,名詞,固有名詞,一般,*,ポアソン方程式,41
61,0,電気,名詞,一般,*,*,電気,38
62,0,双極子,名詞,固有名詞,一般,*,双極子,41
63,0,磁場,名詞,一般,*,*,磁場,38
64,0,ベクトルポテンシャル,名詞,固有名詞,一般,*,ベクトルポテンシャル,41
65,0,アンペール,名詞,固有名詞,一般,*,アンペール,41
67,0,法則,名詞,一般,*,*,法則,38
68,0,磁気双極子,名詞,固有名詞,一般,*,磁気双極子,41
69,0,電磁誘導,名詞,固有名詞,一般,*,電磁誘導,41
70,0,変位電流,名詞,固有名詞,一般,*,変位電流,41
71,0,電磁場,名詞,一般,*,*,電磁場,38
73,0,エネルギー,名詞,一般,*,*,エネルギー,38
74,0,マクスウェル方程式,名詞,固有名詞,一般,*,マクスウェル方程式,41
75,0,電磁波,名詞,一般,*,*,電磁波,38
76,0,誘電体,名詞,固有名詞,一般,*,誘電体,41
77,0,磁性体,名詞,固有名詞,一般,*,磁性体,41
78,0,電場,名詞,一般,*,*,電場,38
79,0,電位,名詞,一般,*,*,電位,38
80,0,ガウスの法則,名詞,固有名詞,一般,*,ガウスの法則,41
81,0,ポアソン方程式,名詞,固有名詞,一般,*,ポアソン方程式,41
82,0,電気,名詞,一般,*,*,電気,38
83,0,双極子,名詞,固有名詞,一般,*,双極子,41
84,0,磁場,名詞,一般,*,*,磁場,38
85,0,ベクトルポテンシャル,名詞,固有名詞,一般,*,ベクトルポテンシャル,41
86,0,アンペール,名詞,固有名詞,一般,*,アンペール,41
88,0,法則,名詞,一般,*,*,法則,38
89,0,磁気双極子,名詞,固有名詞,一般,*,磁気双極子,41
90,0,電磁誘導,名詞,固有名詞,一般,*,電磁誘導,41
91,0,変位電流,名詞,固有名詞,一般,*,変位電流,41
92,0,電磁場,名詞,一般,*,*,電磁場,38
94,0,エネルギー,名詞,一般,*,*,エネルギー,38
95,0,マクスウェル方程式,名詞,固有名詞,一般,*,マクスウェル方程式,41
96,0,電磁波,名詞,一般,*,*,電磁波,38
97,0,誘電体,名詞,固有名詞,一般,*,誘電体,41
98,0,磁性体,名詞,固有名詞,一般,*,磁性体,41
