,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,電磁気学,名詞,固有名詞,一般,*,電磁気学,41
2,0,使う,動詞,自立,*,*,使う,31
3,0,数学,名詞,一般,*,*,数学,38
5,0,ベクトル解析,名詞,固有名詞,一般,*,ベクトル解析,41
8,0,ベクトル場,名詞,固有名詞,一般,*,ベクトル場,41
10,0,発散,名詞,サ変接続,*,*,発散,36
12,0,回転,名詞,サ変接続,*,*,回転,36
15,0,保存,名詞,サ変接続,*,*,保存,36
16,0,則,名詞,接尾,一般,*,則,51
18,0,微分,名詞,サ変接続,*,*,微分,36
19,0,表示,名詞,サ変接続,*,*,表示,36
21,0,理解,名詞,サ変接続,*,*,理解,36
23,0,静電気学,名詞,固有名詞,一般,*,静電気学,41
27,0,静,名詞,固有名詞,地域,一般,静,46
28,0,電場,名詞,一般,*,*,電場,38
30,0,基礎方程式,名詞,固有名詞,一般,*,基礎方程式,41
31,0,電場,名詞,一般,*,*,電場,38
33,0,ガウスの法則,名詞,固有名詞,一般,*,ガウスの法則,41
35,0,電位,名詞,一般,*,*,電位,38
37,0,ポアソン方程式,名詞,固有名詞,一般,*,ポアソン方程式,41
39,0,理解,名詞,サ変接続,*,*,理解,36
41,0,静電気学,名詞,固有名詞,一般,*,静電気学,41
45,0,遠方,名詞,一般,*,*,遠方,38
47,0,電場,名詞,一般,*,*,電場,38
49,0,電気,名詞,一般,*,*,電気,38
50,0,双極子,名詞,固有名詞,一般,*,双極子,41
52,0,静,名詞,一般,*,*,静,38
53,0,電,名詞,接尾,一般,*,電,51
54,0,エネルギー,名詞,一般,*,*,エネルギー,38
55,0,電気,名詞,一般,*,*,電気,38
56,0,双極子,名詞,固有名詞,一般,*,双極子,41
58,0,電荷,名詞,サ変接続,*,*,電荷,36
60,0,集団,名詞,一般,*,*,集団,38
62,0,持つ,動詞,自立,*,*,持つ,31
63,0,エネルギー,名詞,一般,*,*,エネルギー,38
65,0,理解,名詞,サ変接続,*,*,理解,36
67,0,静電気学,名詞,固有名詞,一般,*,静電気学,41
71,0,誘電体,名詞,固有名詞,一般,*,誘電体,41
72,0,分極,名詞,サ変接続,*,*,分極,36
74,0,誘電率,名詞,固有名詞,一般,*,誘電率,41
76,0,理解,名詞,サ変接続,*,*,理解,36
78,0,静電気学,名詞,固有名詞,一般,*,静電気学,41
82,0,物質,名詞,一般,*,*,物質,38
85,0,電場,名詞,一般,*,*,電場,38
86,0,誘電体,名詞,固有名詞,一般,*,誘電体,41
89,0,電場,名詞,一般,*,*,電場,38
91,0,導き,動詞,自立,*,*,導く,31
94,0,理解,名詞,サ変接続,*,*,理解,36
96,0,静,名詞,一般,*,*,静,38
97,0,磁気,名詞,一般,*,*,磁気,38
98,0,学,名詞,接尾,一般,*,学,51
102,0,静磁場,名詞,固有名詞,一般,*,静磁場,41
104,0,基本,名詞,一般,*,*,基本,38
105,0,方程式,名詞,一般,*,*,方程式,38
106,0,磁束密度,名詞,固有名詞,一般,*,磁束密度,41
108,0,アンペール,名詞,固有名詞,一般,*,アンペール,41
110,0,法則,名詞,一般,*,*,法則,38
112,0,ベクトルポテンシャル,名詞,固有名詞,一般,*,ベクトルポテンシャル,41
114,0,理解,名詞,サ変接続,*,*,理解,36
116,0,静,名詞,一般,*,*,静,38
117,0,磁気,名詞,一般,*,*,磁気,38
118,0,学,名詞,接尾,一般,*,学,51
122,0,遠方,名詞,一般,*,*,遠方,38
124,0,磁場,名詞,一般,*,*,磁場,38
126,0,磁場,名詞,一般,*,*,磁場,38
127,0,双極子,名詞,固有名詞,一般,*,双極子,41
129,0,ローレンツ力,名詞,固有名詞,一般,*,ローレンツ力,41
130,0,磁気双極子,名詞,固有名詞,一般,*,磁気双極子,41
132,0,閉じ,動詞,自立,*,*,閉じる,31
134,0,電流,名詞,一般,*,*,電流,38
136,0,対応,名詞,サ変接続,*,*,対応,36
139,0,荷電粒子,名詞,固有名詞,一般,*,荷電粒子,41
141,0,磁場,名詞,一般,*,*,磁場,38
143,0,受ける,動詞,自立,*,*,受ける,31
144,0,力,名詞,一般,*,*,力,38
146,0,理解,名詞,サ変接続,*,*,理解,36
148,0,静,名詞,一般,*,*,静,38
149,0,磁気,名詞,一般,*,*,磁気,38
150,0,学,名詞,接尾,一般,*,学,51
154,0,磁性体,名詞,固有名詞,一般,*,磁性体,41
155,0,磁化,名詞,サ変接続,*,*,磁化,36
157,0,透磁率,名詞,固有名詞,一般,*,透磁率,41
159,0,磁性体,名詞,固有名詞,一般,*,磁性体,41
161,0,中,名詞,非自立,副詞可能,*,中,66
164,0,磁場,名詞,一般,*,*,磁場,38
166,0,理解,名詞,サ変接続,*,*,理解,36
168,0,時間,名詞,副詞可能,*,*,時間,67
169,0,変化,名詞,サ変接続,*,*,変化,36
171,0,電磁場,名詞,一般,*,*,電磁場,38
175,0,電磁誘導,名詞,固有名詞,一般,*,電磁誘導,41
176,0,電磁誘導,名詞,固有名詞,一般,*,電磁誘導,41
178,0,ファラデーの法則,名詞,固有名詞,一般,*,ファラデーの法則,41
180,0,理解,名詞,サ変接続,*,*,理解,36
182,0,時間,名詞,副詞可能,*,*,時間,67
183,0,変化,名詞,サ変接続,*,*,変化,36
185,0,電磁場,名詞,一般,*,*,電磁場,38
189,0,変位電流,名詞,固有名詞,一般,*,変位電流,41
190,0,変位,名詞,サ変接続,*,*,変位,36
191,0,電流,名詞,一般,*,*,電流,38
193,0,マクスウェル,名詞,固有名詞,一般,*,maxwell,41
195,0,アンペール,名詞,固有名詞,一般,*,アンペール,41
197,0,法則,名詞,一般,*,*,法則,38
199,0,理解,名詞,サ変接続,*,*,理解,36
201,0,時間,名詞,副詞可能,*,*,時間,67
202,0,変化,名詞,サ変接続,*,*,変化,36
204,0,電磁場,名詞,一般,*,*,電磁場,38
208,0,電磁場,名詞,一般,*,*,電磁場,38
210,0,エネルギー,名詞,一般,*,*,エネルギー,38
211,0,エネルギー,名詞,一般,*,*,エネルギー,38
212,0,保存,名詞,サ変接続,*,*,保存,36
213,0,則,名詞,接尾,一般,*,則,51
215,0,ポインティングベクトル,名詞,固有名詞,一般,*,ポインティング・ベクトル,41
217,0,理解,名詞,サ変接続,*,*,理解,36
219,0,電磁波,名詞,一般,*,*,電磁波,38
223,0,波動方程式,名詞,固有名詞,一般,*,波動方程式,41
224,0,マクスウェル方程式,名詞,固有名詞,一般,*,マクスウェル方程式,41
226,0,電磁波,名詞,一般,*,*,電磁波,38
228,0,導か,動詞,自立,*,*,導く,31
232,0,理解,名詞,サ変接続,*,*,理解,36
234,0,電磁波,名詞,一般,*,*,電磁波,38
238,0,真空,名詞,一般,*,*,真空,38
241,0,伝播,名詞,サ変接続,*,*,伝播,36
243,0,生成,名詞,サ変接続,*,*,生成,36
244,0,正弦波,名詞,固有名詞,一般,*,正弦波,41
246,0,球面波,名詞,固有名詞,一般,*,球面波,41
248,0,電磁ポテンシャル,名詞,固有名詞,一般,*,電磁ポテンシャル,41
250,0,理解,名詞,サ変接続,*,*,理解,36
252,0,電磁波,名詞,一般,*,*,電磁波,38
256,0,物質,名詞,一般,*,*,物質,38
260,0,伝播,名詞,サ変接続,*,*,伝播,36
261,0,物質,名詞,一般,*,*,物質,38
265,0,電磁波,名詞,一般,*,*,電磁波,38
267,0,伝播,名詞,サ変接続,*,*,伝播,36
269,0,反射,名詞,サ変接続,*,*,反射,36
271,0,透過,名詞,サ変接続,*,*,透過,36
273,0,理解,名詞,サ変接続,*,*,理解,36
275,0,理解度,名詞,固有名詞,一般,*,理解度,41
276,0,確認,名詞,サ変接続,*,*,確認,36
277,0,講義,名詞,サ変接続,*,*,講義,36
278,0,内容,名詞,一般,*,*,内容,38
279,0,全体,名詞,副詞可能,*,*,全体,67
281,0,復習,名詞,サ変接続,*,*,復習,36
283,0,電磁気学,名詞,固有名詞,一般,*,電磁気学,41
285,0,使う,動詞,自立,*,*,使う,31
286,0,数学,名詞,一般,*,*,数学,38
288,0,ベクトル解析,名詞,固有名詞,一般,*,ベクトル解析,41
291,0,ベクトル場,名詞,固有名詞,一般,*,ベクトル場,41
293,0,発散,名詞,サ変接続,*,*,発散,36
295,0,回転,名詞,サ変接続,*,*,回転,36
298,0,保存,名詞,サ変接続,*,*,保存,36
299,0,則,名詞,接尾,一般,*,則,51
301,0,微分,名詞,サ変接続,*,*,微分,36
302,0,表示,名詞,サ変接続,*,*,表示,36
304,0,理解,名詞,サ変接続,*,*,理解,36
306,0,静電気学,名詞,固有名詞,一般,*,静電気学,41
310,0,静,名詞,固有名詞,地域,一般,静,46
311,0,電場,名詞,一般,*,*,電場,38
313,0,基礎方程式,名詞,固有名詞,一般,*,基礎方程式,41
314,0,電場,名詞,一般,*,*,電場,38
316,0,ガウスの法則,名詞,固有名詞,一般,*,ガウスの法則,41
318,0,電位,名詞,一般,*,*,電位,38
