,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
1,0,方程式,名詞,一般,*,*,方程式,38
2,0,調和振動子,名詞,固有名詞,一般,*,調和振動子,41
3,0,水素,名詞,一般,*,*,水素,38
4,0,原子,名詞,一般,*,*,原子,38
7,0,方程式,名詞,一般,*,*,方程式,38
8,0,調和振動子,名詞,固有名詞,一般,*,調和振動子,41
9,0,水素,名詞,一般,*,*,水素,38
10,0,原子,名詞,一般,*,*,原子,38
13,0,方程式,名詞,一般,*,*,方程式,38
14,0,調和振動子,名詞,固有名詞,一般,*,調和振動子,41
15,0,水素,名詞,一般,*,*,水素,38
16,0,原子,名詞,一般,*,*,原子,38
19,0,方程式,名詞,一般,*,*,方程式,38
20,0,調和振動子,名詞,固有名詞,一般,*,調和振動子,41
21,0,水素,名詞,一般,*,*,水素,38
22,0,原子,名詞,一般,*,*,原子,38
25,0,方程式,名詞,一般,*,*,方程式,38
26,0,調和振動子,名詞,固有名詞,一般,*,調和振動子,41
27,0,水素,名詞,一般,*,*,水素,38
28,0,原子,名詞,一般,*,*,原子,38
