,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
1,0,到達,名詞,サ変接続,*,*,到達,36
2,0,目標,名詞,一般,*,*,目標,38
4,0,地球,名詞,一般,*,*,地球,38
5,0,惑星科学,名詞,固有名詞,一般,*,惑星科学,41
7,0,勉強,名詞,サ変接続,*,*,勉強,36
9,0,研究,名詞,サ変接続,*,*,研究,36
11,0,有用,名詞,形容動詞語幹,*,*,有用,40
13,0,なる,動詞,自立,*,*,なる,31
15,0,地球,名詞,一般,*,*,地球,38
16,0,惑星科学,名詞,固有名詞,一般,*,惑星科学,41
17,0,関連,名詞,サ変接続,*,*,関連,36
18,0,知識,名詞,一般,*,*,知識,38
21,0,統計力学,名詞,固有名詞,一般,*,統計力学,41
23,0,修得,名詞,サ変接続,*,*,修得,36
27,0,目標,名詞,一般,*,*,目標,38
32,0,到達,名詞,サ変接続,*,*,到達,36
33,0,目標,名詞,一般,*,*,目標,38
35,0,地球,名詞,一般,*,*,地球,38
36,0,惑星科学,名詞,固有名詞,一般,*,惑星科学,41
38,0,勉強,名詞,サ変接続,*,*,勉強,36
40,0,研究,名詞,サ変接続,*,*,研究,36
42,0,有用,名詞,形容動詞語幹,*,*,有用,40
44,0,なる,動詞,自立,*,*,なる,31
46,0,地球,名詞,一般,*,*,地球,38
47,0,惑星科学,名詞,固有名詞,一般,*,惑星科学,41
48,0,関連,名詞,サ変接続,*,*,関連,36
49,0,知識,名詞,一般,*,*,知識,38
52,0,統計力学,名詞,固有名詞,一般,*,統計力学,41
54,0,修得,名詞,サ変接続,*,*,修得,36
58,0,目標,名詞,一般,*,*,目標,38
63,0,到達,名詞,サ変接続,*,*,到達,36
64,0,目標,名詞,一般,*,*,目標,38
66,0,地球,名詞,一般,*,*,地球,38
67,0,惑星科学,名詞,固有名詞,一般,*,惑星科学,41
69,0,勉強,名詞,サ変接続,*,*,勉強,36
71,0,研究,名詞,サ変接続,*,*,研究,36
73,0,有用,名詞,形容動詞語幹,*,*,有用,40
75,0,なる,動詞,自立,*,*,なる,31
77,0,地球,名詞,一般,*,*,地球,38
78,0,惑星科学,名詞,固有名詞,一般,*,惑星科学,41
79,0,関連,名詞,サ変接続,*,*,関連,36
80,0,知識,名詞,一般,*,*,知識,38
83,0,統計力学,名詞,固有名詞,一般,*,統計力学,41
85,0,修得,名詞,サ変接続,*,*,修得,36
89,0,目標,名詞,一般,*,*,目標,38
94,0,到達,名詞,サ変接続,*,*,到達,36
95,0,目標,名詞,一般,*,*,目標,38
97,0,地球,名詞,一般,*,*,地球,38
98,0,惑星科学,名詞,固有名詞,一般,*,惑星科学,41
100,0,勉強,名詞,サ変接続,*,*,勉強,36
102,0,研究,名詞,サ変接続,*,*,研究,36
104,0,有用,名詞,形容動詞語幹,*,*,有用,40
106,0,なる,動詞,自立,*,*,なる,31
108,0,地球,名詞,一般,*,*,地球,38
109,0,惑星科学,名詞,固有名詞,一般,*,惑星科学,41
110,0,関連,名詞,サ変接続,*,*,関連,36
111,0,知識,名詞,一般,*,*,知識,38
114,0,統計力学,名詞,固有名詞,一般,*,統計力学,41
116,0,修得,名詞,サ変接続,*,*,修得,36
120,0,目標,名詞,一般,*,*,目標,38
125,0,到達,名詞,サ変接続,*,*,到達,36
126,0,目標,名詞,一般,*,*,目標,38
128,0,地球,名詞,一般,*,*,地球,38
129,0,惑星科学,名詞,固有名詞,一般,*,惑星科学,41
131,0,勉強,名詞,サ変接続,*,*,勉強,36
133,0,研究,名詞,サ変接続,*,*,研究,36
135,0,有用,名詞,形容動詞語幹,*,*,有用,40
137,0,なる,動詞,自立,*,*,なる,31
139,0,地球,名詞,一般,*,*,地球,38
140,0,惑星科学,名詞,固有名詞,一般,*,惑星科学,41
141,0,関連,名詞,サ変接続,*,*,関連,36
142,0,知識,名詞,一般,*,*,知識,38
145,0,統計力学,名詞,固有名詞,一般,*,統計力学,41
147,0,修得,名詞,サ変接続,*,*,修得,36
151,0,目標,名詞,一般,*,*,目標,38
